Chemical,Monitor,Date Time ,Reading
Appluimonia,3,4/1/16 1:00,3.48407
Appluimonia,7,4/1/16 17:00,2.9919
Appluimonia,3,4/1/16 20:00,2.96486
Appluimonia,3,4/2/16 16:00,3.00526
Appluimonia,3,4/2/16 17:00,3.40071
Appluimonia,3,4/2/16 22:00,3.02095
Appluimonia,3,4/3/16 12:00,3.3394
Appluimonia,3,4/3/16 23:00,3.1433
Appluimonia,3,4/4/16 0:00,3.22166
Appluimonia,3,4/4/16 1:00,3.89905
Appluimonia,3,4/4/16 5:00,3.09481
Appluimonia,3,4/5/16 3:00,4.69096
Appluimonia,3,4/5/16 8:00,3.19862
Appluimonia,3,4/5/16 23:00,4.12673
Appluimonia,3,4/6/16 4:00,3.00955
Appluimonia,7,4/6/16 18:00,3.33948
Appluimonia,3,4/6/16 22:00,2.98295
Appluimonia,3,4/7/16 1:00,6.28941
Appluimonia,9,4/7/16 2:00,4.99491
Appluimonia,3,4/7/16 18:00,4.04576
Appluimonia,3,4/8/16 9:00,2.98181
Appluimonia,3,4/9/16 3:00,5.06041
Appluimonia,3,4/10/16 1:00,4.91394
Appluimonia,3,4/10/16 9:00,4.39312
Appluimonia,9,4/11/16 4:00,3.89103
Appluimonia,3,4/12/16 0:00,3.04091
Appluimonia,3,4/12/16 18:00,4.93719
Appluimonia,3,4/15/16 2:00,4.91724
Appluimonia,7,4/15/16 7:00,3.46474
Appluimonia,7,4/15/16 8:00,3.2428
Appluimonia,3,4/15/16 22:00,4.31202
Appluimonia,6,4/16/16 10:00,3.81686
Appluimonia,8,4/16/16 12:00,4.87418
Appluimonia,7,4/16/16 14:00,3.28082
Appluimonia,3,4/16/16 17:00,3.82356
Appluimonia,6,4/17/16 2:00,4.54947
Appluimonia,9,4/17/16 9:00,3.39036
Appluimonia,3,4/17/16 15:00,3.93615
Appluimonia,3,4/17/16 18:00,5.22417
Appluimonia,3,4/18/16 0:00,3.06336
Appluimonia,3,4/18/16 17:00,3.27511
Appluimonia,3,4/19/16 10:00,2.97764
Appluimonia,7,4/20/16 1:00,3.15231
Appluimonia,3,4/20/16 22:00,4.55871
Appluimonia,3,4/20/16 23:00,6.92741
Appluimonia,3,4/21/16 4:00,3.42026
Appluimonia,3,4/21/16 22:00,3.69082
Appluimonia,3,4/22/16 1:00,3.47832
Appluimonia,3,4/22/16 3:00,3.02769
Appluimonia,9,4/22/16 13:00,3.37726
Appluimonia,3,4/23/16 2:00,3.25076
Appluimonia,3,4/23/16 12:00,3.03649
Appluimonia,3,4/24/16 13:00,3.34325
Appluimonia,3,4/25/16 1:00,3.60951
Appluimonia,6,4/26/16 11:00,4.39728
Appluimonia,3,4/26/16 12:00,5.97947
Appluimonia,7,4/26/16 20:00,3.15231
Appluimonia,3,4/27/16 13:00,3.76254
Appluimonia,3,4/27/16 16:00,4.79794
Appluimonia,3,4/28/16 13:00,4.63746
Appluimonia,7,4/29/16 4:00,3.11811
Appluimonia,7,4/29/16 7:00,4.21564
Appluimonia,6,4/29/16 9:00,8.95095
Appluimonia,3,4/29/16 10:00,4.19299
Appluimonia,6,4/29/16 10:00,3.25188
Appluimonia,3,4/30/16 11:00,2.96935
Appluimonia,5,8/1/16 7:00,3.23455
Appluimonia,4,8/1/16 11:00,3.58666
Appluimonia,3,8/1/16 12:00,5.25331
Appluimonia,3,8/1/16 14:00,4.30398
Appluimonia,3,8/2/16 7:00,3.56229
Appluimonia,6,8/2/16 8:00,10.14769
Appluimonia,1,8/2/16 8:00,2.96613
Appluimonia,3,8/2/16 23:00,7.16925
Appluimonia,3,8/3/16 7:00,5.23373
Appluimonia,3,8/3/16 11:00,6.88687
Appluimonia,3,8/3/16 13:00,2.986
Appluimonia,3,8/3/16 17:00,5.43521
Appluimonia,3,8/4/16 4:00,6.30767
Appluimonia,3,8/4/16 13:00,3.43536
Appluimonia,7,8/5/16 12:00,4.7417
Appluimonia,3,8/5/16 15:00,5.7574
Appluimonia,3,8/6/16 20:00,3.15957
Appluimonia,3,8/7/16 1:00,3.51141
Appluimonia,3,8/7/16 9:00,3.22702
Appluimonia,3,8/7/16 14:00,5.08426
Appluimonia,3,8/7/16 17:00,2.98409
Appluimonia,3,8/7/16 19:00,3.53075
Appluimonia,3,8/7/16 20:00,3.37525
Appluimonia,3,8/8/16 12:00,3.86343
Appluimonia,7,8/9/16 17:00,2.95745
Appluimonia,9,8/10/16 2:00,5.2378
Appluimonia,3,8/10/16 2:00,4.82986
Appluimonia,3,8/10/16 14:00,3.62356
Appluimonia,3,8/11/16 1:00,4.30881
Appluimonia,3,8/11/16 16:00,4.18471
Appluimonia,3,8/12/16 0:00,3.18029
Appluimonia,9,8/12/16 7:00,4.67996
Appluimonia,3,8/12/16 18:00,3.69484
Appluimonia,3,8/13/16 0:00,3.20624
Appluimonia,5,8/13/16 9:00,5.09698
Appluimonia,5,8/13/16 11:00,7.74279
Appluimonia,5,8/13/16 13:00,3.26127
Appluimonia,7,8/13/16 20:00,2.92233
Appluimonia,5,8/13/16 23:00,3.31014
Appluimonia,3,8/14/16 11:00,4.77263
Appluimonia,9,8/16/16 11:00,3.9341
Appluimonia,5,8/17/16 0:00,3.33554
Appluimonia,3,8/17/16 13:00,5.49952
Appluimonia,3,8/17/16 17:00,4.13592
Appluimonia,3,8/18/16 0:00,3.13705
Appluimonia,3,8/18/16 5:00,3.83196
Appluimonia,3,8/19/16 13:00,3.3438
Appluimonia,3,8/19/16 14:00,4.1125
Appluimonia,3,8/19/16 15:00,4.2453
Appluimonia,3,8/19/16 18:00,3.21054
Appluimonia,3,8/19/16 21:00,3.84422
Appluimonia,3,8/19/16 22:00,3.44515
Appluimonia,3,8/20/16 6:00,4.32176
Appluimonia,3,8/20/16 21:00,4.09722
Appluimonia,3,8/21/16 4:00,5.87673
Appluimonia,9,8/21/16 14:00,3.96245
Appluimonia,9,8/21/16 16:00,3.75369
Appluimonia,3,8/22/16 19:00,4.79507
Appluimonia,3,8/23/16 7:00,3.46693
Appluimonia,3,8/24/16 19:00,4.03865
