Chemical,Monitor,Date Time ,Reading
Appluimonia,1,4/16/16 11:00,1.27005
Appluimonia,1,4/26/16 13:00,2.09212
Appluimonia,1,8/2/16 8:00,2.96613
Appluimonia,1,8/20/16 4:00,2.20189
Appluimonia,1,8/20/16 5:00,1.30165
Appluimonia,2,4/4/16 13:00,1.80374
Appluimonia,2,4/14/16 7:00,1.56043
Appluimonia,2,4/30/16 3:00,1.62539
Appluimonia,2,8/2/16 7:00,1.97971
Appluimonia,2,8/13/16 6:00,1.29426
Appluimonia,2,8/17/16 14:00,1.29951
Appluimonia,2,8/20/16 4:00,1.37266
Appluimonia,2,8/30/16 11:00,1.28671
Appluimonia,2,12/6/16 19:00,1.5056
Appluimonia,3,4/1/16 1:00,3.48407
Appluimonia,3,4/1/16 8:00,2.10568
Appluimonia,3,4/1/16 9:00,1.78909
Appluimonia,3,4/1/16 14:00,1.68447
Appluimonia,3,4/1/16 15:00,1.34866
Appluimonia,3,4/1/16 16:00,1.63558
Appluimonia,3,4/1/16 17:00,1.54654
Appluimonia,3,4/1/16 20:00,2.96486
Appluimonia,3,4/1/16 21:00,1.50516
Appluimonia,3,4/1/16 22:00,1.99986
Appluimonia,3,4/2/16 2:00,2.02981
Appluimonia,3,4/2/16 5:00,1.5085
Appluimonia,3,4/2/16 6:00,1.67572
Appluimonia,3,4/2/16 8:00,2.36543
Appluimonia,3,4/2/16 11:00,2.64384
Appluimonia,3,4/2/16 12:00,1.61539
Appluimonia,3,4/2/16 14:00,1.47398
Appluimonia,3,4/2/16 15:00,1.59427
Appluimonia,3,4/2/16 16:00,3.00526
Appluimonia,3,4/2/16 17:00,3.40071
Appluimonia,3,4/2/16 19:00,2.30917
Appluimonia,3,4/2/16 21:00,1.32157
Appluimonia,3,4/2/16 22:00,3.02095
Appluimonia,3,4/3/16 0:00,1.59205
Appluimonia,3,4/3/16 2:00,2.66253
Appluimonia,3,4/3/16 8:00,1.4751
Appluimonia,3,4/3/16 12:00,3.3394
Appluimonia,3,4/3/16 14:00,2.67649
Appluimonia,3,4/3/16 21:00,2.58583
Appluimonia,3,4/3/16 23:00,3.1433
Appluimonia,3,4/4/16 0:00,3.22166
Appluimonia,3,4/4/16 1:00,3.89905
Appluimonia,3,4/4/16 2:00,2.02716
Appluimonia,3,4/4/16 4:00,2.07215
Appluimonia,3,4/4/16 5:00,3.09481
Appluimonia,3,4/4/16 11:00,2.20415
Appluimonia,3,4/4/16 14:00,2.25334
Appluimonia,3,4/4/16 16:00,2.25943
Appluimonia,3,4/4/16 17:00,1.66213
Appluimonia,3,4/4/16 18:00,1.68566
Appluimonia,3,4/4/16 22:00,1.54248
Appluimonia,3,4/5/16 0:00,1.49232
Appluimonia,3,4/5/16 1:00,1.99606
Appluimonia,3,4/5/16 2:00,1.71615
Appluimonia,3,4/5/16 3:00,4.69096
Appluimonia,3,4/5/16 5:00,1.74166
Appluimonia,3,4/5/16 8:00,3.19862
Appluimonia,3,4/5/16 9:00,1.86291
Appluimonia,3,4/5/16 10:00,2.28432
Appluimonia,3,4/5/16 18:00,2.12553
Appluimonia,3,4/5/16 20:00,1.37376
Appluimonia,3,4/5/16 23:00,4.12673
Appluimonia,3,4/6/16 2:00,1.28935
Appluimonia,3,4/6/16 4:00,3.00955
Appluimonia,3,4/6/16 8:00,1.99956
Appluimonia,3,4/6/16 10:00,1.67255
Appluimonia,3,4/6/16 13:00,2.27326
Appluimonia,3,4/6/16 14:00,2.17633
Appluimonia,3,4/6/16 15:00,1.56835
Appluimonia,3,4/6/16 19:00,1.82678
Appluimonia,3,4/6/16 20:00,2.24691
Appluimonia,3,4/6/16 21:00,1.30756
Appluimonia,3,4/6/16 22:00,2.98295
Appluimonia,3,4/6/16 23:00,1.82308
Appluimonia,3,4/7/16 1:00,6.28941
Appluimonia,3,4/7/16 3:00,2.09654
Appluimonia,3,4/7/16 4:00,1.49707
Appluimonia,3,4/7/16 7:00,2.48559
Appluimonia,3,4/7/16 9:00,1.77962
Appluimonia,3,4/7/16 11:00,2.20688
Appluimonia,3,4/7/16 12:00,2.0982
Appluimonia,3,4/7/16 15:00,1.44496
Appluimonia,3,4/7/16 18:00,4.04576
Appluimonia,3,4/7/16 23:00,2.44397
Appluimonia,3,4/8/16 0:00,1.31112
Appluimonia,3,4/8/16 3:00,1.51885
Appluimonia,3,4/8/16 9:00,2.98181
Appluimonia,3,4/8/16 10:00,1.82957
Appluimonia,3,4/8/16 17:00,1.82018
Appluimonia,3,4/8/16 19:00,1.54248
Appluimonia,3,4/8/16 20:00,1.4124
Appluimonia,3,4/8/16 22:00,2.02529
Appluimonia,3,4/9/16 3:00,5.06041
Appluimonia,3,4/9/16 7:00,2.4089
Appluimonia,3,4/9/16 10:00,1.5547
Appluimonia,3,4/9/16 11:00,1.77681
Appluimonia,3,4/9/16 12:00,1.27499
Appluimonia,3,4/9/16 16:00,1.76352
Appluimonia,3,4/9/16 17:00,1.49016
Appluimonia,3,4/9/16 20:00,2.72629
Appluimonia,3,4/9/16 23:00,2.70267
Appluimonia,3,4/10/16 1:00,4.91394
Appluimonia,3,4/10/16 4:00,2.09688
Appluimonia,3,4/10/16 7:00,1.83342
Appluimonia,3,4/10/16 8:00,1.93574
Appluimonia,3,4/10/16 9:00,4.39312
Appluimonia,3,4/10/16 11:00,1.72394
Appluimonia,3,4/10/16 15:00,2.12096
Appluimonia,3,4/10/16 22:00,1.46475
Appluimonia,3,4/11/16 1:00,2.44464
Appluimonia,3,4/11/16 2:00,2.85699
Appluimonia,3,4/11/16 3:00,1.32507
Appluimonia,3,4/11/16 4:00,1.39928
Appluimonia,3,4/11/16 6:00,1.60585
Appluimonia,3,4/11/16 11:00,1.54141
Appluimonia,3,4/11/16 12:00,1.62965
Appluimonia,3,4/11/16 15:00,1.64338
Appluimonia,3,4/11/16 17:00,1.43403
Appluimonia,3,4/11/16 18:00,1.40645
Appluimonia,3,4/11/16 19:00,2.43902
Appluimonia,3,4/11/16 23:00,2.46515
Appluimonia,3,4/12/16 0:00,3.04091
Appluimonia,3,4/12/16 3:00,2.61483
Appluimonia,3,4/12/16 7:00,1.46961
Appluimonia,3,4/12/16 8:00,1.69793
Appluimonia,3,4/12/16 11:00,1.35551
Appluimonia,3,4/12/16 12:00,1.42829
Appluimonia,3,4/12/16 16:00,2.44962
Appluimonia,3,4/12/16 17:00,1.59893
Appluimonia,3,4/12/16 18:00,4.93719
Appluimonia,3,4/12/16 20:00,1.67737
Appluimonia,3,4/13/16 1:00,1.7398
Appluimonia,3,4/13/16 10:00,1.35795
Appluimonia,3,4/13/16 12:00,1.62046
Appluimonia,3,4/13/16 13:00,1.61246
