Chemical,Monitor,Date Time ,Reading
AGOC-3A,6,4/6/16 6:00,69.16677
AGOC-3A,6,4/6/16 7:00,84.82578
AGOC-3A,5,4/6/16 13:00,56.81271
AGOC-3A,6,4/15/16 8:00,38.05422
AGOC-3A,8,4/15/16 9:00,37.69717
AGOC-3A,8,4/15/16 10:00,101.10558
AGOC-3A,6,4/15/16 12:00,45.51334
AGOC-3A,7,4/15/16 21:00,47.05521
AGOC-3A,6,4/17/16 13:00,58.20655
AGOC-3A,6,4/21/16 18:00,60.83662
AGOC-3A,6,4/21/16 19:00,44.9197
AGOC-3A,9,4/22/16 9:00,47.95602
AGOC-3A,3,8/1/16 14:00,64.67163
AGOC-3A,3,8/1/16 21:00,38.44904
AGOC-3A,6,8/6/16 16:00,38.57752
AGOC-3A,6,8/9/16 20:00,56.59016
AGOC-3A,6,8/11/16 17:00,71.68124
AGOC-3A,6,8/11/16 18:00,50.82869
AGOC-3A,5,8/12/16 6:00,42.76565
AGOC-3A,5,8/12/16 12:00,84.63599
AGOC-3A,3,8/13/16 9:00,85.31459
AGOC-3A,3,8/13/16 10:00,49.51799
AGOC-3A,3,8/13/16 11:00,51.70445
AGOC-3A,3,8/13/16 13:00,81.69983
AGOC-3A,3,8/13/16 17:00,57.3504
AGOC-3A,4,8/16/16 14:00,32.72532
AGOC-3A,5,8/18/16 10:00,32.61976
AGOC-3A,6,8/18/16 16:00,56.17981
AGOC-3A,4,8/21/16 14:00,38.58217
AGOC-3A,4,8/21/16 16:00,40.75027
AGOC-3A,6,8/23/16 6:00,42.24573
AGOC-3A,3,12/5/16 6:00,80.4121
AGOC-3A,4,12/5/16 21:00,49.1228
AGOC-3A,5,12/8/16 16:00,32.44999
AGOC-3A,6,12/9/16 7:00,70.82454
AGOC-3A,6,12/13/16 15:00,42.91628
AGOC-3A,6,12/13/16 16:00,42.5599
AGOC-3A,5,12/14/16 8:00,35.16737
AGOC-3A,6,12/14/16 19:00,40.2833
AGOC-3A,6,12/16/16 19:00,74.27616
AGOC-3A,4,12/17/16 9:00,33.7335
AGOC-3A,4,12/18/16 8:00,48.01808
AGOC-3A,4,12/18/16 9:00,65.71898
AGOC-3A,6,12/23/16 11:00,63.80607
