Chemical,Monitor,Date Time ,Reading
AGOC-3A,4,4/1/16 0:00,0.0814906
AGOC-3A,4,4/1/16 1:00,0.0827827
AGOC-3A,1,4/1/16 1:00,0.0656058
AGOC-3A,9,4/1/16 2:00,0.0656916
AGOC-3A,4,4/1/16 2:00,0.0389048
AGOC-3A,7,4/1/16 2:00,0.0304364
AGOC-3A,1,4/1/16 3:00,0.0895294
AGOC-3A,3,4/1/16 3:00,0.0585907
AGOC-3A,9,4/1/16 5:00,0.0318543
AGOC-3A,4,4/1/16 5:00,0.00241546
AGOC-3A,5,4/1/16 6:00,0.0686394
AGOC-3A,9,4/1/16 7:00,0.0320344
AGOC-3A,6,4/1/16 7:00,0.0231199
AGOC-3A,9,4/1/16 8:00,0.0810158
AGOC-3A,5,4/1/16 8:00,0.071417
AGOC-3A,1,4/1/16 8:00,0.0343286
AGOC-3A,8,4/1/16 8:00,0.0133735
AGOC-3A,5,4/1/16 9:00,0.0455874
AGOC-3A,1,4/1/16 10:00,0.0251836
AGOC-3A,1,4/1/16 11:00,0.0669641
AGOC-3A,8,4/1/16 11:00,0.0666572
AGOC-3A,7,4/1/16 11:00,0.0143858
AGOC-3A,9,4/1/16 12:00,0.0870258
AGOC-3A,6,4/1/16 12:00,0.0475963
AGOC-3A,5,4/1/16 13:00,0.0225215
AGOC-3A,4,4/1/16 14:00,0.0551616
AGOC-3A,5,4/1/16 14:00,0.0458705
AGOC-3A,1,4/1/16 14:00,0.0306601
AGOC-3A,8,4/1/16 14:00,0.0140477
AGOC-3A,6,4/1/16 18:00,0.065808
AGOC-3A,9,4/1/16 19:00,0.0810708
AGOC-3A,1,4/1/16 19:00,0.0789502
AGOC-3A,5,4/1/16 19:00,0.0497588
AGOC-3A,6,4/1/16 20:00,0.0391207
AGOC-3A,5,4/1/16 21:00,0.0734797
AGOC-3A,6,4/1/16 21:00,0.052684
AGOC-3A,4,4/1/16 21:00,0.0393881
AGOC-3A,1,4/1/16 21:00,0.0385238
AGOC-3A,5,4/1/16 22:00,0.030958
AGOC-3A,9,4/1/16 23:00,0.0760482
AGOC-3A,7,4/1/16 23:00,0.0506304
AGOC-3A,2,4/1/16 23:00,0.0381507
