Chemical,Monitor,Date Time ,Reading
Appluimonia,1,4/16/16 11:00,1.27005
Appluimonia,1,4/26/16 3:00,0.724502
Appluimonia,1,4/27/16 4:00,0.749757
Appluimonia,1,8/5/16 12:00,0.719431
Appluimonia,1,8/13/16 6:00,0.734696
Appluimonia,1,8/20/16 5:00,1.30165
Appluimonia,1,8/25/16 16:00,0.709011
Appluimonia,1,8/26/16 9:00,0.707091
Appluimonia,1,8/31/16 2:00,0.771454
Appluimonia,1,12/3/16 8:00,0.792496
Appluimonia,1,12/4/16 18:00,0.800059
Appluimonia,1,12/8/16 8:00,0.889782
Appluimonia,1,12/12/16 21:00,0.79008
Appluimonia,1,12/15/16 5:00,0.742743
Appluimonia,1,12/29/16 3:00,0.84401
Appluimonia,1,12/30/16 1:00,0.720333
Appluimonia,1,12/30/16 20:00,0.849714
Appluimonia,2,4/1/16 22:00,0.762059
Appluimonia,2,4/2/16 1:00,0.750262
Appluimonia,2,4/2/16 2:00,0.80029
Appluimonia,2,4/2/16 10:00,0.929112
Appluimonia,2,4/2/16 15:00,0.778458
Appluimonia,2,4/3/16 1:00,1.00538
Appluimonia,2,4/3/16 4:00,0.761075
Appluimonia,2,4/3/16 6:00,1.0983
Appluimonia,2,4/3/16 8:00,0.792205
Appluimonia,2,4/3/16 10:00,0.970091
Appluimonia,2,4/3/16 14:00,0.756851
Appluimonia,2,4/3/16 19:00,1.1134
Appluimonia,2,4/4/16 11:00,0.880426
Appluimonia,2,4/4/16 14:00,0.867208
Appluimonia,2,4/4/16 17:00,0.816837
Appluimonia,2,4/4/16 20:00,0.800572
Appluimonia,2,4/5/16 0:00,1.15495
Appluimonia,2,4/5/16 7:00,0.73242
Appluimonia,2,4/5/16 9:00,0.717084
Appluimonia,2,4/6/16 2:00,0.753383
Appluimonia,2,4/7/16 11:00,0.855275
Appluimonia,2,4/7/16 15:00,0.985913
Appluimonia,2,4/8/16 15:00,0.746086
Appluimonia,2,4/9/16 13:00,0.73925
Appluimonia,2,4/9/16 20:00,0.771408
Appluimonia,2,4/11/16 5:00,0.775083
Appluimonia,2,4/11/16 6:00,0.980499
