Chemical,Monitor,Date Time ,Reading
Appluimonia,1,4/1/16 2:00,0.0983349
Appluimonia,6,4/1/16 5:00,0.0518588
Appluimonia,5,4/1/16 6:00,0.105537
Appluimonia,4,4/1/16 6:00,0.104948
Appluimonia,9,4/1/16 6:00,0.0848154
Appluimonia,5,4/1/16 7:00,0.089142
Appluimonia,5,4/1/16 12:00,0.0766411
Appluimonia,5,4/1/16 13:00,0.107169
Appluimonia,4,4/1/16 13:00,0.102078
Appluimonia,9,4/1/16 13:00,0.0456287
Appluimonia,4,4/1/16 14:00,0.100419
Appluimonia,8,4/1/16 14:00,0.0813537
Appluimonia,5,4/1/16 15:00,0.0582271
Appluimonia,6,4/1/16 18:00,0.0844535
Appluimonia,4,4/1/16 18:00,0.064684
Appluimonia,7,4/1/16 19:00,0.0984389
Appluimonia,9,4/1/16 19:00,0.0599954
Appluimonia,1,4/1/16 20:00,0.0839435
Appluimonia,4,4/1/16 21:00,0.0696817
Appluimonia,9,4/1/16 22:00,0.100193
Appluimonia,9,4/1/16 23:00,0.101802
Appluimonia,1,4/1/16 23:00,0.0833816
Appluimonia,8,4/1/16 23:00,0.0637086
Appluimonia,5,4/2/16 2:00,0.107135
Appluimonia,6,4/2/16 6:00,0.0975712
Appluimonia,4,4/2/16 6:00,0.0496604
Appluimonia,1,4/2/16 7:00,0.0662188
Appluimonia,4,4/2/16 8:00,0.0777494
Appluimonia,2,4/2/16 8:00,0.069863
Appluimonia,2,4/2/16 11:00,0.0983831
Appluimonia,1,4/2/16 11:00,0.0530652
Appluimonia,9,4/2/16 12:00,0.0654333
Appluimonia,2,4/2/16 16:00,0.0559627
Appluimonia,2,4/2/16 17:00,0.102108
Appluimonia,9,4/2/16 18:00,0.0764745
Appluimonia,5,4/2/16 20:00,0.103249
Appluimonia,1,4/2/16 20:00,0.10275
Appluimonia,4,4/2/16 20:00,0.0744315
Appluimonia,8,4/2/16 21:00,0.0991928
Appluimonia,4,4/2/16 22:00,0.106043
Appluimonia,9,4/2/16 22:00,0.0724228
Appluimonia,2,4/2/16 22:00,0.0688266
Appluimonia,8,4/2/16 23:00,0.107452
Appluimonia,6,4/2/16 23:00,0.0847191
Appluimonia,5,4/2/16 23:00,0.0846849
Appluimonia,9,4/2/16 23:00,0.0641833
Appluimonia,1,4/3/16 0:00,0.057853
Appluimonia,4,4/3/16 2:00,0.0849016
Appluimonia,2,4/3/16 3:00,0.0720086
Appluimonia,1,4/3/16 4:00,0.0747294
Appluimonia,5,4/3/16 6:00,0.0925286
Appluimonia,4,4/3/16 6:00,0.0505082
Appluimonia,9,4/3/16 8:00,0.0658359
Appluimonia,1,4/3/16 9:00,0.056906
Appluimonia,5,4/3/16 9:00,0.0517396
Appluimonia,5,4/3/16 10:00,0.0860443
Appluimonia,8,4/3/16 10:00,0.0748526
Appluimonia,1,4/3/16 12:00,0.0705694
Appluimonia,6,4/3/16 14:00,0.079525
Appluimonia,2,4/3/16 15:00,0.0640518
Appluimonia,4,4/3/16 15:00,0.0574983
Appluimonia,1,4/3/16 16:00,0.0603239
Appluimonia,4,4/3/16 18:00,0.0619983
Appluimonia,9,4/3/16 19:00,0.0497183
Appluimonia,5,4/3/16 20:00,0.0464518
Appluimonia,9,4/3/16 21:00,0.0795333
Appluimonia,5,4/3/16 22:00,0.0835449
Appluimonia,4,4/3/16 23:00,0.104091
Appluimonia,9,4/4/16 0:00,0.0452163
Appluimonia,4,4/4/16 1:00,0.0863432
Appluimonia,6,4/4/16 3:00,0.0793595
Appluimonia,1,4/4/16 3:00,0.0672504
Appluimonia,9,4/4/16 4:00,0.0867743
Appluimonia,8,4/4/16 7:00,0.0565336
Appluimonia,3,4/4/16 8:00,0.0658116
Appluimonia,4,4/4/16 8:00,0.0505891
Appluimonia,2,4/4/16 10:00,0.107459
Appluimonia,1,4/4/16 11:00,0.0569456
Appluimonia,1,4/4/16 12:00,0.0719589
Appluimonia,1,4/4/16 13:00,0.0736291
Appluimonia,5,4/4/16 14:00,0.0984913
Appluimonia,1,4/4/16 14:00,0.0962397
Appluimonia,1,4/4/16 15:00,0.0774911
Appluimonia,6,4/4/16 15:00,0.0721281
Appluimonia,5,4/4/16 16:00,0.0814404
Appluimonia,4,4/4/16 16:00,0.0525036
Appluimonia,8,4/4/16 17:00,0.0725765
Appluimonia,7,4/4/16 17:00,0.0583046
Appluimonia,4,4/4/16 18:00,0.0931294
Appluimonia,2,4/4/16 18:00,0.0494432
Appluimonia,1,4/4/16 20:00,0.0668495
Appluimonia,5,4/4/16 20:00,0.0503667
Appluimonia,4,4/4/16 21:00,0.0953257
Appluimonia,1,4/4/16 21:00,0.0846126
Appluimonia,3,4/4/16 21:00,0.0818997
Appluimonia,2,4/4/16 22:00,0.0724041
Appluimonia,1,4/4/16 22:00,0.0476201
Appluimonia,9,4/4/16 22:00,0.0469852
Appluimonia,2,4/4/16 23:00,0.100604
Appluimonia,9,4/5/16 0:00,0.0586121
Appluimonia,9,4/5/16 1:00,0.0950479
Appluimonia,5,4/5/16 1:00,0.0585417
Appluimonia,4,4/5/16 3:00,0.107442
Appluimonia,9,4/5/16 4:00,0.0745059
Appluimonia,5,4/5/16 4:00,0.0447341
Appluimonia,8,4/5/16 5:00,0.0511749
Appluimonia,2,4/5/16 6:00,0.058373
Appluimonia,1,4/5/16 6:00,0.0470147
Appluimonia,8,4/5/16 8:00,0.0496178
Appluimonia,4,4/5/16 9:00,0.101594
Appluimonia,6,4/5/16 9:00,0.0497233
Appluimonia,1,4/5/16 11:00,0.0868284
Appluimonia,5,4/5/16 11:00,0.0808516
Appluimonia,1,4/5/16 13:00,0.102112
Appluimonia,4,4/5/16 16:00,0.0543302
Appluimonia,1,4/5/16 17:00,0.106896
Appluimonia,5,4/5/16 17:00,0.0772328
Appluimonia,4,4/5/16 18:00,0.0869359
Appluimonia,5,4/5/16 18:00,0.0588949
Appluimonia,4,4/5/16 21:00,0.0661363
Appluimonia,1,4/6/16 5:00,0.0615702
Appluimonia,1,4/6/16 7:00,0.0783574
Appluimonia,9,4/6/16 7:00,0.074301
Appluimonia,4,4/6/16 7:00,0.0730123
Appluimonia,2,4/6/16 10:00,0.107261
Appluimonia,5,4/6/16 10:00,0.0965025
Appluimonia,1,4/6/16 11:00,0.0889944
Appluimonia,7,4/6/16 12:00,0.0848401
Appluimonia,5,4/6/16 12:00,0.0783445
Appluimonia,4,4/6/16 12:00,0.0655485
Appluimonia,9,4/6/16 12:00,0.05864
Appluimonia,6,4/6/16 13:00,0.0777451
Appluimonia,2,4/6/16 14:00,0.0945108
Appluimonia,5,4/6/16 14:00,0.0716803
Appluimonia,2,4/6/16 16:00,0.0630632
Appluimonia,1,4/6/16 16:00,0.0577941
Appluimonia,4,4/6/16 19:00,0.0951007
Appluimonia,1,4/6/16 20:00,0.0943734
Appluimonia,5,4/6/16 22:00,0.0691515
Appluimonia,5,4/6/16 23:00,0.0827645
Appluimonia,1,4/7/16 0:00,0.104965
Appluimonia,1,4/7/16 3:00,0.0657657
Appluimonia,7,4/7/16 6:00,0.108047
Appluimonia,7,4/7/16 7:00,0.101169
Appluimonia,1,4/7/16 13:00,0.0586986
Appluimonia,5,4/7/16 16:00,0.0485591
Appluimonia,7,4/7/16 19:00,0.0780797
Appluimonia,1,4/7/16 21:00,0.0482328
Appluimonia,8,4/8/16 0:00,0.100004
Appluimonia,8,4/8/16 3:00,0.0610829
Appluimonia,1,4/8/16 5:00,0.104742
Appluimonia,4,4/8/16 5:00,0.0955218
Appluimonia,9,4/8/16 5:00,0.0643571
Appluimonia,2,4/8/16 6:00,0.0571278
Appluimonia,9,4/8/16 7:00,0.0840588
Appluimonia,7,4/8/16 8:00,0.103517
Appluimonia,4,4/8/16 10:00,0.0845012
Appluimonia,1,4/8/16 10:00,0.0541452
Appluimonia,4,4/8/16 12:00,0.0950303
Appluimonia,4,4/8/16 13:00,0.103306
Appluimonia,4,4/8/16 14:00,0.0808405
Appluimonia,1,4/8/16 15:00,0.0977604
Appluimonia,7,4/8/16 18:00,0.0933322
Appluimonia,2,4/8/16 18:00,0.0725561
Appluimonia,6,4/8/16 18:00,0.0597217
Appluimonia,5,4/8/16 19:00,0.0582765
Appluimonia,9,4/8/16 20:00,0.0727126
