Chemical,Monitor,Date Time ,Reading
Chlorodinine,2,4/1/16 0:00,0.0115732
Chlorodinine,4,4/1/16 0:00,0.00473954
Chlorodinine,3,4/1/16 1:00,0.0842611
Chlorodinine,2,4/1/16 1:00,0.0777142
Chlorodinine,5,4/1/16 2:00,0.0659318
Chlorodinine,2,4/1/16 3:00,0.0622761
Chlorodinine,5,4/1/16 3:00,0.0587969
Chlorodinine,7,4/1/16 3:00,0.0144352
Chlorodinine,5,4/1/16 4:00,0.033643
Chlorodinine,7,4/1/16 6:00,0.0627053
Chlorodinine,5,4/1/16 6:00,0.0278427
Chlorodinine,4,4/1/16 7:00,0.0142187
Chlorodinine,8,4/1/16 9:00,0.0948834
Chlorodinine,5,4/1/16 9:00,0.0700218
Chlorodinine,9,4/1/16 10:00,0.057487
Chlorodinine,5,4/1/16 11:00,0.025848
Chlorodinine,5,4/1/16 13:00,0.0744315
Chlorodinine,9,4/1/16 13:00,0.0159372
Chlorodinine,4,4/1/16 14:00,0.0965608
Chlorodinine,2,4/1/16 15:00,0.0763918
Chlorodinine,1,4/1/16 15:00,0.0172048
Chlorodinine,4,4/1/16 18:00,0.0567176
Chlorodinine,1,4/1/16 19:00,0.0420393
Chlorodinine,2,4/1/16 20:00,0.0334215
Chlorodinine,5,4/1/16 20:00,0.00935036
Chlorodinine,9,4/1/16 22:00,0.0650277
Chlorodinine,8,4/1/16 23:00,0.0838678
Chlorodinine,4,4/1/16 23:00,0.0664484
Chlorodinine,5,4/2/16 1:00,0.0680395
Chlorodinine,8,4/2/16 1:00,0.0401327
Chlorodinine,2,4/2/16 1:00,0.0168895
Chlorodinine,5,4/2/16 2:00,0.0535859
Chlorodinine,2,4/2/16 2:00,0.0331214
Chlorodinine,1,4/2/16 2:00,0.0149532
Chlorodinine,4,4/2/16 2:00,0.0119133
Chlorodinine,6,4/2/16 3:00,0.0902679
Chlorodinine,8,4/2/16 4:00,0.0792467
Chlorodinine,4,4/2/16 4:00,0.0242242
Chlorodinine,1,4/2/16 4:00,0.0163761
Chlorodinine,2,4/2/16 5:00,0.0504667
Chlorodinine,9,4/2/16 6:00,0.0981315
Chlorodinine,8,4/2/16 6:00,0.0685353
Chlorodinine,1,4/2/16 7:00,0.0566491
Chlorodinine,9,4/2/16 7:00,0.0540256
Chlorodinine,4,4/2/16 8:00,0.0256158
Chlorodinine,4,4/2/16 9:00,0.0495964
Chlorodinine,8,4/2/16 12:00,0.0895337
Chlorodinine,9,4/2/16 12:00,0.0827827
Chlorodinine,8,4/2/16 13:00,0.093832
Chlorodinine,9,4/2/16 13:00,0.0830369
Chlorodinine,1,4/2/16 13:00,0.0405078
Chlorodinine,9,4/2/16 14:00,0.0859592
Chlorodinine,1,4/2/16 15:00,0.0879218
Chlorodinine,5,4/2/16 15:00,0.069568
Chlorodinine,9,4/2/16 15:00,0.0265757
Chlorodinine,1,4/2/16 16:00,0.0317947
Chlorodinine,5,4/2/16 16:00,0.00448124
Chlorodinine,6,4/2/16 18:00,0.0837614
Chlorodinine,5,4/2/16 18:00,0.00554216
Chlorodinine,1,4/2/16 20:00,0.0643571
Chlorodinine,9,4/2/16 20:00,0.0354873
Chlorodinine,2,4/2/16 21:00,0.020654
Chlorodinine,1,4/2/16 23:00,0.0669259
Chlorodinine,5,4/2/16 23:00,0.0664866
Chlorodinine,5,4/3/16 0:00,0.0903127
