Chemical,Monitor,Date Time ,Reading
Methylosmolene,2,4/3/16 14:00,1.12677
Methylosmolene,2,4/3/16 19:00,1.19484
Methylosmolene,2,4/7/16 5:00,1.10648
Methylosmolene,2,4/10/16 15:00,1.36875
Methylosmolene,2,4/10/16 20:00,1.17942
Methylosmolene,2,4/15/16 16:00,1.13644
Methylosmolene,2,4/17/16 11:00,1.34113
Methylosmolene,2,4/21/16 18:00,1.34847
Methylosmolene,2,4/24/16 20:00,1.36028
Methylosmolene,2,4/25/16 16:00,1.24617
Methylosmolene,2,4/29/16 11:00,1.17047
Methylosmolene,2,4/30/16 18:00,1.18824
Methylosmolene,2,8/6/16 15:00,1.53389
Methylosmolene,2,8/7/16 23:00,1.27047
Methylosmolene,2,8/9/16 11:00,1.14619
Methylosmolene,2,8/11/16 13:00,1.26194
Methylosmolene,2,8/13/16 6:00,1.11888
Methylosmolene,2,8/15/16 4:00,1.19825
Methylosmolene,2,8/15/16 6:00,1.12498
Methylosmolene,2,8/23/16 16:00,1.24247
Methylosmolene,2,8/30/16 9:00,1.17221
Methylosmolene,2,12/3/16 9:00,1.21571
Methylosmolene,2,12/9/16 3:00,1.3466
Methylosmolene,2,12/20/16 5:00,1.21648
Methylosmolene,2,12/21/16 4:00,1.53389
Methylosmolene,2,12/22/16 9:00,1.12365
Methylosmolene,2,12/23/16 18:00,1.25484
Methylosmolene,2,12/28/16 22:00,1.31354
Methylosmolene,2,12/30/16 15:00,1.17758
Methylosmolene,3,4/1/16 6:00,2.05302
Methylosmolene,3,4/1/16 9:00,1.90111
Methylosmolene,3,4/1/16 13:00,1.52117
Methylosmolene,3,4/1/16 17:00,2.002
Methylosmolene,3,4/1/16 18:00,2.41987
Methylosmolene,3,4/1/16 19:00,1.7403
Methylosmolene,3,4/1/16 20:00,1.11615
Methylosmolene,3,4/1/16 22:00,1.71336
Methylosmolene,3,4/2/16 4:00,2.02966
Methylosmolene,3,4/2/16 8:00,1.60518
Methylosmolene,3,4/2/16 13:00,1.91028
Methylosmolene,3,4/2/16 17:00,1.15031
Methylosmolene,3,4/2/16 18:00,2.11321
Methylosmolene,3,4/2/16 21:00,1.21055
Methylosmolene,3,4/3/16 1:00,1.74874
Methylosmolene,3,4/3/16 5:00,2.05653
