Chemical,Monitor,Date Time ,Reading
Chlorodinine,1,4/16/16 8:00,2.23236
Chlorodinine,1,8/2/16 9:00,1.59728
Chlorodinine,1,8/2/16 10:00,2.71442
Chlorodinine,1,8/2/16 11:00,2.22402
Chlorodinine,1,8/2/16 13:00,1.64014
Chlorodinine,2,8/2/16 5:00,2.25453
Chlorodinine,2,12/7/16 1:00,3.59151
Chlorodinine,2,12/26/16 11:00,2.4588
Chlorodinine,3,4/1/16 5:00,2.79331
Chlorodinine,3,4/1/16 6:00,3.94462
Chlorodinine,3,4/1/16 7:00,3.35156
Chlorodinine,3,4/1/16 8:00,3.83947
Chlorodinine,3,4/1/16 13:00,1.90125
Chlorodinine,3,4/1/16 19:00,1.83782
Chlorodinine,3,4/1/16 20:00,2.72895
Chlorodinine,3,4/1/16 23:00,2.62148
Chlorodinine,3,4/2/16 2:00,1.57905
Chlorodinine,3,4/2/16 3:00,1.62635
Chlorodinine,3,4/2/16 5:00,1.81087
Chlorodinine,3,4/2/16 6:00,3.71109
Chlorodinine,3,4/2/16 7:00,2.46653
Chlorodinine,3,4/2/16 11:00,2.07491
Chlorodinine,3,4/2/16 15:00,2.36397
Chlorodinine,3,4/2/16 23:00,2.17722
Chlorodinine,3,4/3/16 4:00,1.89396
Chlorodinine,3,4/3/16 10:00,2.3204
Chlorodinine,3,4/3/16 13:00,2.55036
Chlorodinine,3,4/3/16 15:00,1.5294
Chlorodinine,3,4/3/16 18:00,2.06166
Chlorodinine,3,4/4/16 2:00,2.06263
Chlorodinine,3,4/4/16 9:00,3.48857
Chlorodinine,3,4/4/16 10:00,1.67278
Chlorodinine,3,4/4/16 11:00,3.21778
Chlorodinine,3,4/4/16 12:00,1.8165
Chlorodinine,3,4/4/16 16:00,2.3034
Chlorodinine,3,4/4/16 17:00,1.51823
Chlorodinine,3,4/4/16 18:00,3.25932
Chlorodinine,3,4/4/16 19:00,3.64468
Chlorodinine,3,4/4/16 20:00,2.23434
Chlorodinine,3,4/4/16 21:00,1.9656
Chlorodinine,3,4/5/16 1:00,2.75803
Chlorodinine,3,4/5/16 3:00,2.80472
Chlorodinine,3,4/5/16 9:00,3.23339
Chlorodinine,3,4/5/16 12:00,2.43274
Chlorodinine,3,4/5/16 16:00,2.86069
Chlorodinine,3,4/5/16 20:00,1.956
Chlorodinine,3,4/5/16 21:00,1.75598
Chlorodinine,3,4/6/16 2:00,2.09588
Chlorodinine,3,4/6/16 4:00,2.01351
Chlorodinine,3,4/6/16 6:00,2.01923
Chlorodinine,3,4/6/16 11:00,3.0381
Chlorodinine,3,4/6/16 13:00,2.27364
Chlorodinine,3,4/6/16 17:00,2.66142
Chlorodinine,3,4/6/16 20:00,2.10735
Chlorodinine,3,4/6/16 22:00,3.27819
Chlorodinine,3,4/6/16 23:00,2.1378
Chlorodinine,3,4/7/16 0:00,2.64058
Chlorodinine,3,4/7/16 5:00,3.22506
Chlorodinine,3,4/7/16 6:00,3.38674
Chlorodinine,3,4/7/16 7:00,2.27499
Chlorodinine,3,4/7/16 9:00,1.96367
Chlorodinine,3,4/7/16 12:00,2.4693
Chlorodinine,3,4/7/16 17:00,3.04942
Chlorodinine,3,4/7/16 18:00,2.11944
Chlorodinine,3,4/7/16 19:00,3.11028
Chlorodinine,3,4/7/16 22:00,2.34485
Chlorodinine,3,4/7/16 23:00,2.09011
Chlorodinine,3,4/8/16 1:00,3.73857
Chlorodinine,3,4/8/16 2:00,3.48407
Chlorodinine,3,4/8/16 6:00,2.34774
Chlorodinine,3,4/8/16 8:00,3.39545
Chlorodinine,3,4/8/16 23:00,1.74129
Chlorodinine,3,4/9/16 4:00,2.75864
Chlorodinine,3,4/9/16 9:00,1.71518
Chlorodinine,3,4/9/16 12:00,2.07621
Chlorodinine,3,4/9/16 13:00,2.14762
Chlorodinine,3,4/9/16 17:00,2.6504
Chlorodinine,3,4/9/16 21:00,3.31017
Chlorodinine,3,4/10/16 0:00,1.6173
Chlorodinine,3,4/10/16 6:00,1.76857
Chlorodinine,3,4/10/16 7:00,2.21364
Chlorodinine,3,4/10/16 9:00,3.84516
Chlorodinine,3,4/10/16 10:00,1.56194
Chlorodinine,3,4/10/16 11:00,1.68851
Chlorodinine,3,4/10/16 15:00,1.96057
Chlorodinine,3,4/10/16 20:00,2.37938
Chlorodinine,3,4/10/16 23:00,1.88117
Chlorodinine,3,4/11/16 5:00,3.39079
Chlorodinine,3,4/11/16 6:00,3.98704
Chlorodinine,3,4/11/16 11:00,1.65806
Chlorodinine,3,4/11/16 12:00,2.14779
Chlorodinine,3,4/11/16 13:00,1.82533
Chlorodinine,3,4/11/16 18:00,2.05893
Chlorodinine,3,4/12/16 5:00,2.44126
Chlorodinine,3,4/12/16 8:00,2.24672
Chlorodinine,3,4/12/16 10:00,1.75573
Chlorodinine,3,4/12/16 11:00,1.63627
Chlorodinine,3,4/12/16 12:00,1.52771
Chlorodinine,3,4/12/16 14:00,2.48021
Chlorodinine,3,4/12/16 15:00,2.01351
Chlorodinine,3,4/12/16 22:00,2.86845
Chlorodinine,3,4/13/16 0:00,1.75186
Chlorodinine,3,4/13/16 5:00,3.0535
Chlorodinine,3,4/13/16 9:00,3.26743
Chlorodinine,3,4/14/16 0:00,2.77243
Chlorodinine,3,4/14/16 1:00,2.76628
Chlorodinine,3,4/14/16 2:00,1.97856
Chlorodinine,3,4/14/16 4:00,2.27384
Chlorodinine,3,4/14/16 8:00,1.76251
Chlorodinine,3,4/14/16 13:00,2.04587
Chlorodinine,3,4/14/16 19:00,3.51869
Chlorodinine,3,4/14/16 21:00,2.73696
Chlorodinine,3,4/15/16 0:00,2.03404
Chlorodinine,3,4/15/16 5:00,2.81206
Chlorodinine,3,4/15/16 8:00,1.62533
Chlorodinine,3,4/15/16 9:00,1.77034
Chlorodinine,3,4/15/16 11:00,2.20197
Chlorodinine,3,4/15/16 12:00,1.81479
Chlorodinine,3,4/15/16 18:00,2.10368
Chlorodinine,3,4/15/16 21:00,2.08208
Chlorodinine,3,4/15/16 22:00,2.40693
Chlorodinine,3,4/16/16 4:00,1.73351
Chlorodinine,3,4/16/16 6:00,1.71154
Chlorodinine,3,4/16/16 8:00,1.52159
Chlorodinine,3,4/16/16 10:00,3.29431
Chlorodinine,3,4/16/16 14:00,2.20016
Chlorodinine,3,4/16/16 17:00,1.60831
Chlorodinine,3,4/16/16 20:00,1.61212
Chlorodinine,3,4/16/16 21:00,1.50506
Chlorodinine,3,4/16/16 23:00,2.17633
Chlorodinine,3,4/17/16 2:00,2.01351
Chlorodinine,3,4/17/16 4:00,2.17585
Chlorodinine,3,4/17/16 8:00,2.11758
Chlorodinine,3,4/17/16 10:00,1.79864
Chlorodinine,3,4/17/16 12:00,1.85368
Chlorodinine,3,4/17/16 15:00,1.88671
Chlorodinine,3,4/17/16 16:00,2.9515
Chlorodinine,3,4/18/16 1:00,2.3798
Chlorodinine,3,4/18/16 6:00,1.89536
Chlorodinine,3,4/18/16 8:00,2.11724
Chlorodinine,3,4/18/16 11:00,3.18823
Chlorodinine,3,4/18/16 14:00,2.41591
Chlorodinine,3,4/18/16 15:00,2.00231
Chlorodinine,3,4/18/16 16:00,2.83314
Chlorodinine,3,4/18/16 17:00,3.95315
Chlorodinine,3,4/18/16 21:00,2.0416
Chlorodinine,3,4/19/16 5:00,3.00138
Chlorodinine,3,4/19/16 8:00,2.72983
Chlorodinine,3,4/19/16 10:00,1.62035
Chlorodinine,3,4/19/16 14:00,2.55761
Chlorodinine,3,4/19/16 15:00,2.34609
Chlorodinine,3,4/19/16 18:00,1.60563
Chlorodinine,3,4/19/16 22:00,2.74564
Chlorodinine,3,4/19/16 23:00,3.21054
Chlorodinine,3,4/20/16 2:00,1.72639
Chlorodinine,3,4/20/16 8:00,2.18345
Chlorodinine,3,4/20/16 9:00,2.92999
Chlorodinine,3,4/20/16 11:00,3.25831
Chlorodinine,3,4/20/16 12:00,1.60977
Chlorodinine,3,4/20/16 18:00,1.86975
Chlorodinine,3,4/20/16 21:00,1.52897
Chlorodinine,3,4/20/16 22:00,1.62806
Chlorodinine,3,4/20/16 23:00,2.27771
Chlorodinine,3,4/21/16 0:00,1.61381
Chlorodinine,3,4/21/16 5:00,1.75799
Chlorodinine,3,4/21/16 6:00,1.75348
Chlorodinine,3,4/21/16 8:00,2.55636
Chlorodinine,3,4/21/16 10:00,2.3042
Chlorodinine,3,4/21/16 12:00,2.26249
Chlorodinine,3,4/21/16 23:00,1.82533
Chlorodinine,3,4/22/16 5:00,2.94197
Chlorodinine,3,4/22/16 7:00,2.93942
Chlorodinine,3,4/22/16 8:00,2.55811
Chlorodinine,3,4/22/16 12:00,1.54162
Chlorodinine,3,4/22/16 14:00,1.60205
Chlorodinine,3,4/22/16 18:00,2.11439
Chlorodinine,3,4/22/16 20:00,3.53413
Chlorodinine,3,4/22/16 23:00,1.50891
Chlorodinine,3,4/23/16 2:00,1.97169
Chlorodinine,3,4/23/16 14:00,2.10069
Chlorodinine,3,4/24/16 0:00,1.7823
Chlorodinine,3,4/24/16 2:00,3.70455
Chlorodinine,3,4/24/16 6:00,2.02622
Chlorodinine,3,4/24/16 11:00,2.0375
Chlorodinine,3,4/24/16 21:00,1.72774
Chlorodinine,3,4/24/16 22:00,1.80136
Chlorodinine,3,4/25/16 0:00,2.33419
Chlorodinine,3,4/25/16 7:00,2.34918
Chlorodinine,3,4/25/16 8:00,1.63398
Chlorodinine,3,4/25/16 12:00,2.02591
Chlorodinine,3,4/25/16 14:00,2.22062
Chlorodinine,3,4/25/16 23:00,2.38941
Chlorodinine,3,4/26/16 3:00,1.73894
Chlorodinine,3,4/26/16 4:00,3.78896
Chlorodinine,3,4/26/16 6:00,1.6591
Chlorodinine,3,4/27/16 8:00,2.66419
Chlorodinine,3,4/27/16 10:00,3.97377
Chlorodinine,3,4/27/16 15:00,1.51739
Chlorodinine,3,4/27/16 16:00,2.16557
Chlorodinine,3,4/27/16 19:00,1.86455
Chlorodinine,3,4/27/16 21:00,2.00536
Chlorodinine,3,4/28/16 0:00,2.22672
