Chemical,Monitor,Date Time ,Reading
Chlorodinine,3,4/3/16 17:00,4.71645
Chlorodinine,6,4/3/16 19:00,4.89996
Chlorodinine,6,4/3/16 20:00,5.7959
Chlorodinine,6,4/3/16 21:00,8.83151
Chlorodinine,6,4/3/16 22:00,8.21802
Chlorodinine,6,4/3/16 23:00,5.74954
Chlorodinine,6,4/4/16 0:00,6.46
Chlorodinine,6,4/4/16 6:00,5.66748
Chlorodinine,6,4/4/16 7:00,9.15016
Chlorodinine,6,4/4/16 8:00,8.38336
Chlorodinine,6,4/4/16 9:00,9.4983
Chlorodinine,6,4/4/16 10:00,11.4888
Chlorodinine,6,4/4/16 11:00,10.20275
Chlorodinine,6,4/4/16 12:00,10.89502
Chlorodinine,3,4/5/16 14:00,4.07481
Chlorodinine,6,4/6/16 2:00,7.70862
Chlorodinine,4,4/7/16 1:00,7.20073
Chlorodinine,4,4/7/16 2:00,4.76547
Chlorodinine,5,4/8/16 13:00,5.8159
Chlorodinine,6,4/9/16 14:00,6.68777
Chlorodinine,6,4/9/16 15:00,11.79647
Chlorodinine,3,4/10/16 14:00,4.33989
Chlorodinine,6,4/10/16 16:00,6.73747
Chlorodinine,6,4/10/16 17:00,4.21188
Chlorodinine,4,4/11/16 4:00,4.72021
Chlorodinine,3,4/12/16 23:00,5.51301
Chlorodinine,3,4/14/16 5:00,4.51473
Chlorodinine,8,4/14/16 12:00,5.669
Chlorodinine,3,4/14/16 23:00,4.70871
Chlorodinine,3,4/15/16 13:00,4.34825
Chlorodinine,1,4/16/16 11:00,5.09007
Chlorodinine,3,4/17/16 17:00,6.04298
Chlorodinine,7,4/19/16 4:00,4.44909
Chlorodinine,7,4/19/16 6:00,4.70666
Chlorodinine,6,4/21/16 2:00,7.16647
Chlorodinine,5,4/21/16 10:00,6.07162
Chlorodinine,5,4/21/16 12:00,5.01571
Chlorodinine,6,4/22/16 1:00,4.49686
Chlorodinine,4,4/22/16 13:00,4.4413
Chlorodinine,6,4/25/16 0:00,4.40355
Chlorodinine,3,4/25/16 1:00,4.58932
Chlorodinine,6,4/25/16 10:00,5.7646
Chlorodinine,6,4/25/16 15:00,6.33602
Chlorodinine,6,4/25/16 16:00,5.08316
Chlorodinine,6,4/25/16 17:00,4.47046
Chlorodinine,7,4/26/16 5:00,6.00129
Chlorodinine,8,4/26/16 8:00,7.44058
Chlorodinine,8,4/26/16 10:00,6.48963
Chlorodinine,6,4/26/16 21:00,5.22623
Chlorodinine,6,4/26/16 23:00,7.11228
Chlorodinine,6,4/27/16 0:00,12.84422
Chlorodinine,6,4/27/16 1:00,5.54259
Chlorodinine,6,4/27/16 23:00,5.44549
Chlorodinine,6,4/28/16 7:00,4.34923
Chlorodinine,3,4/29/16 12:00,6.34574
Chlorodinine,3,4/30/16 0:00,5.15563
Chlorodinine,3,4/30/16 11:00,4.05292
Chlorodinine,4,8/1/16 4:00,5.22735
Chlorodinine,3,8/1/16 12:00,7.82971
Chlorodinine,3,8/2/16 2:00,4.69155
Chlorodinine,2,8/2/16 6:00,15.72311
Chlorodinine,1,8/2/16 12:00,4.41885
Chlorodinine,3,8/2/16 19:00,5.65382
Chlorodinine,3,8/2/16 20:00,7.27176
Chlorodinine,4,8/3/16 7:00,4.66672
Chlorodinine,4,8/3/16 8:00,4.05664
Chlorodinine,3,8/3/16 13:00,5.52669
Chlorodinine,3,8/4/16 17:00,5.11704
Chlorodinine,5,8/6/16 10:00,6.75136
Chlorodinine,6,8/6/16 20:00,4.33439
Chlorodinine,3,8/6/16 22:00,4.23786
Chlorodinine,3,8/7/16 5:00,4.80942
Chlorodinine,6,8/8/16 1:00,11.24994
Chlorodinine,6,8/8/16 2:00,7.12418
Chlorodinine,6,8/8/16 4:00,6.31054
Chlorodinine,6,8/8/16 6:00,4.5529
Chlorodinine,6,8/8/16 20:00,6.74723
Chlorodinine,6,8/9/16 15:00,7.95759
Chlorodinine,4,8/10/16 8:00,4.53965
Chlorodinine,4,8/10/16 13:00,6.95417
Chlorodinine,3,8/11/16 3:00,4.14921
Chlorodinine,6,8/11/16 22:00,11.29447
Chlorodinine,6,8/12/16 2:00,9.06231
Chlorodinine,5,8/12/16 4:00,5.76907
Chlorodinine,5,8/12/16 6:00,8.50022
Chlorodinine,5,8/12/16 13:00,4.21276
Chlorodinine,6,8/12/16 22:00,4.3177
Chlorodinine,6,8/13/16 4:00,4.74857
Chlorodinine,4,8/13/16 6:00,5.02654
Chlorodinine,3,8/13/16 9:00,8.96003
Chlorodinine,3,8/13/16 10:00,5.25744
Chlorodinine,4,8/14/16 6:00,5.37362
Chlorodinine,6,8/15/16 10:00,8.34929
Chlorodinine,3,8/15/16 13:00,4.2619
Chlorodinine,3,8/15/16 19:00,5.13392
Chlorodinine,5,8/16/16 5:00,11.74958
Chlorodinine,4,8/16/16 10:00,6.17904
Chlorodinine,3,8/17/16 5:00,5.30958
Chlorodinine,6,8/17/16 12:00,4.30144
Chlorodinine,6,8/17/16 13:00,4.11975
Chlorodinine,3,8/18/16 18:00,5.41082
Chlorodinine,6,8/18/16 20:00,7.54601
Chlorodinine,2,8/20/16 4:00,7.46014
Chlorodinine,3,8/20/16 10:00,5.77153
Chlorodinine,3,8/21/16 9:00,4.05173
Chlorodinine,4,8/21/16 10:00,4.16635
Chlorodinine,4,8/21/16 11:00,4.86572
Chlorodinine,4,8/21/16 13:00,4.82924
Chlorodinine,4,8/21/16 14:00,4.55123
Chlorodinine,6,8/22/16 16:00,5.52658
Chlorodinine,6,8/22/16 17:00,6.02593
Chlorodinine,3,8/24/16 4:00,4.93719
Chlorodinine,3,8/25/16 0:00,4.10993
Chlorodinine,5,8/26/16 0:00,4.72773
Chlorodinine,5,8/26/16 4:00,5.18049
Chlorodinine,6,8/27/16 1:00,8.83708
Chlorodinine,6,8/27/16 2:00,10.20993
Chlorodinine,3,8/29/16 0:00,4.08969
Chlorodinine,6,8/29/16 13:00,5.34369
Chlorodinine,3,8/30/16 23:00,5.10458
Chlorodinine,3,8/31/16 11:00,5.15125
Chlorodinine,3,12/1/16 10:00,6.81971
Chlorodinine,5,12/2/16 13:00,6.13425
Chlorodinine,6,12/3/16 9:00,7.53633
Chlorodinine,6,12/3/16 10:00,4.24371
Chlorodinine,3,12/4/16 5:00,6.92741
Chlorodinine,3,12/4/16 17:00,4.10866
Chlorodinine,7,12/5/16 4:00,13.40056
Chlorodinine,3,12/5/16 6:00,8.36463
Chlorodinine,4,12/5/16 12:00,6.85129
Chlorodinine,4,12/5/16 21:00,9.39087
Chlorodinine,6,12/6/16 4:00,10.48365
Chlorodinine,7,12/6/16 22:00,5.31699
Chlorodinine,4,12/7/16 15:00,5.14738
Chlorodinine,5,12/7/16 21:00,4.22936
Chlorodinine,3,12/8/16 2:00,4.6493
Chlorodinine,5,12/8/16 10:00,4.07125
Chlorodinine,3,12/8/16 15:00,4.67852
Chlorodinine,3,12/9/16 11:00,6.9696
Chlorodinine,6,12/10/16 0:00,5.79181
Chlorodinine,3,12/10/16 21:00,5.45389
Chlorodinine,6,12/11/16 0:00,6.93387
Chlorodinine,3,12/11/16 9:00,4.1875
Chlorodinine,5,12/11/16 13:00,7.83611
Chlorodinine,5,12/11/16 21:00,9.84643
Chlorodinine,4,12/11/16 23:00,5.42729
Chlorodinine,3,12/12/16 7:00,4.85845
Chlorodinine,5,12/12/16 23:00,4.73819
Chlorodinine,6,12/13/16 7:00,5.96973
Chlorodinine,6,12/13/16 8:00,7.39048
Chlorodinine,6,12/13/16 9:00,9.62872
Chlorodinine,6,12/13/16 10:00,5.18856
Chlorodinine,3,12/15/16 12:00,4.39137
Chlorodinine,6,12/15/16 23:00,5.18646
Chlorodinine,6,12/16/16 13:00,7.58042
Chlorodinine,3,12/16/16 19:00,4.11764
Chlorodinine,4,12/17/16 1:00,4.63485
Chlorodinine,4,12/17/16 9:00,9.68716
Chlorodinine,4,12/17/16 22:00,7.3485
Chlorodinine,4,12/17/16 23:00,4.05706
Chlorodinine,7,12/18/16 1:00,4.17836
Chlorodinine,4,12/18/16 5:00,10.35942
Chlorodinine,4,12/18/16 6:00,5.76956
Chlorodinine,4,12/18/16 7:00,5.11535
Chlorodinine,4,12/18/16 8:00,14.58982
Chlorodinine,4,12/18/16 9:00,6.30905
Chlorodinine,6,12/19/16 1:00,4.53341
