Chemical,Monitor,Date Time ,Reading
AGOC-3A,1,4/1/16 16:00,0.271123
AGOC-3A,1,4/2/16 16:00,0.177439
AGOC-3A,1,4/3/16 16:00,0.607934
AGOC-3A,1,4/4/16 16:00,0.400977
AGOC-3A,1,4/5/16 16:00,0.0675897
AGOC-3A,1,4/6/16 16:00,0.170124
AGOC-3A,1,4/7/16 16:00,0.0809062
AGOC-3A,1,4/8/16 16:00,0.213998
AGOC-3A,1,4/9/16 16:00,0.431914
AGOC-3A,1,4/10/16 16:00,0.551898
AGOC-3A,1,4/11/16 16:00,0.0887979
AGOC-3A,1,4/12/16 16:00,0.358946
AGOC-3A,1,4/13/16 16:00,0.0857852
AGOC-3A,1,4/14/16 16:00,0.209191
AGOC-3A,1,4/15/16 16:00,0.0225215
AGOC-3A,1,4/16/16 16:00,0.292099
AGOC-3A,1,4/17/16 16:00,0.254563
AGOC-3A,1,4/18/16 16:00,0.0865587
AGOC-3A,1,4/19/16 16:00,0.607203
AGOC-3A,1,4/20/16 16:00,0.419256
AGOC-3A,1,4/21/16 16:00,0.213736
AGOC-3A,1,4/22/16 16:00,0.166529
AGOC-3A,1,4/23/16 16:00,0.863043
AGOC-3A,1,4/24/16 16:00,0.20844
AGOC-3A,1,4/25/16 16:00,0.299893
AGOC-3A,1,4/26/16 16:00,0.0207121
AGOC-3A,1,4/27/16 16:00,0.131527
AGOC-3A,1,4/28/16 16:00,0.375011
AGOC-3A,1,4/29/16 16:00,0.364977
AGOC-3A,1,4/30/16 16:00,0.230836
AGOC-3A,1,8/1/16 16:00,0.0654139
AGOC-3A,1,8/2/16 16:00,0.10287
AGOC-3A,1,8/3/16 16:00,0.21804
AGOC-3A,1,8/4/16 16:00,0.105292
AGOC-3A,1,8/5/16 16:00,0.161507
AGOC-3A,1,8/6/16 16:00,0.132596
AGOC-3A,1,8/7/16 16:00,0.436347
AGOC-3A,1,8/8/16 16:00,0.316183
AGOC-3A,1,8/9/16 16:00,0.372446
AGOC-3A,1,8/10/16 16:00,0.288237
AGOC-3A,1,8/11/16 16:00,0.0649917
AGOC-3A,1,8/12/16 16:00,0.441563
AGOC-3A,1,8/13/16 16:00,0.111442
AGOC-3A,1,8/14/16 16:00,0.324081
AGOC-3A,1,8/15/16 16:00,0.281574
AGOC-3A,1,8/16/16 16:00,0.0894903
AGOC-3A,1,8/17/16 16:00,0.124607
AGOC-3A,1,8/18/16 16:00,0.0809794
AGOC-3A,1,8/19/16 16:00,0.180462
AGOC-3A,1,8/20/16 16:00,0.0342907
AGOC-3A,1,8/21/16 16:00,0.368333
AGOC-3A,1,8/22/16 16:00,0.0472517
AGOC-3A,1,8/23/16 16:00,0.0849378
AGOC-3A,1,8/24/16 16:00,0.0299604
AGOC-3A,1,8/25/16 16:00,0.246286
AGOC-3A,1,8/26/16 16:00,0.197116
AGOC-3A,1,8/27/16 16:00,0.118659
AGOC-3A,1,8/28/16 16:00,0.601418
AGOC-3A,1,8/29/16 16:00,0.276825
AGOC-3A,1,8/30/16 16:00,0.245601
AGOC-3A,1,8/31/16 16:00,0.0261377
AGOC-3A,1,12/1/16 16:00,0.182697
AGOC-3A,1,12/2/16 16:00,0.213451
AGOC-3A,1,12/3/16 16:00,0.134666
AGOC-3A,1,12/4/16 16:00,0.359345
AGOC-3A,1,12/5/16 16:00,0.27717
AGOC-3A,1,12/6/16 16:00,0.331703
AGOC-3A,1,12/7/16 16:00,0.356025
AGOC-3A,1,12/8/16 16:00,0.581306
AGOC-3A,1,12/9/16 16:00,0.112538
AGOC-3A,1,12/10/16 16:00,0.329733
AGOC-3A,1,12/11/16 16:00,0.195907
AGOC-3A,1,12/12/16 16:00,0.080687
AGOC-3A,1,12/13/16 16:00,0.026442
AGOC-3A,1,12/14/16 16:00,0.3352
AGOC-3A,1,12/15/16 16:00,0.417368
AGOC-3A,1,12/16/16 16:00,0.402785
AGOC-3A,1,12/17/16 16:00,0.162473
AGOC-3A,1,12/18/16 16:00,0.326035
AGOC-3A,1,12/19/16 16:00,0.102491
AGOC-3A,1,12/20/16 16:00,0.0548118
AGOC-3A,1,12/21/16 16:00,0.175498
AGOC-3A,1,12/22/16 16:00,0.0357324
AGOC-3A,1,12/23/16 16:00,0.0763819
AGOC-3A,1,12/24/16 16:00,0.183588
AGOC-3A,1,12/25/16 16:00,0.300136
AGOC-3A,1,12/26/16 16:00,0.108173
AGOC-3A,1,12/27/16 16:00,0.00791731
AGOC-3A,1,12/28/16 16:00,0.130651
AGOC-3A,1,12/29/16 16:00,0.23465
AGOC-3A,1,12/30/16 16:00,0.347095
AGOC-3A,1,12/31/16 16:00,0.137773
AGOC-3A,2,4/1/16 16:00,0.296002
AGOC-3A,2,4/2/16 16:00,0.1777
AGOC-3A,2,4/3/16 16:00,0.228804
AGOC-3A,2,4/4/16 16:00,0.0805245
AGOC-3A,2,4/5/16 16:00,0.517437
AGOC-3A,2,4/6/16 16:00,0.181444
AGOC-3A,2,4/7/16 16:00,0.0145534
AGOC-3A,2,4/8/16 16:00,0.246046
AGOC-3A,2,4/9/16 16:00,0.129923
AGOC-3A,2,4/10/16 16:00,0.0636713
AGOC-3A,2,4/11/16 16:00,0.383994
AGOC-3A,2,4/12/16 16:00,0.292667
AGOC-3A,2,4/13/16 16:00,0.0759261
AGOC-3A,2,4/14/16 16:00,0.386753
AGOC-3A,2,4/15/16 16:00,0.603072
AGOC-3A,2,4/16/16 16:00,0.290939
AGOC-3A,2,4/17/16 16:00,0.38747
AGOC-3A,2,4/18/16 16:00,0.51056
AGOC-3A,2,4/19/16 16:00,0.165456
AGOC-3A,2,4/20/16 16:00,0.1189
AGOC-3A,2,4/21/16 16:00,0.106862
AGOC-3A,2,4/22/16 16:00,0.0384474
AGOC-3A,2,4/23/16 16:00,0.113879
AGOC-3A,2,4/24/16 16:00,0.24738
AGOC-3A,2,4/25/16 16:00,0.313157
AGOC-3A,2,4/26/16 16:00,0.513197
AGOC-3A,2,4/27/16 16:00,0.491949
AGOC-3A,2,4/28/16 16:00,0.63062
AGOC-3A,2,4/29/16 16:00,0.127186
AGOC-3A,2,4/30/16 16:00,0.235711
AGOC-3A,2,8/1/16 16:00,0.522952
AGOC-3A,2,8/2/16 16:00,0.0255902
AGOC-3A,2,8/3/16 16:00,0.0298108
AGOC-3A,2,8/4/16 16:00,0.603938
AGOC-3A,2,8/5/16 16:00,0.103558
AGOC-3A,2,8/6/16 16:00,0.628655
AGOC-3A,2,8/7/16 16:00,0.144182
AGOC-3A,2,8/8/16 16:00,0.432157
AGOC-3A,2,8/9/16 16:00,0.45248
AGOC-3A,2,8/10/16 16:00,0.827088
AGOC-3A,2,8/11/16 16:00,0.521809
AGOC-3A,2,8/12/16 16:00,0.539596
AGOC-3A,2,8/13/16 16:00,0.73094
AGOC-3A,2,8/14/16 16:00,0.141021
AGOC-3A,2,8/15/16 16:00,0.225409
AGOC-3A,2,8/16/16 16:00,0.194173
AGOC-3A,2,8/17/16 16:00,0.457392
AGOC-3A,2,8/18/16 16:00,0.492029
AGOC-3A,2,8/19/16 16:00,0.386719
AGOC-3A,2,8/20/16 16:00,0.259784
AGOC-3A,2,8/21/16 16:00,0.285922
AGOC-3A,2,8/22/16 16:00,0.0363537
AGOC-3A,2,8/23/16 16:00,0.564616
AGOC-3A,2,8/24/16 16:00,0.114611
AGOC-3A,2,8/25/16 16:00,0.803326
AGOC-3A,2,8/26/16 16:00,0.285828
AGOC-3A,2,8/27/16 16:00,1.05392
AGOC-3A,2,8/28/16 16:00,0.210565
AGOC-3A,2,8/29/16 16:00,0.21976
AGOC-3A,2,8/30/16 16:00,0.763128
AGOC-3A,2,8/31/16 16:00,0.296537
AGOC-3A,2,12/1/16 16:00,0.148456
AGOC-3A,2,12/2/16 16:00,0.141487
AGOC-3A,2,12/3/16 16:00,1.30497
AGOC-3A,2,12/4/16 16:00,0.502149
AGOC-3A,2,12/5/16 16:00,0.118984
AGOC-3A,2,12/6/16 16:00,0.709417
AGOC-3A,2,12/7/16 16:00,0.486085
AGOC-3A,2,12/8/16 16:00,0.606773
AGOC-3A,2,12/9/16 16:00,0.0285738
AGOC-3A,2,12/10/16 16:00,0.231492
AGOC-3A,2,12/11/16 16:00,0.455953
AGOC-3A,2,12/12/16 16:00,0.744768
AGOC-3A,2,12/13/16 16:00,0.18364
AGOC-3A,2,12/14/16 16:00,0.883172
AGOC-3A,2,12/15/16 16:00,0.379617
AGOC-3A,2,12/16/16 16:00,0.0818903
AGOC-3A,2,12/17/16 16:00,0.0786887
AGOC-3A,2,12/18/16 16:00,0.553944
AGOC-3A,2,12/19/16 16:00,0.428555
AGOC-3A,2,12/20/16 16:00,0.0515759
AGOC-3A,2,12/21/16 16:00,0.18361
AGOC-3A,2,12/22/16 16:00,0.33212
AGOC-3A,2,12/23/16 16:00,0.0831363
AGOC-3A,2,12/24/16 16:00,0.469134
AGOC-3A,2,12/25/16 16:00,0.255245
AGOC-3A,2,12/26/16 16:00,0.0247722
AGOC-3A,2,12/27/16 16:00,0.276986
AGOC-3A,2,12/28/16 16:00,0.188233
AGOC-3A,2,12/29/16 16:00,0.32056
AGOC-3A,2,12/30/16 16:00,0.593676
AGOC-3A,2,12/31/16 16:00,0.25388
AGOC-3A,3,4/1/16 16:00,1.13586
AGOC-3A,3,4/2/16 16:00,1.5176
AGOC-3A,3,4/3/16 16:00,0.931728
AGOC-3A,3,4/4/16 16:00,1.08087
AGOC-3A,3,4/5/16 16:00,0.0547705
AGOC-3A,3,4/6/16 16:00,3.84803
AGOC-3A,3,4/7/16 16:00,0.281617
AGOC-3A,3,4/8/16 16:00,3.16873
AGOC-3A,3,4/9/16 16:00,3.70617
AGOC-3A,3,4/10/16 16:00,0.401594
AGOC-3A,3,4/11/16 16:00,4.71645
AGOC-3A,3,4/12/16 16:00,1.93156
AGOC-3A,3,4/13/16 16:00,0.825048
AGOC-3A,3,4/14/16 16:00,0.0130776
AGOC-3A,3,4/15/16 16:00,3.60584
AGOC-3A,3,4/16/16 16:00,2.70961
AGOC-3A,3,4/17/16 16:00,1.94911
AGOC-3A,3,4/18/16 16:00,2.2562
AGOC-3A,3,4/19/16 16:00,1.20857
AGOC-3A,3,4/20/16 16:00,1.94009
AGOC-3A,3,4/21/16 16:00,1.07172
AGOC-3A,3,4/22/16 16:00,0.257653
AGOC-3A,3,4/23/16 16:00,0.585651
AGOC-3A,3,4/24/16 16:00,2.82141
AGOC-3A,3,4/25/16 16:00,0.207772
AGOC-3A,3,4/26/16 16:00,0.929583
AGOC-3A,3,4/27/16 16:00,1.48882
AGOC-3A,3,4/28/16 16:00,1.88991
AGOC-3A,3,4/29/16 16:00,0.130435
AGOC-3A,3,4/30/16 16:00,0.447411
AGOC-3A,3,8/1/16 16:00,0.160723
AGOC-3A,3,8/2/16 16:00,2.94525
AGOC-3A,3,8/3/16 16:00,0.630347
AGOC-3A,3,8/4/16 16:00,0.141012
AGOC-3A,3,8/5/16 16:00,1.98021
AGOC-3A,3,8/6/16 16:00,0.168019
AGOC-3A,3,8/7/16 16:00,1.25114
AGOC-3A,3,8/8/16 16:00,0.21887
AGOC-3A,3,8/9/16 16:00,0.951995
AGOC-3A,3,8/10/16 16:00,0.796103
AGOC-3A,3,8/11/16 16:00,0.274553
AGOC-3A,3,8/12/16 16:00,0.79722
AGOC-3A,3,8/13/16 16:00,0.426667
AGOC-3A,3,8/14/16 16:00,1.93878
AGOC-3A,3,8/15/16 16:00,0.319465
AGOC-3A,3,8/16/16 16:00,1.45156
AGOC-3A,3,8/17/16 16:00,0.772042
AGOC-3A,3,8/18/16 16:00,1.52096
AGOC-3A,3,8/19/16 16:00,1.86742
AGOC-3A,3,8/20/16 16:00,4.3104
AGOC-3A,3,8/21/16 16:00,1.49924
AGOC-3A,3,8/22/16 16:00,0.359755
AGOC-3A,3,8/23/16 16:00,0.438829
AGOC-3A,3,8/24/16 16:00,1.00149
AGOC-3A,3,8/25/16 16:00,0.253994
AGOC-3A,3,8/26/16 16:00,0.973893
AGOC-3A,3,8/27/16 16:00,0.0553955
AGOC-3A,3,8/28/16 16:00,0.581012
AGOC-3A,3,8/29/16 16:00,3.94249
AGOC-3A,3,8/30/16 16:00,1.33589
AGOC-3A,3,8/31/16 16:00,2.84532
AGOC-3A,3,12/1/16 16:00,1.11233
AGOC-3A,3,12/2/16 16:00,0.564461
AGOC-3A,3,12/3/16 16:00,0.506277
AGOC-3A,3,12/4/16 16:00,2.24202
AGOC-3A,3,12/5/16 16:00,10.77567
AGOC-3A,3,12/5/16 16:00,2.05708
AGOC-3A,3,12/6/16 16:00,1.60742
AGOC-3A,3,12/7/16 16:00,0.959518
AGOC-3A,3,12/8/16 16:00,0.024833
AGOC-3A,3,12/9/16 16:00,1.42563
AGOC-3A,3,12/10/16 16:00,2.46285
AGOC-3A,3,12/11/16 16:00,0.397728
AGOC-3A,3,12/12/16 16:00,0.534702
AGOC-3A,3,12/13/16 16:00,1.49531
AGOC-3A,3,12/14/16 16:00,5.14258
AGOC-3A,3,12/15/16 16:00,2.99674
AGOC-3A,3,12/16/16 16:00,0.274364
AGOC-3A,3,12/17/16 16:00,0.87712
AGOC-3A,3,12/18/16 16:00,1.0634
AGOC-3A,3,12/19/16 16:00,0.309181
AGOC-3A,3,12/20/16 16:00,0.457676
AGOC-3A,3,12/21/16 16:00,1.24824
AGOC-3A,3,12/22/16 16:00,0.754842
AGOC-3A,3,12/23/16 16:00,1.31946
AGOC-3A,3,12/24/16 16:00,0.273418
AGOC-3A,3,12/25/16 16:00,1.63387
AGOC-3A,3,12/26/16 16:00,0.438306
AGOC-3A,3,12/27/16 16:00,2.16049
AGOC-3A,3,12/28/16 16:00,1.03368
AGOC-3A,3,12/29/16 16:00,0.794217
AGOC-3A,3,12/30/16 16:00,1.46313
AGOC-3A,3,12/31/16 16:00,0.819613
AGOC-3A,4,4/1/16 16:00,0.140705
AGOC-3A,4,4/2/16 16:00,0.217088
AGOC-3A,4,4/3/16 16:00,0.32214
AGOC-3A,4,4/4/16 16:00,0.363263
AGOC-3A,4,4/5/16 16:00,0.25035
AGOC-3A,4,4/6/16 16:00,0.317726
AGOC-3A,4,4/7/16 16:00,0.194101
AGOC-3A,4,4/8/16 16:00,0.684746
AGOC-3A,4,4/9/16 16:00,0.243642
AGOC-3A,4,4/10/16 16:00,0.165474
AGOC-3A,4,4/11/16 16:00,0.335547
AGOC-3A,4,4/12/16 16:00,0.394501
AGOC-3A,4,4/13/16 16:00,0.0302508
AGOC-3A,4,4/14/16 16:00,0.0918921
AGOC-3A,4,4/15/16 16:00,0.428959
AGOC-3A,4,4/16/16 16:00,0.155122
AGOC-3A,4,4/17/16 16:00,0.212285
AGOC-3A,4,4/18/16 16:00,0.0391124
AGOC-3A,4,4/19/16 16:00,0.325412
AGOC-3A,4,4/20/16 16:00,0.113857
AGOC-3A,4,4/21/16 16:00,0.252692
AGOC-3A,4,4/22/16 16:00,0.53842
AGOC-3A,4,4/23/16 16:00,0.666827
AGOC-3A,4,4/24/16 16:00,0.530461
AGOC-3A,4,4/25/16 16:00,0.218905
AGOC-3A,4,4/26/16 16:00,0.305096
AGOC-3A,4,4/27/16 16:00,0.394089
AGOC-3A,4,4/28/16 16:00,0.212541
AGOC-3A,4,4/29/16 16:00,0.162606
AGOC-3A,4,4/30/16 16:00,0.450271
AGOC-3A,4,8/1/16 16:00,1.2937
AGOC-3A,4,8/2/16 16:00,0.874711
AGOC-3A,4,8/3/16 16:00,1.07289
AGOC-3A,4,8/4/16 16:00,1.00388
AGOC-3A,4,8/5/16 16:00,0.809133
AGOC-3A,4,8/6/16 16:00,0.652337
AGOC-3A,4,8/7/16 16:00,1.00366
AGOC-3A,4,8/8/16 16:00,0.960969
AGOC-3A,4,8/9/16 16:00,0.93969
AGOC-3A,4,8/10/16 16:00,0.945609
AGOC-3A,4,8/11/16 16:00,0.547712
AGOC-3A,4,8/12/16 16:00,1.02972
AGOC-3A,4,8/13/16 16:00,0.816309
AGOC-3A,4,8/14/16 16:00,1.26351
AGOC-3A,4,8/15/16 16:00,1.35968
AGOC-3A,4,8/16/16 16:00,1.3961
AGOC-3A,4,8/17/16 16:00,0.722669
AGOC-3A,4,8/18/16 16:00,0.871322
AGOC-3A,4,8/19/16 16:00,1.01269
AGOC-3A,4,8/20/16 16:00,1.36853
AGOC-3A,4,8/21/16 16:00,4.90815
AGOC-3A,4,8/21/16 16:00,40.75027
