Chemical,Monitor,Date Time ,Reading
Methylosmolene,1,4/1/16 8:00,0.292984
Methylosmolene,1,4/2/16 8:00,0.324397
Methylosmolene,1,4/3/16 8:00,0.266222
Methylosmolene,1,4/4/16 8:00,0.247387
Methylosmolene,1,4/5/16 8:00,0.0941867
Methylosmolene,1,4/6/16 8:00,0.466879
Methylosmolene,1,4/7/16 8:00,0.401816
Methylosmolene,1,4/8/16 8:00,0.236142
Methylosmolene,1,4/9/16 8:00,0.515918
Methylosmolene,1,4/10/16 8:00,0.116243
Methylosmolene,1,4/11/16 8:00,0.28689
Methylosmolene,1,4/12/16 8:00,0.137275
Methylosmolene,1,4/13/16 8:00,0.169195
Methylosmolene,1,4/14/16 8:00,0.127915
Methylosmolene,1,4/15/16 8:00,0.0131952
Methylosmolene,1,4/16/16 8:00,0.177208
Methylosmolene,1,4/17/16 8:00,0.0934115
Methylosmolene,1,4/18/16 8:00,0.113664
Methylosmolene,1,4/19/16 8:00,0.319167
Methylosmolene,1,4/20/16 8:00,0.00452321
Methylosmolene,1,4/21/16 8:00,0.432034
Methylosmolene,1,4/22/16 8:00,0.26019
Methylosmolene,1,4/23/16 8:00,0.290706
Methylosmolene,1,4/24/16 8:00,0.420656
Methylosmolene,1,4/25/16 8:00,0.219085
Methylosmolene,1,4/26/16 8:00,0.237558
Methylosmolene,1,4/27/16 8:00,0.142175
Methylosmolene,1,4/28/16 8:00,0.476384
Methylosmolene,1,4/29/16 8:00,0.271433
Methylosmolene,1,4/30/16 8:00,0.230697
Methylosmolene,1,8/1/16 8:00,0.0440162
Methylosmolene,1,8/2/16 8:00,0.0903653
Methylosmolene,1,8/3/16 8:00,0.131504
Methylosmolene,1,8/4/16 8:00,0.399387
Methylosmolene,1,8/5/16 8:00,0.447015
Methylosmolene,1,8/6/16 8:00,0.266811
Methylosmolene,1,8/7/16 8:00,0.23893
Methylosmolene,1,8/8/16 8:00,0.248284
Methylosmolene,1,8/9/16 8:00,0.419758
Methylosmolene,1,8/10/16 8:00,0.605515
Methylosmolene,1,8/11/16 8:00,0.233192
Methylosmolene,1,8/12/16 8:00,0.085641
Methylosmolene,1,8/13/16 8:00,0.3841
Methylosmolene,1,8/14/16 8:00,0.455433
Methylosmolene,1,8/15/16 8:00,0.0768631
Methylosmolene,1,8/16/16 8:00,0.312921
Methylosmolene,1,8/17/16 8:00,0.133575
Methylosmolene,1,8/18/16 8:00,0.0388874
Methylosmolene,1,8/19/16 8:00,0.365451
Methylosmolene,1,8/20/16 8:00,0.715094
Methylosmolene,1,8/21/16 8:00,0.278425
Methylosmolene,1,8/22/16 8:00,0.328019
Methylosmolene,1,8/23/16 8:00,0.0688481
Methylosmolene,1,8/24/16 8:00,0.05657
Methylosmolene,1,8/25/16 8:00,0.331855
Methylosmolene,1,8/26/16 8:00,0.431884
Methylosmolene,1,8/27/16 8:00,0.340321
Methylosmolene,1,8/28/16 8:00,0.22421
Methylosmolene,1,8/29/16 8:00,0.167243
Methylosmolene,1,8/30/16 8:00,0.271318
Methylosmolene,1,8/31/16 8:00,0.156021
Methylosmolene,1,12/1/16 8:00,0.152693
Methylosmolene,1,12/2/16 8:00,0.232447
Methylosmolene,1,12/3/16 8:00,0.319295
Methylosmolene,1,12/4/16 8:00,0.324471
Methylosmolene,1,12/5/16 8:00,0.0945032
Methylosmolene,1,12/6/16 8:00,0.283523
Methylosmolene,1,12/7/16 8:00,0.193167
Methylosmolene,1,12/8/16 8:00,0.288895
Methylosmolene,1,12/9/16 8:00,0.532048
Methylosmolene,1,12/10/16 8:00,0.164417
Methylosmolene,1,12/11/16 8:00,0.0585022
Methylosmolene,1,12/12/16 8:00,0.224163
Methylosmolene,1,12/13/16 8:00,0.226029
Methylosmolene,1,12/14/16 8:00,0.189431
Methylosmolene,1,12/15/16 8:00,0.245045
Methylosmolene,1,12/16/16 8:00,0.01158
Methylosmolene,1,12/17/16 8:00,0.226585
Methylosmolene,1,12/18/16 8:00,0.0787483
Methylosmolene,1,12/19/16 8:00,0.0123547
Methylosmolene,1,12/20/16 8:00,0.00219795
Methylosmolene,1,12/21/16 8:00,0.232354
Methylosmolene,1,12/22/16 8:00,0.404869
Methylosmolene,1,12/23/16 8:00,0.207139
Methylosmolene,1,12/24/16 8:00,0.0493271
Methylosmolene,1,12/25/16 8:00,0.0282851
Methylosmolene,1,12/26/16 8:00,0.141297
Methylosmolene,1,12/27/16 8:00,0.100037
Methylosmolene,1,12/28/16 8:00,0.268083
Methylosmolene,1,12/29/16 8:00,0.118993
Methylosmolene,1,12/30/16 8:00,0.0970443
Methylosmolene,1,12/31/16 8:00,0.0190322
Methylosmolene,2,4/1/16 8:00,0.553491
Methylosmolene,2,4/2/16 8:00,0.342931
Methylosmolene,2,4/3/16 8:00,0.637007
Methylosmolene,2,4/4/16 8:00,0.181374
Methylosmolene,2,4/5/16 8:00,0.56295
Methylosmolene,2,4/6/16 8:00,0.116957
Methylosmolene,2,4/7/16 8:00,0.850407
Methylosmolene,2,4/8/16 8:00,0.655889
Methylosmolene,2,4/9/16 8:00,0.558447
Methylosmolene,2,4/10/16 8:00,0.785602
Methylosmolene,2,4/11/16 8:00,0.709417
Methylosmolene,2,4/12/16 8:00,0.828872
Methylosmolene,2,4/13/16 8:00,0.546046
Methylosmolene,2,4/14/16 8:00,0.496964
Methylosmolene,2,4/15/16 8:00,0.3499
Methylosmolene,2,4/16/16 8:00,0.499509
Methylosmolene,2,4/17/16 8:00,0.586124
Methylosmolene,2,4/18/16 8:00,0.544182
Methylosmolene,2,4/19/16 8:00,0.458694
Methylosmolene,2,4/20/16 8:00,0.102027
Methylosmolene,2,4/21/16 8:00,0.0227831
Methylosmolene,2,4/22/16 8:00,0.69096
Methylosmolene,2,4/23/16 8:00,0.948056
Methylosmolene,2,4/24/16 8:00,0.201549
Methylosmolene,2,4/25/16 8:00,0.279107
Methylosmolene,2,4/26/16 8:00,0.680723
Methylosmolene,2,4/27/16 8:00,0.0528168
Methylosmolene,2,4/28/16 8:00,0.129674
Methylosmolene,2,4/29/16 8:00,0.335518
Methylosmolene,2,4/30/16 8:00,0.35411
Methylosmolene,2,8/1/16 8:00,0.526142
Methylosmolene,2,8/2/16 8:00,0.258476
Methylosmolene,2,8/3/16 8:00,0.10829
Methylosmolene,2,8/4/16 8:00,0.126185
Methylosmolene,2,8/5/16 8:00,0.0417288
Methylosmolene,2,8/6/16 8:00,0.0377492
Methylosmolene,2,8/7/16 8:00,0.268961
Methylosmolene,2,8/8/16 8:00,0.213237
Methylosmolene,2,8/9/16 8:00,0.282873
Methylosmolene,2,8/10/16 8:00,0.37143
Methylosmolene,2,8/11/16 8:00,0.838969
Methylosmolene,2,8/12/16 8:00,0.478884
Methylosmolene,2,8/13/16 8:00,0.82304
Methylosmolene,2,8/14/16 8:00,0.0600661
Methylosmolene,2,8/15/16 8:00,0.778893
Methylosmolene,2,8/16/16 8:00,0.260619
Methylosmolene,2,8/17/16 8:00,0.0976903
Methylosmolene,2,8/18/16 8:00,0.774053
Methylosmolene,2,8/19/16 8:00,0.379718
Methylosmolene,2,8/20/16 8:00,0.231903
Methylosmolene,2,8/21/16 8:00,0.288209
Methylosmolene,2,8/22/16 8:00,0.894356
Methylosmolene,2,8/23/16 8:00,0.531246
Methylosmolene,2,8/24/16 8:00,0.0317147
Methylosmolene,2,8/25/16 8:00,0.328893
Methylosmolene,2,8/26/16 8:00,0.37431
Methylosmolene,2,8/27/16 8:00,0.721704
Methylosmolene,2,8/28/16 8:00,0.117051
Methylosmolene,2,8/29/16 8:00,0.878354
Methylosmolene,2,8/30/16 8:00,0.678838
Methylosmolene,2,8/31/16 8:00,0.307475
Methylosmolene,2,12/1/16 8:00,0.251411
Methylosmolene,2,12/2/16 8:00,0.112175
Methylosmolene,2,12/3/16 8:00,0.358106
Methylosmolene,2,12/4/16 8:00,0.652739
Methylosmolene,2,12/5/16 8:00,0.618311
Methylosmolene,2,12/6/16 8:00,0.290246
Methylosmolene,2,12/7/16 8:00,0.314407
Methylosmolene,2,12/8/16 8:00,0.290374
Methylosmolene,2,12/9/16 8:00,0.205673
Methylosmolene,2,12/10/16 8:00,0.55408
Methylosmolene,2,12/11/16 8:00,0.330497
Methylosmolene,2,12/12/16 8:00,0.261176
Methylosmolene,2,12/13/16 8:00,0.555031
Methylosmolene,2,12/14/16 8:00,0.174448
Methylosmolene,2,12/15/16 8:00,0.130169
Methylosmolene,2,12/16/16 8:00,0.40048
Methylosmolene,2,12/17/16 8:00,0.361685
Methylosmolene,2,12/18/16 8:00,0.617203
Methylosmolene,2,12/19/16 8:00,0.427088
Methylosmolene,2,12/20/16 8:00,0.33131
Methylosmolene,2,12/21/16 8:00,0.53345
Methylosmolene,2,12/22/16 8:00,0.44949
Methylosmolene,2,12/23/16 8:00,0.487018
Methylosmolene,2,12/24/16 8:00,0.65187
Methylosmolene,2,12/25/16 8:00,0.0397416
Methylosmolene,2,12/26/16 8:00,0.156941
Methylosmolene,2,12/27/16 8:00,0.128399
Methylosmolene,2,12/28/16 8:00,0.237341
Methylosmolene,2,12/29/16 8:00,0.104943
Methylosmolene,2,12/30/16 8:00,0.0592525
Methylosmolene,2,12/31/16 8:00,0.190756
Methylosmolene,3,4/1/16 8:00,0.917269
Methylosmolene,3,4/2/16 8:00,1.60518
Methylosmolene,3,4/3/16 8:00,0.325336
Methylosmolene,3,4/4/16 8:00,0.261941
Methylosmolene,3,4/5/16 8:00,0.238355
Methylosmolene,3,4/6/16 8:00,3.04901
Methylosmolene,3,4/7/16 8:00,0.667774
Methylosmolene,3,4/8/16 8:00,0.267363
Methylosmolene,3,4/9/16 8:00,0.831204
Methylosmolene,3,4/10/16 8:00,0.366837
Methylosmolene,3,4/11/16 8:00,0.651169
Methylosmolene,3,4/12/16 8:00,0.622598
Methylosmolene,3,4/13/16 8:00,0.727038
Methylosmolene,3,4/14/16 8:00,0.360135
Methylosmolene,3,4/15/16 8:00,0.2067
Methylosmolene,3,4/16/16 8:00,1.39396
Methylosmolene,3,4/17/16 8:00,4.4293
Methylosmolene,3,4/18/16 8:00,2.26882
Methylosmolene,3,4/19/16 8:00,0.527081
Methylosmolene,3,4/20/16 8:00,2.08142
Methylosmolene,3,4/21/16 8:00,0.532247
Methylosmolene,3,4/22/16 8:00,0.0800949
Methylosmolene,3,4/23/16 8:00,1.72248
