Chemical,Monitor,Date Time ,Reading
Appluimonia,1,4/1/16 0:00,0.0030929
Appluimonia,1,4/1/16 1:00,0.00951907
Appluimonia,1,4/1/16 2:00,0.0983349
Appluimonia,1,4/1/16 3:00,0.288575
Appluimonia,1,4/1/16 4:00,0.33195
Appluimonia,1,4/1/16 5:00,0.0388837
Appluimonia,1,4/1/16 6:00,0.0228912
Appluimonia,1,4/1/16 7:00,0.0100301
Appluimonia,1,4/1/16 8:00,0.366206
Appluimonia,1,4/1/16 9:00,0.300466
Appluimonia,1,4/1/16 10:00,0.268343
Appluimonia,1,4/1/16 11:00,0.132435
Appluimonia,1,4/1/16 12:00,0.032094
Appluimonia,1,4/1/16 13:00,0.24354
Appluimonia,1,4/1/16 14:00,0.187208
Appluimonia,1,4/1/16 15:00,0.127849
Appluimonia,1,4/1/16 16:00,0.453372
Appluimonia,1,4/1/16 17:00,0.0261086
Appluimonia,1,4/1/16 18:00,0.705206
Appluimonia,1,4/1/16 19:00,0.320393
Appluimonia,1,4/1/16 20:00,0.0839435
Appluimonia,1,4/1/16 21:00,0.175374
Appluimonia,1,4/1/16 22:00,0.391567
Appluimonia,1,4/1/16 23:00,0.0833816
Appluimonia,1,4/2/16 1:00,0.138599
Appluimonia,1,4/2/16 2:00,0.0310122
Appluimonia,1,4/2/16 3:00,0.223378
Appluimonia,1,4/2/16 4:00,0.282639
Appluimonia,1,4/2/16 5:00,0.0307717
Appluimonia,1,4/2/16 6:00,0.00383154
Appluimonia,1,4/2/16 7:00,0.0662188
Appluimonia,1,4/2/16 8:00,0.557578
Appluimonia,1,4/2/16 9:00,0.256327
Appluimonia,1,4/2/16 10:00,0.457838
Appluimonia,1,4/2/16 11:00,0.0530652
Appluimonia,1,4/2/16 12:00,0.13044
Appluimonia,1,4/2/16 13:00,0.270406
Appluimonia,1,4/2/16 14:00,0.129968
Appluimonia,1,4/2/16 15:00,0.23448
Appluimonia,1,4/2/16 16:00,0.331038
Appluimonia,1,4/2/16 17:00,0.332387
Appluimonia,1,4/2/16 18:00,0.208241
Appluimonia,1,4/2/16 19:00,0.348079
Appluimonia,1,4/2/16 20:00,0.10275
Appluimonia,1,4/2/16 21:00,0.0164038
Appluimonia,1,4/2/16 22:00,0.580649
Appluimonia,1,4/2/16 23:00,0.145914
Appluimonia,1,4/3/16 0:00,0.057853
Appluimonia,1,4/3/16 1:00,0.140673
Appluimonia,1,4/3/16 2:00,0.253848
Appluimonia,1,4/3/16 3:00,0.286453
Appluimonia,1,4/3/16 4:00,0.0747294
Appluimonia,1,4/3/16 5:00,0.181024
Appluimonia,1,4/3/16 6:00,0.0249887
Appluimonia,1,4/3/16 7:00,0.0344505
Appluimonia,1,4/3/16 8:00,0.120335
Appluimonia,1,4/3/16 9:00,0.056906
Appluimonia,1,4/3/16 10:00,0.242542
Appluimonia,1,4/3/16 11:00,0.0359026
Appluimonia,1,4/3/16 12:00,0.0705694
Appluimonia,1,4/3/16 13:00,0.153745
Appluimonia,1,4/3/16 14:00,0.202364
Appluimonia,1,4/3/16 15:00,0.487713
Appluimonia,1,4/3/16 16:00,0.0603239
Appluimonia,1,4/3/16 17:00,0.370282
Appluimonia,1,4/3/16 18:00,0.418503
Appluimonia,1,4/3/16 19:00,0.176083
Appluimonia,1,4/3/16 20:00,0.257251
Appluimonia,1,4/3/16 21:00,0.00609573
Appluimonia,1,4/3/16 22:00,0.292507
Appluimonia,1,4/3/16 23:00,0.342975
Appluimonia,1,4/4/16 0:00,0.144484
Appluimonia,1,4/4/16 1:00,0.126509
Appluimonia,1,4/4/16 2:00,0.229861
Appluimonia,1,4/4/16 3:00,0.0672504
Appluimonia,1,4/4/16 4:00,0.492266
Appluimonia,1,4/4/16 5:00,0.571509
Appluimonia,1,4/4/16 6:00,0.339481
Appluimonia,1,4/4/16 7:00,0.134392
Appluimonia,1,4/4/16 8:00,0.215675
Appluimonia,1,4/4/16 9:00,0.542976
Appluimonia,1,4/4/16 10:00,0.361413
Appluimonia,1,4/4/16 11:00,0.0569456
Appluimonia,1,4/4/16 12:00,0.0719589
Appluimonia,1,4/4/16 13:00,0.0736291
Appluimonia,1,4/4/16 14:00,0.0962397
Appluimonia,1,4/4/16 15:00,0.0774911
Appluimonia,1,4/4/16 16:00,0.297405
Appluimonia,1,4/4/16 17:00,0.170974
Appluimonia,1,4/4/16 18:00,0.211642
Appluimonia,1,4/4/16 19:00,0.37797
Appluimonia,1,4/4/16 20:00,0.0668495
Appluimonia,1,4/4/16 21:00,0.0846126
Appluimonia,1,4/4/16 22:00,0.0476201
Appluimonia,1,4/4/16 23:00,0.34038
Appluimonia,1,4/5/16 0:00,0.00236589
Appluimonia,1,4/5/16 1:00,0.166529
Appluimonia,1,4/5/16 2:00,0.284655
