Chemical,Monitor,Date Time ,Reading
AGOC-3A,1,12/5/16 6:00,31.66583
AGOC-3A,2,8/1/16 9:00,26.72656
AGOC-3A,2,8/1/16 10:00,26.89603
AGOC-3A,2,8/1/16 19:00,31.87868
AGOC-3A,2,12/5/16 6:00,26.58683
AGOC-3A,3,4/11/16 16:00,4.71645
AGOC-3A,3,8/1/16 6:00,5.49876
AGOC-3A,3,8/1/16 7:00,6.35186
AGOC-3A,3,8/1/16 13:00,11.93167
AGOC-3A,3,8/1/16 14:00,7.06468
AGOC-3A,3,8/1/16 14:00,64.67163
AGOC-3A,3,8/1/16 21:00,38.44904
AGOC-3A,3,8/1/16 22:00,5.98324
AGOC-3A,3,8/1/16 23:00,7.84489
AGOC-3A,3,8/15/16 7:00,3.88801
AGOC-3A,3,8/29/16 16:00,3.94249
AGOC-3A,3,8/29/16 21:00,4.11764
AGOC-3A,3,12/5/16 6:00,80.4121
AGOC-3A,3,12/5/16 6:00,8.99309
AGOC-3A,3,12/5/16 16:00,10.77567
AGOC-3A,3,12/5/16 18:00,4.95078
AGOC-3A,3,12/12/16 4:00,5.42327
AGOC-3A,3,12/12/16 6:00,4.71906
AGOC-3A,3,12/12/16 9:00,6.39925
AGOC-3A,3,12/12/16 10:00,5.88448
AGOC-3A,3,12/12/16 15:00,18.59767
AGOC-3A,3,12/12/16 18:00,4.51678
AGOC-3A,3,12/26/16 23:00,6.34574
AGOC-3A,4,12/5/16 13:00,16.00677
AGOC-3A,4,12/5/16 21:00,6.53438
AGOC-3A,4,12/5/16 21:00,49.1228
AGOC-3A,4,12/12/16 18:00,16.03198
AGOC-3A,5,4/11/16 4:00,4.31881
AGOC-3A,5,4/11/16 6:00,6.35613
AGOC-3A,5,4/11/16 16:00,4.70404
AGOC-3A,5,8/1/16 5:00,4.8965
AGOC-3A,5,8/1/16 17:00,5.48717
AGOC-3A,5,8/22/16 2:00,4.19126
AGOC-3A,5,8/22/16 3:00,4.54026
AGOC-3A,5,8/22/16 4:00,3.97427
AGOC-3A,5,12/5/16 11:00,4.07641
AGOC-3A,5,12/5/16 14:00,4.57878
AGOC-3A,5,12/12/16 0:00,4.93835
AGOC-3A,6,4/25/16 2:00,4.26826
AGOC-3A,6,4/25/16 5:00,4.93643
AGOC-3A,6,4/25/16 6:00,10.98101
AGOC-3A,6,8/8/16 8:00,32.1964
AGOC-3A,6,8/8/16 9:00,21.12387
AGOC-3A,6,8/8/16 10:00,16.00771
AGOC-3A,6,8/8/16 11:00,16.2752
AGOC-3A,6,8/8/16 13:00,3.88061
AGOC-3A,6,8/8/16 14:00,17.99585
AGOC-3A,6,8/22/16 9:00,21.53433
AGOC-3A,6,12/5/16 4:00,23.6242
AGOC-3A,6,12/19/16 21:00,26.70878
AGOC-3A,7,8/1/16 14:00,4.61642
AGOC-3A,7,12/5/16 4:00,6.34615
AGOC-3A,7,12/26/16 12:00,3.87846
AGOC-3A,9,4/11/16 3:00,4.29955
AGOC-3A,9,8/22/16 8:00,5.54201
AGOC-3A,9,12/12/16 21:00,5.99816
Appluimonia,1,4/4/16 3:00,0.0672504
Appluimonia,1,4/4/16 11:00,0.0569456
Appluimonia,1,4/4/16 12:00,0.0719589
Appluimonia,1,4/4/16 13:00,0.0736291
Appluimonia,1,4/4/16 14:00,0.0962397
Appluimonia,1,4/4/16 15:00,0.0774911
Appluimonia,1,4/4/16 20:00,0.0668495
Appluimonia,1,4/4/16 21:00,0.0846126
Appluimonia,1,4/4/16 22:00,0.0476201
Appluimonia,1,4/11/16 0:00,0.0698709
Appluimonia,1,4/11/16 5:00,0.0876892
Appluimonia,1,4/11/16 10:00,0.0808335
Appluimonia,1,4/11/16 12:00,0.0135499
Appluimonia,1,4/11/16 14:00,0.040466
Appluimonia,1,4/11/16 17:00,0.0397288
Appluimonia,1,4/11/16 21:00,0.00810148
Appluimonia,1,4/11/16 22:00,0.0894467
Appluimonia,1,4/18/16 6:00,0.03308
Appluimonia,1,4/18/16 9:00,0.0469852
Appluimonia,1,4/18/16 11:00,0.061629
Appluimonia,1,4/18/16 14:00,0.099392
Appluimonia,1,4/18/16 19:00,0.103199
Appluimonia,1,4/25/16 9:00,0.075974
Appluimonia,1,4/25/16 17:00,0.0102693
Appluimonia,1,4/25/16 20:00,0.0565439
Appluimonia,1,4/25/16 22:00,0.0316146
Appluimonia,1,8/1/16 6:00,0.0497792
Appluimonia,1,8/1/16 10:00,0.0227489
Appluimonia,1,8/1/16 19:00,0.0841786
Appluimonia,1,8/1/16 20:00,0.0850693
Appluimonia,1,8/8/16 6:00,0.0127581
Appluimonia,1,8/8/16 7:00,0.0051635
Appluimonia,1,8/8/16 14:00,0.0324943
Appluimonia,1,8/8/16 18:00,0.0436219
Appluimonia,1,8/8/16 20:00,0.0178658
Appluimonia,1,8/15/16 6:00,0.0605972
Appluimonia,1,8/15/16 7:00,0.0613906
Appluimonia,1,8/15/16 8:00,0.0279977
Appluimonia,1,8/15/16 10:00,0.0400784
Appluimonia,1,8/15/16 11:00,0.00540952
Appluimonia,1,8/15/16 15:00,0.0326898
Appluimonia,1,8/15/16 19:00,0.0713795
Appluimonia,1,8/15/16 23:00,0.0935622
Appluimonia,1,8/22/16 0:00,0.0446583
Appluimonia,1,8/22/16 8:00,0.00352854
Appluimonia,1,8/22/16 9:00,0.0209591
Appluimonia,1,8/22/16 10:00,0.0871692
Appluimonia,1,8/22/16 16:00,0.0340104
