Chemical,Monitor,Date Time ,Reading
AGOC-3A,1,4/2/16 4:00,0.0466569
AGOC-3A,1,4/2/16 5:00,0.0341467
AGOC-3A,1,4/2/16 9:00,0.0716124
AGOC-3A,1,4/2/16 14:00,0.0815633
AGOC-3A,1,4/2/16 22:00,0.071305
AGOC-3A,1,4/2/16 23:00,0.0317544
AGOC-3A,1,4/9/16 4:00,0.0907609
AGOC-3A,1,4/9/16 23:00,0.00331086
AGOC-3A,1,4/16/16 2:00,0.0238044
AGOC-3A,1,4/16/16 14:00,0.014899
AGOC-3A,1,4/16/16 19:00,0.0267184
AGOC-3A,1,4/16/16 22:00,0.0208223
AGOC-3A,1,4/23/16 3:00,0.0805592
AGOC-3A,1,4/23/16 11:00,0.0580106
AGOC-3A,1,4/23/16 13:00,0.0858211
AGOC-3A,1,4/23/16 15:00,0.078264
AGOC-3A,1,4/23/16 18:00,0.0739007
AGOC-3A,1,4/23/16 19:00,0.05862
AGOC-3A,1,4/23/16 21:00,0.0934115
AGOC-3A,1,4/30/16 4:00,0.0220528
AGOC-3A,1,8/6/16 0:00,0.069284
AGOC-3A,1,8/6/16 4:00,0.0840881
AGOC-3A,1,8/6/16 5:00,0.0112556
AGOC-3A,1,8/6/16 13:00,0.061026
AGOC-3A,1,8/6/16 15:00,0.00746225
AGOC-3A,1,8/6/16 23:00,0.0269545
AGOC-3A,1,8/13/16 4:00,0.0927055
AGOC-3A,1,8/13/16 8:00,0.0314355
AGOC-3A,1,8/13/16 9:00,0.0659318
AGOC-3A,1,8/13/16 11:00,0.0171469
AGOC-3A,1,8/13/16 12:00,0.0219846
AGOC-3A,1,8/13/16 22:00,0.0132979
AGOC-3A,1,8/20/16 12:00,0.0839435
AGOC-3A,1,8/20/16 13:00,0.0826738
AGOC-3A,1,8/20/16 16:00,0.0342907
AGOC-3A,1,8/27/16 0:00,0.0503058
AGOC-3A,1,8/27/16 3:00,0.0885658
AGOC-3A,1,8/27/16 13:00,0.0916969
AGOC-3A,1,8/27/16 20:00,0.0552256
AGOC-3A,1,12/3/16 10:00,0.0438956
AGOC-3A,1,12/3/16 12:00,0.0917856
AGOC-3A,1,12/3/16 21:00,0.0743569
AGOC-3A,1,12/3/16 23:00,0.0285507
AGOC-3A,1,12/10/16 4:00,0.0875996
AGOC-3A,1,12/10/16 15:00,0.0394818
AGOC-3A,1,12/17/16 6:00,0.00810148
AGOC-3A,1,12/17/16 9:00,0.0290803
AGOC-3A,1,12/17/16 15:00,0.0832184
AGOC-3A,1,12/17/16 20:00,0.0881452
AGOC-3A,1,12/24/16 0:00,0.087584
AGOC-3A,1,12/24/16 4:00,0.086941
AGOC-3A,1,12/24/16 7:00,0.0681642
AGOC-3A,1,12/24/16 11:00,0.0619663
AGOC-3A,1,12/24/16 14:00,0.0564908
AGOC-3A,1,12/31/16 5:00,0.0400784
AGOC-3A,1,12/31/16 6:00,0.0654332
AGOC-3A,1,12/31/16 8:00,0.0610842
AGOC-3A,1,12/31/16 13:00,0.0618945
AGOC-3A,1,12/31/16 20:00,0.0276653
AGOC-3A,1,12/31/16 23:00,0.0782655
AGOC-3A,2,4/2/16 7:00,0.0880139
AGOC-3A,2,4/2/16 11:00,0.0761568
AGOC-3A,2,4/9/16 11:00,0.0629495
AGOC-3A,2,4/9/16 15:00,0.0464221
AGOC-3A,2,4/9/16 18:00,0.00267057
AGOC-3A,2,4/16/16 3:00,0.00159828
AGOC-3A,2,4/16/16 12:00,0.0920812
AGOC-3A,2,4/16/16 14:00,0.0453295
AGOC-3A,2,4/16/16 17:00,0.0121901
AGOC-3A,2,4/16/16 18:00,0.0147308
AGOC-3A,2,4/23/16 7:00,0.00444531
AGOC-3A,2,4/23/16 12:00,0.0101497
AGOC-3A,2,4/23/16 13:00,0.0102044
AGOC-3A,2,4/23/16 18:00,0.0611065
AGOC-3A,2,4/30/16 8:00,0.0382818
AGOC-3A,2,4/30/16 11:00,0.0769748
AGOC-3A,2,4/30/16 23:00,0.0161084
AGOC-3A,2,8/6/16 4:00,0.0315507
AGOC-3A,2,8/6/16 8:00,0.0397237
AGOC-3A,2,8/6/16 12:00,0.0381818
AGOC-3A,2,8/6/16 18:00,0.0834237
AGOC-3A,2,8/13/16 20:00,0.0323528
AGOC-3A,2,8/20/16 5:00,4.40613
AGOC-3A,2,8/20/16 10:00,0.0358893
AGOC-3A,2,8/20/16 20:00,0.0760426
AGOC-3A,2,8/27/16 3:00,0.0684046
AGOC-3A,2,8/27/16 6:00,0.0802899
AGOC-3A,2,8/27/16 7:00,0.00525854
AGOC-3A,2,8/27/16 20:00,0.0709454
AGOC-3A,2,12/3/16 4:00,0.00717016
AGOC-3A,2,12/3/16 22:00,0.0711322
AGOC-3A,2,12/10/16 0:00,0.0309822
AGOC-3A,2,12/10/16 1:00,0.0290064
AGOC-3A,2,12/10/16 7:00,0.0917638
AGOC-3A,2,12/10/16 10:00,0.070632
AGOC-3A,2,12/10/16 23:00,0.0802117
AGOC-3A,2,12/17/16 5:00,0.0149427
AGOC-3A,2,12/17/16 7:00,0.0812191
AGOC-3A,2,12/17/16 12:00,0.0502967
AGOC-3A,2,12/17/16 16:00,0.0786887
AGOC-3A,2,12/17/16 17:00,0.0347557
AGOC-3A,2,12/24/16 0:00,0.0101151
AGOC-3A,2,12/24/16 4:00,0.020654
AGOC-3A,2,12/24/16 10:00,0.0396137
AGOC-3A,2,12/24/16 14:00,0.0608137
AGOC-3A,2,12/24/16 18:00,0.0311363
AGOC-3A,2,12/24/16 20:00,0.0320523
AGOC-3A,2,12/24/16 23:00,0.0466068
AGOC-3A,2,12/31/16 0:00,0.0937086
AGOC-3A,2,12/31/16 9:00,0.0426883
AGOC-3A,2,12/31/16 13:00,0.0424385
AGOC-3A,2,12/31/16 23:00,0.0608137
AGOC-3A,3,4/2/16 3:00,2.73072
AGOC-3A,3,4/2/16 5:00,1.96427
AGOC-3A,3,4/2/16 7:00,2.30778
AGOC-3A,3,4/2/16 10:00,3.98593
AGOC-3A,3,4/2/16 11:00,5.8452
