Chemical,Monitor,Date Time ,Reading
AGOC-3A,3,4/10/16 17:00,4.20587
AGOC-3A,3,4/17/16 6:00,11.00977
AGOC-3A,3,4/17/16 6:00,3.98816
AGOC-3A,3,4/17/16 7:00,22.02191
AGOC-3A,3,8/14/16 23:00,4.7782
AGOC-3A,3,8/21/16 20:00,4.75893
AGOC-3A,3,12/11/16 0:00,4.19452
AGOC-3A,4,4/17/16 9:00,21.74568
AGOC-3A,4,8/14/16 6:00,7.50594
AGOC-3A,4,8/14/16 7:00,7.283
AGOC-3A,4,8/21/16 8:00,4.41777
AGOC-3A,4,8/21/16 9:00,11.85315
AGOC-3A,4,8/21/16 10:00,11.81091
AGOC-3A,4,8/21/16 12:00,6.67511
AGOC-3A,4,8/21/16 14:00,5.19687
AGOC-3A,4,8/21/16 14:00,38.58217
AGOC-3A,4,8/21/16 15:00,22.39014
AGOC-3A,4,8/21/16 16:00,4.90815
AGOC-3A,4,8/21/16 16:00,40.75027
AGOC-3A,4,12/18/16 5:00,4.54959
AGOC-3A,4,12/18/16 6:00,12.50299
AGOC-3A,4,12/18/16 7:00,4.24355
AGOC-3A,4,12/18/16 7:00,29.80038
AGOC-3A,4,12/18/16 8:00,6.28085
AGOC-3A,4,12/18/16 8:00,48.01808
AGOC-3A,4,12/18/16 9:00,8.63325
AGOC-3A,4,12/18/16 9:00,65.71898
AGOC-3A,4,12/18/16 10:00,7.48792
AGOC-3A,5,8/14/16 3:00,4.13084
AGOC-3A,5,8/14/16 12:00,16.24166
AGOC-3A,5,8/21/16 6:00,5.79118
AGOC-3A,5,8/21/16 21:00,4.66159
AGOC-3A,6,4/3/16 0:00,4.49753
AGOC-3A,6,4/17/16 1:00,5.39857
AGOC-3A,6,4/17/16 13:00,58.20655
AGOC-3A,6,4/17/16 13:00,6.46435
AGOC-3A,6,8/14/16 17:00,19.53888
AGOC-3A,6,8/14/16 18:00,23.6478
AGOC-3A,6,12/11/16 2:00,7.17392
AGOC-3A,6,12/18/16 18:00,11.99653
AGOC-3A,9,8/14/16 11:00,6.07877
AGOC-3A,9,8/14/16 14:00,8.5559
AGOC-3A,9,12/11/16 6:00,5.48656
AGOC-3A,9,12/11/16 8:00,21.13987
AGOC-3A,9,12/11/16 9:00,21.80804
AGOC-3A,9,12/11/16 10:00,21.18712
AGOC-3A,9,12/11/16 11:00,22.10577
AGOC-3A,9,12/11/16 12:00,6.26749
AGOC-3A,9,12/11/16 15:00,15.8998
AGOC-3A,9,12/11/16 16:00,22.17834
AGOC-3A,9,12/11/16 18:00,22.3683
Appluimonia,1,4/3/16 0:00,0.057853
Appluimonia,1,4/3/16 4:00,0.0747294
Appluimonia,1,4/3/16 6:00,0.0249887
Appluimonia,1,4/3/16 7:00,0.0344505
Appluimonia,1,4/3/16 9:00,0.056906
Appluimonia,1,4/3/16 11:00,0.0359026
Appluimonia,1,4/3/16 12:00,0.0705694
Appluimonia,1,4/3/16 16:00,0.0603239
Appluimonia,1,4/3/16 21:00,0.00609573
Appluimonia,1,4/10/16 5:00,0.0630446
Appluimonia,1,4/10/16 9:00,0.0934645
Appluimonia,1,4/10/16 12:00,0.057487
Appluimonia,1,4/10/16 16:00,0.0442026
Appluimonia,1,4/10/16 17:00,0.0533658
Appluimonia,1,4/17/16 6:00,0.0219822
Appluimonia,1,4/17/16 8:00,0.0558486
Appluimonia,1,4/17/16 9:00,0.0878325
Appluimonia,1,4/17/16 16:00,0.0676643
Appluimonia,1,4/17/16 18:00,0.0224616
Appluimonia,1,4/17/16 19:00,0.0362882
Appluimonia,1,4/17/16 22:00,0.0205434
Appluimonia,1,4/17/16 23:00,0.00956727
Appluimonia,1,4/24/16 1:00,0.0305307
Appluimonia,1,4/24/16 4:00,0.00879556
Appluimonia,1,4/24/16 8:00,0.0715489
Appluimonia,1,4/24/16 10:00,0.0131716
Appluimonia,1,4/24/16 17:00,0.0510333
Appluimonia,1,4/24/16 18:00,0.0523631
Appluimonia,1,4/24/16 22:00,0.0152533
Appluimonia,1,8/7/16 3:00,0.0607094
Appluimonia,1,8/7/16 4:00,0.0638559
Appluimonia,1,8/7/16 7:00,0.0168163
Appluimonia,1,8/7/16 10:00,0.0164311
Appluimonia,1,8/7/16 11:00,0.042873
Appluimonia,1,8/7/16 12:00,0.0084962
Appluimonia,1,8/7/16 13:00,0.0952762
Appluimonia,1,8/7/16 16:00,0.0550878
Appluimonia,1,8/7/16 17:00,0.0593853
Appluimonia,1,8/7/16 19:00,0.0125313
Appluimonia,1,8/7/16 22:00,0.0851111
Appluimonia,1,8/7/16 23:00,0.00378593
Appluimonia,1,8/14/16 6:00,0.0810293
Appluimonia,1,8/14/16 7:00,0.0558965
Appluimonia,1,8/14/16 13:00,0.104125
Appluimonia,1,8/14/16 19:00,0.048564
Appluimonia,1,8/14/16 21:00,0.0595613
Appluimonia,1,8/14/16 23:00,0.0653757
Appluimonia,1,8/21/16 2:00,0.0975156
Appluimonia,1,8/21/16 3:00,0.0305414
Appluimonia,1,8/21/16 9:00,0.043992
Appluimonia,1,8/21/16 13:00,0.0512963
Appluimonia,1,8/21/16 14:00,0.0396233
Appluimonia,1,8/21/16 17:00,0.0345711
Appluimonia,1,8/21/16 20:00,0.0473098
Appluimonia,1,8/28/16 0:00,0.0768444
Appluimonia,1,8/28/16 3:00,0.0585417
Appluimonia,1,8/28/16 7:00,0.00224129
Appluimonia,1,8/28/16 8:00,0.0522826
Appluimonia,1,8/28/16 9:00,0.065011
Appluimonia,1,8/28/16 14:00,0.0679173
Appluimonia,1,8/28/16 16:00,0.0807052
Appluimonia,1,8/28/16 22:00,0.0351304
Appluimonia,1,12/4/16 4:00,0.0638943
Appluimonia,1,12/4/16 8:00,0.0620369
Appluimonia,1,12/4/16 13:00,0.0755661
Appluimonia,1,12/4/16 15:00,0.0867384
Appluimonia,1,12/4/16 22:00,0.0571019
Appluimonia,1,12/11/16 3:00,0.03918
Appluimonia,1,12/11/16 7:00,0.0688859
Appluimonia,1,12/11/16 10:00,0.0596397
Appluimonia,1,12/11/16 14:00,0.00541211
Appluimonia,1,12/11/16 17:00,0.0159099
Appluimonia,1,12/18/16 5:00,0.0458382
Appluimonia,1,12/18/16 7:00,0.0564708
Appluimonia,1,12/18/16 8:00,0.0260851
Appluimonia,1,12/18/16 10:00,0.0266203
Appluimonia,1,12/18/16 12:00,0.0711537
Appluimonia,1,12/18/16 17:00,0.0473757
Appluimonia,1,12/18/16 22:00,0.0186863
Appluimonia,1,12/25/16 6:00,0.0612598
Appluimonia,1,12/25/16 11:00,0.055062
Appluimonia,1,12/25/16 17:00,0.00112975
Appluimonia,1,12/25/16 18:00,0.0949252
Appluimonia,2,4/3/16 2:00,0.00391385
Appluimonia,2,4/3/16 3:00,0.0720086
Appluimonia,2,4/3/16 9:00,0.034522
Appluimonia,2,4/3/16 15:00,0.0640518
Appluimonia,2,4/10/16 3:00,0.0416961
Appluimonia,2,4/10/16 6:00,0.0210481
Appluimonia,2,4/10/16 8:00,0.0474217
Appluimonia,2,4/10/16 14:00,0.042549
Appluimonia,2,4/10/16 18:00,0.0960743
Appluimonia,2,4/10/16 20:00,0.0976245
Appluimonia,2,4/17/16 6:00,0.0246712
Appluimonia,2,4/17/16 8:00,0.0799394
Appluimonia,2,4/17/16 11:00,0.103004
Appluimonia,2,4/17/16 13:00,0.0778567
Appluimonia,2,4/17/16 21:00,0.00132179
Appluimonia,2,4/24/16 0:00,0.0504294
Appluimonia,2,4/24/16 11:00,0.0219758
Appluimonia,2,4/24/16 16:00,0.0366529
Appluimonia,2,8/7/16 4:00,0.0784545
Appluimonia,2,8/7/16 5:00,0.00752909
Appluimonia,2,8/7/16 12:00,0.0301791
Appluimonia,2,8/7/16 13:00,0.0390449
Appluimonia,2,8/7/16 17:00,0.0283932
Appluimonia,2,8/7/16 19:00,0.0231879
Appluimonia,2,8/21/16 12:00,0.0630874
Appluimonia,2,8/21/16 15:00,0.046348
Appluimonia,2,8/21/16 16:00,0.0606513
Appluimonia,2,8/21/16 17:00,0.046459
Appluimonia,2,8/21/16 19:00,0.0746148
Appluimonia,2,8/21/16 23:00,0.0297435
Appluimonia,2,8/28/16 2:00,0.0226476
Appluimonia,2,8/28/16 4:00,0.00742587
Appluimonia,2,8/28/16 15:00,0.0506904
Appluimonia,2,8/28/16 21:00,0.0542001
Appluimonia,2,12/4/16 0:00,0.0540132
Appluimonia,2,12/4/16 1:00,0.00580924
Appluimonia,2,12/4/16 4:00,0.0658426
Appluimonia,2,12/4/16 7:00,0.0800552
Appluimonia,2,12/4/16 13:00,0.0161455
Appluimonia,2,12/4/16 17:00,0.0782414
Appluimonia,2,12/4/16 21:00,0.0943326
Appluimonia,2,12/4/16 22:00,0.104534
Appluimonia,2,12/11/16 1:00,0.0493777
Appluimonia,2,12/11/16 8:00,0.0644494
Appluimonia,2,12/11/16 10:00,0.0508547
Appluimonia,2,12/11/16 22:00,0.104502
Appluimonia,2,12/11/16 23:00,0.0832959
Appluimonia,2,12/18/16 2:00,0.027602
Appluimonia,2,12/18/16 4:00,0.0272278
Appluimonia,2,12/18/16 7:00,0.0522938
Appluimonia,2,12/18/16 12:00,0.0829126
Appluimonia,2,12/18/16 14:00,0.0927482
Appluimonia,2,12/18/16 16:00,0.0313891
Appluimonia,2,12/18/16 18:00,0.00155676
Appluimonia,2,12/18/16 19:00,0.0209923
Appluimonia,2,12/18/16 23:00,0.105447
Appluimonia,2,12/25/16 2:00,0.0154958
Appluimonia,2,12/25/16 13:00,0.0894132
Appluimonia,2,12/25/16 18:00,0.0829448
Appluimonia,3,4/3/16 0:00,1.59205
Appluimonia,3,4/3/16 2:00,2.66253
Appluimonia,3,4/3/16 8:00,1.4751
Appluimonia,3,4/3/16 12:00,3.3394
Appluimonia,3,4/3/16 14:00,2.67649
Appluimonia,3,4/3/16 21:00,2.58583
Appluimonia,3,4/3/16 23:00,3.1433
Appluimonia,3,4/10/16 0:00,0.0695668
Appluimonia,3,4/10/16 1:00,4.91394
Appluimonia,3,4/10/16 4:00,2.09688
Appluimonia,3,4/10/16 7:00,1.83342
Appluimonia,3,4/10/16 8:00,1.93574
Appluimonia,3,4/10/16 9:00,4.39312
Appluimonia,3,4/10/16 11:00,1.72394
Appluimonia,3,4/10/16 15:00,2.12096
Appluimonia,3,4/10/16 22:00,1.46475
Appluimonia,3,4/17/16 1:00,2.69177
Appluimonia,3,4/17/16 2:00,2.4585
Appluimonia,3,4/17/16 3:00,2.37698
Appluimonia,3,4/17/16 7:00,2.64602
Appluimonia,3,4/17/16 9:00,2.53086
Appluimonia,3,4/17/16 10:00,1.37461
Appluimonia,3,4/17/16 15:00,3.93615
Appluimonia,3,4/17/16 16:00,2.79963
Appluimonia,3,4/17/16 18:00,5.22417
Appluimonia,3,4/24/16 1:00,2.8911
Appluimonia,3,4/24/16 2:00,1.86482
Appluimonia,3,4/24/16 7:00,2.64139
Appluimonia,3,4/24/16 8:00,1.40898
Appluimonia,3,4/24/16 9:00,2.53012
Appluimonia,3,4/24/16 13:00,3.34325
Appluimonia,3,4/24/16 14:00,1.57664
Appluimonia,3,4/24/16 15:00,1.98743
Appluimonia,3,4/24/16 17:00,1.51991
Appluimonia,3,4/24/16 22:00,2.21676
Appluimonia,3,8/7/16 1:00,3.51141
Appluimonia,3,8/7/16 4:00,1.76213
Appluimonia,3,8/7/16 5:00,1.54825
Appluimonia,3,8/7/16 7:00,1.98803
Appluimonia,3,8/7/16 9:00,3.22702
Appluimonia,3,8/7/16 12:00,0.00721501
Appluimonia,3,8/7/16 14:00,5.08426
Appluimonia,3,8/7/16 15:00,2.70008
Appluimonia,3,8/7/16 16:00,2.19944
Appluimonia,3,8/7/16 17:00,2.98409
Appluimonia,3,8/7/16 19:00,3.53075
Appluimonia,3,8/7/16 20:00,3.37525
Appluimonia,3,8/7/16 23:00,2.56871
Appluimonia,3,8/14/16 0:00,1.95029
Appluimonia,3,8/14/16 6:00,2.26307
Appluimonia,3,8/14/16 11:00,4.77263
Appluimonia,3,8/14/16 13:00,2.02903
Appluimonia,3,8/14/16 14:00,1.54322
Appluimonia,3,8/14/16 17:00,1.36939
Appluimonia,3,8/14/16 20:00,1.38483
Appluimonia,3,8/14/16 21:00,2.591
Appluimonia,3,8/14/16 23:00,1.96397
Appluimonia,3,8/21/16 0:00,2.50739
Appluimonia,3,8/21/16 1:00,2.77182
Appluimonia,3,8/21/16 4:00,5.87673
Appluimonia,3,8/21/16 13:00,1.39812
Appluimonia,3,8/21/16 14:00,2.30619
Appluimonia,3,8/21/16 15:00,2.33951
Appluimonia,3,8/21/16 18:00,1.82058
Appluimonia,3,8/21/16 19:00,1.51571
Appluimonia,3,8/21/16 20:00,0.102959
Appluimonia,3,8/21/16 22:00,2.44059
Appluimonia,3,8/28/16 0:00,3.14734
Appluimonia,3,8/28/16 4:00,3.08929
Appluimonia,3,8/28/16 5:00,1.66318
Appluimonia,3,8/28/16 8:00,1.5474
Appluimonia,3,8/28/16 9:00,1.98156
Appluimonia,3,8/28/16 11:00,3.18776
Appluimonia,3,8/28/16 14:00,2.49242
Appluimonia,3,8/28/16 16:00,1.55751
Appluimonia,3,8/28/16 17:00,1.41269
Appluimonia,3,8/28/16 19:00,0.0568176
Appluimonia,3,8/28/16 22:00,1.90886
Appluimonia,3,8/28/16 23:00,1.66435
Appluimonia,3,12/4/16 3:00,3.58345
Appluimonia,3,12/4/16 4:00,1.57642
Appluimonia,3,12/4/16 6:00,1.3881
Appluimonia,3,12/4/16 7:00,1.81913
Appluimonia,3,12/4/16 8:00,3.78361
Appluimonia,3,12/4/16 9:00,1.70358
Appluimonia,3,12/4/16 11:00,2.06504
Appluimonia,3,12/4/16 12:00,2.93506
Appluimonia,3,12/4/16 13:00,0.0842611
Appluimonia,3,12/4/16 14:00,0.0110241
Appluimonia,3,12/4/16 17:00,0.0661702
Appluimonia,3,12/4/16 21:00,0.101354
Appluimonia,3,12/4/16 23:00,2.09324
Appluimonia,3,12/11/16 0:00,1.64914
Appluimonia,3,12/11/16 3:00,2.89179
Appluimonia,3,12/11/16 7:00,2.82205
Appluimonia,3,12/11/16 10:00,2.35644
Appluimonia,3,12/11/16 11:00,1.68198
Appluimonia,3,12/11/16 12:00,2.33073
Appluimonia,3,12/11/16 13:00,1.90759
Appluimonia,3,12/11/16 14:00,1.5312
Appluimonia,3,12/11/16 15:00,2.07702
Appluimonia,3,12/11/16 18:00,3.26488
Appluimonia,3,12/11/16 20:00,2.46309
Appluimonia,3,12/11/16 22:00,2.05478
Appluimonia,3,12/18/16 0:00,1.98291
Appluimonia,3,12/18/16 1:00,3.17983
Appluimonia,3,12/18/16 2:00,1.80435
Appluimonia,3,12/18/16 8:00,6.02975
Appluimonia,3,12/18/16 9:00,1.57129
Appluimonia,3,12/18/16 12:00,0.0877584
Appluimonia,3,12/18/16 14:00,0.100183
Appluimonia,3,12/18/16 19:00,1.96634
Appluimonia,3,12/18/16 20:00,1.70743
Appluimonia,3,12/18/16 21:00,1.59904
Appluimonia,3,12/18/16 22:00,1.36636
Appluimonia,3,12/25/16 3:00,1.80799
Appluimonia,3,12/25/16 7:00,1.67325
Appluimonia,3,12/25/16 12:00,1.69244
Appluimonia,3,12/25/16 14:00,1.98864
Appluimonia,3,12/25/16 18:00,1.63512
Appluimonia,3,12/25/16 20:00,2.20961
Appluimonia,4,4/3/16 0:00,0.00105381
Appluimonia,4,4/3/16 1:00,0.0345279
Appluimonia,4,4/3/16 2:00,0.0849016
Appluimonia,4,4/3/16 6:00,0.0505082
Appluimonia,4,4/3/16 8:00,0.0309684
Appluimonia,4,4/3/16 9:00,0.0411507
Appluimonia,4,4/3/16 14:00,0.029179
Appluimonia,4,4/3/16 15:00,0.0574983
Appluimonia,4,4/3/16 16:00,0.0093675
Appluimonia,4,4/3/16 17:00,0.0356405
Appluimonia,4,4/3/16 18:00,0.0619983
Appluimonia,4,4/3/16 23:00,0.104091
Appluimonia,4,4/10/16 3:00,0.0651739
Appluimonia,4,4/10/16 6:00,0.0475285
Appluimonia,4,4/10/16 9:00,0.0280742
Appluimonia,4,4/10/16 19:00,0.0590236
Appluimonia,4,4/10/16 20:00,0.0659721
Appluimonia,4,4/10/16 22:00,0.0895644
Appluimonia,4,4/10/16 23:00,0.0773765
Appluimonia,4,4/17/16 0:00,0.00603221
Appluimonia,4,4/17/16 1:00,0.0887176
Appluimonia,4,4/17/16 5:00,0.0465584
Appluimonia,4,4/17/16 7:00,0.00578303
Appluimonia,4,4/17/16 20:00,0.0873224
Appluimonia,4,4/17/16 23:00,0.0586592
Appluimonia,4,4/24/16 6:00,0.006824
Appluimonia,4,4/24/16 18:00,0.0416313
Appluimonia,4,8/7/16 4:00,1.36103
Appluimonia,4,8/7/16 19:00,1.36905
Appluimonia,4,8/21/16 2:00,1.46713
Appluimonia,4,8/21/16 6:00,1.39624
Appluimonia,4,8/21/16 8:00,1.40181
Appluimonia,4,8/21/16 15:00,1.3715
Appluimonia,4,8/21/16 17:00,1.36733
Appluimonia,4,8/21/16 22:00,1.51785
Appluimonia,4,8/28/16 1:00,1.37891
Appluimonia,4,8/28/16 6:00,1.58643
Appluimonia,4,8/28/16 18:00,1.51221
Appluimonia,4,12/4/16 0:00,2.29159
Appluimonia,4,12/4/16 1:00,2.07309
Appluimonia,4,12/4/16 2:00,1.68305
Appluimonia,4,12/4/16 3:00,2.1262
Appluimonia,4,12/4/16 4:00,2.20862
Appluimonia,4,12/4/16 5:00,1.87517
Appluimonia,4,12/4/16 6:00,1.69596
Appluimonia,4,12/4/16 7:00,1.96898
Appluimonia,4,12/4/16 8:00,1.70492
Appluimonia,4,12/4/16 9:00,1.94625
Appluimonia,4,12/4/16 10:00,1.72377
Appluimonia,4,12/4/16 11:00,2.12241
