Chemical,Monitor,Date Time ,Reading
AGOC-3A,3,4/6/16 8:00,4.5871
AGOC-3A,3,4/6/16 16:00,3.84803
AGOC-3A,3,4/27/16 12:00,5.01485
AGOC-3A,3,8/3/16 17:00,6.34574
AGOC-3A,3,8/17/16 0:00,6.00091
AGOC-3A,3,8/24/16 3:00,5.07221
AGOC-3A,3,8/31/16 17:00,4.7782
AGOC-3A,3,12/7/16 20:00,4.51064
AGOC-3A,3,12/14/16 7:00,5.04112
AGOC-3A,3,12/14/16 16:00,5.14258
AGOC-3A,3,12/21/16 0:00,4.35842
AGOC-3A,4,8/3/16 7:00,16.56121
AGOC-3A,4,8/3/16 8:00,16.832
AGOC-3A,4,8/10/16 7:00,22.31719
AGOC-3A,4,8/10/16 9:00,18.28853
AGOC-3A,4,8/10/16 13:00,15.34465
AGOC-3A,4,8/17/16 6:00,25.9452
AGOC-3A,4,12/7/16 14:00,5.06263
AGOC-3A,5,4/6/16 12:00,5.48174
AGOC-3A,5,4/6/16 13:00,56.81271
AGOC-3A,5,4/6/16 13:00,5.66384
AGOC-3A,5,8/3/16 2:00,5.46001
AGOC-3A,5,8/10/16 3:00,3.93271
AGOC-3A,5,8/10/16 21:00,8.48644
AGOC-3A,5,8/10/16 23:00,5.29454
AGOC-3A,5,8/17/16 4:00,3.97356
AGOC-3A,5,8/17/16 8:00,14.70012
AGOC-3A,5,8/24/16 6:00,6.17477
AGOC-3A,5,8/24/16 12:00,5.85509
AGOC-3A,5,12/7/16 21:00,6.63513
AGOC-3A,5,12/14/16 8:00,4.27427
AGOC-3A,5,12/14/16 8:00,35.16737
AGOC-3A,5,12/14/16 9:00,6.20453
AGOC-3A,5,12/21/16 6:00,16.18375
AGOC-3A,6,4/6/16 6:00,69.16677
AGOC-3A,6,4/6/16 6:00,7.08368
AGOC-3A,6,4/6/16 7:00,84.82578
AGOC-3A,6,4/6/16 7:00,9.02047
AGOC-3A,6,8/17/16 11:00,30.2259
AGOC-3A,6,12/14/16 12:00,13.6412
AGOC-3A,6,12/14/16 13:00,21.8822
AGOC-3A,6,12/14/16 18:00,25.40451
AGOC-3A,6,12/14/16 19:00,4.5474
AGOC-3A,6,12/14/16 19:00,40.2833
AGOC-3A,7,8/3/16 9:00,3.93772
AGOC-3A,7,12/14/16 0:00,4.424
AGOC-3A,9,4/6/16 13:00,8.5164
AGOC-3A,9,4/6/16 14:00,8.87838
AGOC-3A,9,8/3/16 14:00,4.35791
AGOC-3A,9,8/24/16 6:00,15.94264
AGOC-3A,9,8/24/16 7:00,4.31702
AGOC-3A,9,8/24/16 11:00,4.10276
AGOC-3A,9,8/24/16 14:00,7.61717
AGOC-3A,9,8/24/16 20:00,16.41074
AGOC-3A,9,12/7/16 20:00,4.04499
AGOC-3A,9,12/14/16 8:00,4.79273
AGOC-3A,9,12/21/16 5:00,3.92916
AGOC-3A,9,12/21/16 14:00,6.16909
