Chemical,Monitor,Date Time ,Reading
AGOC-3A,2,8/1/16 19:00,3.48189
AGOC-3A,3,4/6/16 19:00,1.50631
AGOC-3A,3,4/10/16 19:00,3.37639
AGOC-3A,3,4/13/16 19:00,3.08127
AGOC-3A,3,4/20/16 19:00,2.22913
AGOC-3A,3,4/25/16 19:00,1.27089
AGOC-3A,3,4/27/16 19:00,1.6971
AGOC-3A,3,4/29/16 19:00,3.54092
AGOC-3A,3,4/30/16 19:00,1.27964
AGOC-3A,3,8/2/16 19:00,1.6357
AGOC-3A,3,8/3/16 19:00,1.59405
AGOC-3A,3,8/5/16 19:00,1.33905
AGOC-3A,3,8/6/16 19:00,1.43155
AGOC-3A,3,8/7/16 19:00,2.47649
AGOC-3A,3,8/9/16 19:00,1.78948
AGOC-3A,3,8/10/16 19:00,2.55111
AGOC-3A,3,8/13/16 19:00,1.69865
AGOC-3A,3,8/14/16 19:00,2.5541
AGOC-3A,3,8/15/16 19:00,1.48687
AGOC-3A,3,8/21/16 19:00,2.26998
AGOC-3A,3,8/25/16 19:00,1.60116
AGOC-3A,3,8/27/16 19:00,2.39371
AGOC-3A,3,8/28/16 19:00,1.52707
AGOC-3A,3,12/6/16 19:00,2.22394
AGOC-3A,3,12/12/16 19:00,3.60365
AGOC-3A,3,12/15/16 19:00,2.82954
AGOC-3A,3,12/19/16 19:00,1.24403
AGOC-3A,3,12/20/16 19:00,2.28004
AGOC-3A,3,12/21/16 19:00,1.39117
AGOC-3A,3,12/22/16 19:00,3.42688
AGOC-3A,3,12/24/16 19:00,1.72884
AGOC-3A,3,12/25/16 19:00,2.12859
AGOC-3A,3,12/26/16 19:00,1.48276
AGOC-3A,3,12/27/16 19:00,2.86507
AGOC-3A,3,12/28/16 19:00,1.73216
AGOC-3A,3,12/29/16 19:00,2.16645
AGOC-3A,4,8/6/16 19:00,1.41531
AGOC-3A,4,8/16/16 19:00,1.25819
AGOC-3A,4,8/20/16 19:00,1.35478
AGOC-3A,4,8/23/16 19:00,1.28514
AGOC-3A,4,8/24/16 19:00,1.27562
AGOC-3A,4,8/25/16 19:00,1.25057
AGOC-3A,4,8/27/16 19:00,1.32258
AGOC-3A,4,8/28/16 19:00,1.32202
AGOC-3A,4,12/1/16 19:00,1.96646
AGOC-3A,4,12/2/16 19:00,2.29937
AGOC-3A,4,12/3/16 19:00,1.44035
AGOC-3A,4,12/4/16 19:00,2.20205
AGOC-3A,4,12/5/16 19:00,1.64426
AGOC-3A,4,12/6/16 19:00,1.47756
AGOC-3A,4,12/7/16 19:00,2.25097
AGOC-3A,4,12/8/16 19:00,2.06789
AGOC-3A,4,12/9/16 19:00,1.95598
AGOC-3A,4,12/10/16 19:00,2.00426
AGOC-3A,4,12/11/16 19:00,1.92206
AGOC-3A,4,12/12/16 19:00,2.08055
AGOC-3A,4,12/13/16 19:00,1.95122
AGOC-3A,4,12/14/16 19:00,1.41253
AGOC-3A,4,12/15/16 19:00,2.25647
AGOC-3A,4,12/16/16 19:00,1.89725
AGOC-3A,4,12/17/16 19:00,2.20734
AGOC-3A,4,12/18/16 19:00,2.14288
AGOC-3A,4,12/19/16 19:00,2.28189
AGOC-3A,4,12/20/16 19:00,2.21646
AGOC-3A,4,12/21/16 19:00,2.1504
AGOC-3A,4,12/22/16 19:00,2.00484
AGOC-3A,4,12/23/16 19:00,2.38138
AGOC-3A,4,12/24/16 19:00,2.38241
AGOC-3A,4,12/25/16 19:00,2.37429
AGOC-3A,4,12/26/16 19:00,1.6925
AGOC-3A,4,12/27/16 19:00,2.44076
AGOC-3A,4,12/28/16 19:00,1.86031
AGOC-3A,4,12/29/16 19:00,2.1518
AGOC-3A,4,12/30/16 19:00,2.3666
AGOC-3A,4,12/31/16 19:00,2.12091
AGOC-3A,5,12/9/16 19:00,1.5065
AGOC-3A,6,8/9/16 19:00,2.58436
AGOC-3A,7,4/1/16 19:00,2.2287
AGOC-3A,7,4/2/16 19:00,3.23089
AGOC-3A,7,4/12/16 19:00,1.27487
AGOC-3A,7,4/25/16 19:00,1.38335
AGOC-3A,7,8/12/16 19:00,1.74934
AGOC-3A,7,8/17/16 19:00,2.0544
AGOC-3A,7,8/28/16 19:00,1.56046
AGOC-3A,7,12/16/16 19:00,1.35221
AGOC-3A,7,12/17/16 19:00,1.29617
AGOC-3A,9,8/25/16 19:00,1.62012
AGOC-3A,9,12/1/16 19:00,1.44832
AGOC-3A,9,12/2/16 19:00,3.32687
AGOC-3A,9,12/8/16 19:00,3.785
AGOC-3A,9,12/22/16 19:00,3.23334
AGOC-3A,9,12/24/16 19:00,1.31878
Appluimonia,2,4/3/16 19:00,1.1134
Appluimonia,2,4/18/16 19:00,0.751972
Appluimonia,2,8/28/16 19:00,0.730497
Appluimonia,2,12/10/16 19:00,1.09754
Appluimonia,2,12/23/16 19:00,0.734805
Appluimonia,3,4/3/16 19:00,0.721555
Appluimonia,3,4/4/16 19:00,1.26422
Appluimonia,3,4/5/16 19:00,0.761471
Appluimonia,3,4/7/16 19:00,1.01756
Appluimonia,3,4/9/16 19:00,1.19397
Appluimonia,3,4/20/16 19:00,1.16848
Appluimonia,3,4/21/16 19:00,1.06158
Appluimonia,3,4/22/16 19:00,1.06823
Appluimonia,3,4/27/16 19:00,0.863007
Appluimonia,3,4/28/16 19:00,0.87344
Appluimonia,3,4/29/16 19:00,1.09071
Appluimonia,3,8/2/16 19:00,1.2421
Appluimonia,3,8/4/16 19:00,1.26653
Appluimonia,3,8/5/16 19:00,0.708325
Appluimonia,3,8/10/16 19:00,0.71904
Appluimonia,3,8/18/16 19:00,0.717749
Appluimonia,3,8/19/16 19:00,1.33228
Appluimonia,3,8/23/16 19:00,1.00816
Appluimonia,3,8/25/16 19:00,1.23181
Appluimonia,3,12/3/16 19:00,0.710627
Appluimonia,3,12/4/16 19:00,1.28827
Appluimonia,3,12/7/16 19:00,0.891611
Appluimonia,3,12/11/16 19:00,1.01208
Appluimonia,3,12/14/16 19:00,0.746343
Appluimonia,3,12/24/16 19:00,0.73341
Appluimonia,3,12/25/16 19:00,1.11526
Appluimonia,3,12/29/16 19:00,1.02126
Appluimonia,4,8/3/16 19:00,1.04644
Appluimonia,4,8/4/16 19:00,1.23992
Appluimonia,4,8/5/16 19:00,0.942031
Appluimonia,4,8/6/16 19:00,1.34759
Appluimonia,4,8/8/16 19:00,1.21921
Appluimonia,4,8/10/16 19:00,0.837941
Appluimonia,4,8/11/16 19:00,1.07265
Appluimonia,4,8/12/16 19:00,1.07304
Appluimonia,4,8/13/16 19:00,1.2441
Appluimonia,4,8/14/16 19:00,0.987998
Appluimonia,4,8/15/16 19:00,1.12584
Appluimonia,4,8/16/16 19:00,1.20756
Appluimonia,4,8/17/16 19:00,1.04106
Appluimonia,4,8/18/16 19:00,1.10669
Appluimonia,4,8/19/16 19:00,0.765561
Appluimonia,4,8/21/16 19:00,0.997708
Appluimonia,4,8/22/16 19:00,0.836474
Appluimonia,4,8/23/16 19:00,0.81293
Appluimonia,4,8/24/16 19:00,1.18751
Appluimonia,4,8/25/16 19:00,1.12593
Appluimonia,4,8/27/16 19:00,1.10682
Appluimonia,4,8/28/16 19:00,1.13469
Appluimonia,4,8/29/16 19:00,1.32865
Appluimonia,4,8/30/16 19:00,1.18096
Appluimonia,5,8/1/16 19:00,0.902144
Appluimonia,5,8/17/16 19:00,1.02028
Appluimonia,5,8/22/16 19:00,0.869218
Appluimonia,5,8/28/16 19:00,1.07006
Appluimonia,5,8/29/16 19:00,1.09183
Appluimonia,5,12/8/16 19:00,1.18292
Appluimonia,5,12/11/16 19:00,0.839556
Appluimonia,5,12/12/16 19:00,0.927958
Appluimonia,5,12/13/16 19:00,0.89128
Appluimonia,5,12/17/16 19:00,0.771327
Appluimonia,5,12/19/16 19:00,1.10372
Appluimonia,5,12/20/16 19:00,0.967159
Appluimonia,5,12/30/16 19:00,1.08498
Appluimonia,6,8/9/16 19:00,0.707318
Appluimonia,6,8/16/16 19:00,0.90824
Appluimonia,7,4/9/16 19:00,0.976294
Appluimonia,7,4/11/16 19:00,0.729552
Appluimonia,7,4/15/16 19:00,0.958873
Appluimonia,7,4/22/16 19:00,0.788256
Appluimonia,7,4/27/16 19:00,1.04347
Appluimonia,7,8/3/16 19:00,0.904804
Appluimonia,7,8/5/16 19:00,0.970812
Appluimonia,7,8/8/16 19:00,1.26616
Appluimonia,7,8/9/16 19:00,1.23313
Appluimonia,7,8/13/16 19:00,1.27907
Appluimonia,7,8/19/16 19:00,0.957689
Appluimonia,7,8/27/16 19:00,0.895898
Appluimonia,7,8/31/16 19:00,1.25441
Appluimonia,7,12/2/16 19:00,1.26634
Appluimonia,7,12/5/16 19:00,0.757952
Appluimonia,7,12/19/16 19:00,1.35136
Appluimonia,7,12/21/16 19:00,0.896544
Appluimonia,7,12/27/16 19:00,0.850547
Appluimonia,8,4/9/16 19:00,0.994411
Appluimonia,8,4/13/16 19:00,0.807468
Appluimonia,8,4/14/16 19:00,1.01764
Appluimonia,8,4/17/16 19:00,1.3447
Appluimonia,8,4/19/16 19:00,0.744094
Appluimonia,8,4/23/16 19:00,0.819476
Appluimonia,8,4/27/16 19:00,0.856827
Appluimonia,8,4/29/16 19:00,0.706974
Appluimonia,8,4/30/16 19:00,1.24775
Appluimonia,8,8/8/16 19:00,0.786342
Appluimonia,8,8/18/16 19:00,0.726953
Appluimonia,8,8/19/16 19:00,0.709609
Appluimonia,8,8/20/16 19:00,1.23221
Appluimonia,8,8/22/16 19:00,0.746403
Appluimonia,8,8/28/16 19:00,0.951498
Appluimonia,8,12/3/16 19:00,0.774604
Appluimonia,8,12/9/16 19:00,1.04597
Appluimonia,8,12/12/16 19:00,1.0956
Appluimonia,8,12/20/16 19:00,0.922925
Appluimonia,8,12/21/16 19:00,1.03376
Appluimonia,9,8/26/16 19:00,0.758713
Appluimonia,9,8/28/16 19:00,0.909132
Appluimonia,9,8/29/16 19:00,0.723153
Appluimonia,9,12/2/16 19:00,1.10015
Appluimonia,9,12/3/16 19:00,0.748716
Appluimonia,9,12/6/16 19:00,0.839059
Appluimonia,9,12/7/16 19:00,0.871243
Appluimonia,9,12/12/16 19:00,0.830169
Appluimonia,9,12/15/16 19:00,0.752721
Appluimonia,9,12/19/16 19:00,0.729153
Appluimonia,9,12/20/16 19:00,1.268
Chlorodinine,2,4/13/16 19:00,0.867644
Chlorodinine,2,8/1/16 19:00,0.826669
Chlorodinine,2,8/3/16 19:00,0.792754
Chlorodinine,2,8/4/16 19:00,0.809018
Chlorodinine,2,8/14/16 19:00,0.817239
Chlorodinine,2,12/13/16 19:00,0.898114
Chlorodinine,2,12/14/16 19:00,0.84507
Chlorodinine,2,12/24/16 19:00,0.902079
Chlorodinine,3,4/2/16 19:00,1.48195
Chlorodinine,3,4/8/16 19:00,1.379
Chlorodinine,3,4/10/16 19:00,1.09738
Chlorodinine,3,4/11/16 19:00,1.47175
Chlorodinine,3,4/12/16 19:00,1.20857
Chlorodinine,3,4/15/16 19:00,1.27812
Chlorodinine,3,4/17/16 19:00,0.916387
Chlorodinine,3,4/20/16 19:00,1.45016
Chlorodinine,3,4/22/16 19:00,0.79317
Chlorodinine,3,4/23/16 19:00,1.11591
Chlorodinine,3,4/26/16 19:00,1.46607
Chlorodinine,3,4/29/16 19:00,0.954452
Chlorodinine,3,4/30/16 19:00,0.78064
Chlorodinine,3,8/1/16 19:00,1.38206
Chlorodinine,3,8/7/16 19:00,1.32876
Chlorodinine,3,8/8/16 19:00,0.842707
Chlorodinine,3,8/9/16 19:00,1.00724
Chlorodinine,3,8/13/16 19:00,1.13901
Chlorodinine,3,8/17/16 19:00,1.09416
Chlorodinine,3,8/29/16 19:00,1.17444
Chlorodinine,3,8/31/16 19:00,1.39319
Chlorodinine,3,12/4/16 19:00,1.10157
Chlorodinine,3,12/5/16 19:00,1.05606
Chlorodinine,3,12/9/16 19:00,1.28818
Chlorodinine,3,12/13/16 19:00,1.31057
Chlorodinine,3,12/14/16 19:00,0.991412
Chlorodinine,3,12/17/16 19:00,1.47724
Chlorodinine,3,12/18/16 19:00,1.50651
Chlorodinine,3,12/20/16 19:00,0.817076
Chlorodinine,3,12/21/16 19:00,0.997591
Chlorodinine,3,12/22/16 19:00,1.1768
Chlorodinine,3,12/29/16 19:00,0.85448
Chlorodinine,3,12/30/16 19:00,0.827382
Chlorodinine,3,12/31/16 19:00,1.33589
Chlorodinine,4,8/1/16 19:00,0.886217
Chlorodinine,4,8/3/16 19:00,1.32676
Chlorodinine,4,8/4/16 19:00,1.02827
Chlorodinine,4,8/5/16 19:00,1.06316
Chlorodinine,4,8/6/16 19:00,1.0771
Chlorodinine,4,8/7/16 19:00,0.915742
Chlorodinine,4,8/8/16 19:00,1.0111
Chlorodinine,4,8/9/16 19:00,1.06687
Chlorodinine,4,8/10/16 19:00,1.15694
Chlorodinine,4,8/11/16 19:00,0.949968
Chlorodinine,4,8/12/16 19:00,1.28537
Chlorodinine,4,8/13/16 19:00,0.801933
Chlorodinine,4,8/14/16 19:00,1.24417
Chlorodinine,4,8/15/16 19:00,1.24788
Chlorodinine,4,8/16/16 19:00,1.17569
Chlorodinine,4,8/17/16 19:00,1.20376
Chlorodinine,4,8/18/16 19:00,1.3577
Chlorodinine,4,8/19/16 19:00,0.88608
Chlorodinine,4,8/20/16 19:00,0.941054
Chlorodinine,4,8/21/16 19:00,1.2772
Chlorodinine,4,8/22/16 19:00,1.12161
Chlorodinine,4,8/23/16 19:00,1.0051
Chlorodinine,4,8/24/16 19:00,1.4549
Chlorodinine,4,8/25/16 19:00,1.30964
Chlorodinine,4,8/26/16 19:00,1.30863
Chlorodinine,4,8/27/16 19:00,1.13038
Chlorodinine,4,8/28/16 19:00,1.37748
