Chemical,Monitor,Date Time ,Reading
AGOC-3A,3,4/6/16 16:00,3.84803
AGOC-3A,3,4/11/16 16:00,4.71645
AGOC-3A,3,8/20/16 16:00,4.3104
AGOC-3A,3,8/29/16 16:00,3.94249
AGOC-3A,3,12/5/16 16:00,10.77567
AGOC-3A,3,12/14/16 16:00,5.14258
AGOC-3A,4,8/21/16 16:00,4.90815
AGOC-3A,4,8/21/16 16:00,40.75027
AGOC-3A,5,4/1/16 16:00,6.36965
AGOC-3A,5,4/11/16 16:00,4.70404
AGOC-3A,5,12/8/16 16:00,3.97903
AGOC-3A,5,12/8/16 16:00,32.44999
AGOC-3A,5,12/17/16 16:00,9.74998
AGOC-3A,6,8/6/16 16:00,4.06424
AGOC-3A,6,8/6/16 16:00,38.57752
AGOC-3A,6,8/18/16 16:00,56.17981
AGOC-3A,6,8/18/16 16:00,5.95521
AGOC-3A,6,12/13/16 16:00,4.25477
AGOC-3A,6,12/13/16 16:00,42.5599
AGOC-3A,8,4/16/16 16:00,7.46658
AGOC-3A,9,8/25/16 16:00,8.61555
AGOC-3A,9,12/11/16 16:00,22.17834
Appluimonia,1,4/3/16 16:00,0.0603239
Appluimonia,1,4/6/16 16:00,0.0577941
Appluimonia,1,4/10/16 16:00,0.0442026
Appluimonia,1,4/17/16 16:00,0.0676643
Appluimonia,1,4/20/16 16:00,0.0896213
Appluimonia,1,8/4/16 16:00,0.0366237
Appluimonia,1,8/7/16 16:00,0.0550878
Appluimonia,1,8/18/16 16:00,0.0604799
Appluimonia,1,8/19/16 16:00,0.015338
Appluimonia,1,8/20/16 16:00,0.0197914
Appluimonia,1,8/22/16 16:00,0.0340104
Appluimonia,1,8/23/16 16:00,0.0981315
Appluimonia,1,8/28/16 16:00,0.0807052
Appluimonia,1,12/1/16 16:00,0.0273596
Appluimonia,1,12/2/16 16:00,0.0811804
Appluimonia,1,12/16/16 16:00,0.0832366
Appluimonia,1,12/17/16 16:00,0.0327112
Appluimonia,1,12/19/16 16:00,0.0276876
Appluimonia,1,12/20/16 16:00,0.106418
Appluimonia,1,12/26/16 16:00,0.0236329
Appluimonia,1,12/27/16 16:00,0.107322
Appluimonia,1,12/29/16 16:00,0.0495964
Appluimonia,1,12/31/16 16:00,0.105685
Appluimonia,2,4/1/16 16:00,0.0335552
Appluimonia,2,4/2/16 16:00,0.0559627
Appluimonia,2,4/6/16 16:00,0.0630632
Appluimonia,2,4/11/16 16:00,0.0274625
Appluimonia,2,4/24/16 16:00,0.0366529
Appluimonia,2,4/29/16 16:00,0.039138
Appluimonia,2,8/6/16 16:00,0.061529
Appluimonia,2,8/21/16 16:00,0.0606513
Appluimonia,2,8/24/16 16:00,0.0492131
Appluimonia,2,8/26/16 16:00,0.0282346
Appluimonia,2,12/18/16 16:00,0.0313891
Appluimonia,3,4/1/16 16:00,1.63558
Appluimonia,3,4/2/16 16:00,3.00526
Appluimonia,3,4/4/16 16:00,2.25943
Appluimonia,3,4/9/16 16:00,1.76352
Appluimonia,3,4/12/16 16:00,2.44962
Appluimonia,3,4/13/16 16:00,0.0964138
Appluimonia,3,4/17/16 16:00,2.79963
Appluimonia,3,4/18/16 16:00,2.42186
Appluimonia,3,4/21/16 16:00,2.86136
Appluimonia,3,4/23/16 16:00,2.59749
Appluimonia,3,4/27/16 16:00,4.79794
Appluimonia,3,8/5/16 16:00,1.43333
Appluimonia,3,8/7/16 16:00,2.19944
Appluimonia,3,8/11/16 16:00,4.18471
Appluimonia,3,8/15/16 16:00,2.16522
Appluimonia,3,8/16/16 16:00,1.6762
Appluimonia,3,8/17/16 16:00,2.77552
Appluimonia,3,8/20/16 16:00,1.57796
Appluimonia,3,8/22/16 16:00,1.78819
Appluimonia,3,8/26/16 16:00,2.82303
Appluimonia,3,8/28/16 16:00,1.55751
Appluimonia,3,12/2/16 16:00,1.69101
Appluimonia,3,12/3/16 16:00,0.0582709
Appluimonia,3,12/12/16 16:00,1.47561
Appluimonia,3,12/15/16 16:00,2.94856
Appluimonia,3,12/17/16 16:00,3.37925
Appluimonia,3,12/22/16 16:00,1.56324
Appluimonia,3,12/23/16 16:00,1.9066
Appluimonia,3,12/24/16 16:00,1.41425
Appluimonia,3,12/26/16 16:00,2.81014
Appluimonia,3,12/27/16 16:00,1.43829
Appluimonia,3,12/28/16 16:00,2.53257
Appluimonia,3,12/29/16 16:00,0.0550873
Appluimonia,4,4/3/16 16:00,0.0093675
Appluimonia,4,4/4/16 16:00,0.0525036
Appluimonia,4,4/5/16 16:00,0.0543302
Appluimonia,4,4/15/16 16:00,0.07895
Appluimonia,4,8/22/16 16:00,1.52651
Appluimonia,4,8/25/16 16:00,1.47406
Appluimonia,4,8/31/16 16:00,1.5634
Appluimonia,4,12/1/16 16:00,1.77465
Appluimonia,4,12/2/16 16:00,1.82014
Appluimonia,4,12/3/16 16:00,1.74204
Appluimonia,4,12/4/16 16:00,1.94962
Appluimonia,4,12/5/16 16:00,1.8823
Appluimonia,4,12/6/16 16:00,2.08067
Appluimonia,4,12/7/16 16:00,1.89552
Appluimonia,4,12/8/16 16:00,1.89495
Appluimonia,4,12/9/16 16:00,1.82988
Appluimonia,4,12/10/16 16:00,1.96551
Appluimonia,4,12/11/16 16:00,1.97489
Appluimonia,4,12/12/16 16:00,1.88554
Appluimonia,4,12/13/16 16:00,2.05671
Appluimonia,4,12/14/16 16:00,2.20006
Appluimonia,4,12/15/16 16:00,1.94356
Appluimonia,4,12/16/16 16:00,1.74093
Appluimonia,4,12/17/16 16:00,2.15615
Appluimonia,4,12/18/16 16:00,2.45364
Appluimonia,4,12/19/16 16:00,2.16192
Appluimonia,4,12/20/16 16:00,2.16655
Appluimonia,4,12/21/16 16:00,1.78965
Appluimonia,4,12/22/16 16:00,2.00379
Appluimonia,4,12/23/16 16:00,1.92968
Appluimonia,4,12/24/16 16:00,1.81865
Appluimonia,4,12/25/16 16:00,2.16682
Appluimonia,4,12/26/16 16:00,2.47636
Appluimonia,4,12/27/16 16:00,1.98036
Appluimonia,4,12/28/16 16:00,2.25197
Appluimonia,4,12/29/16 16:00,2.35524
Appluimonia,4,12/30/16 16:00,2.05945
Appluimonia,4,12/31/16 16:00,1.91934
Appluimonia,5,4/1/16 16:00,0.0176918
Appluimonia,5,4/4/16 16:00,0.0814404
Appluimonia,5,4/7/16 16:00,0.0485591
Appluimonia,5,4/9/16 16:00,0.015072
Appluimonia,5,4/13/16 16:00,0.106448
Appluimonia,5,8/1/16 16:00,0.0227673
Appluimonia,5,8/6/16 16:00,0.0609803
Appluimonia,5,8/8/16 16:00,0.0796317
Appluimonia,5,8/10/16 16:00,0.0111242
Appluimonia,5,8/18/16 16:00,0.0123974
Appluimonia,5,8/24/16 16:00,0.00115437
Appluimonia,5,12/4/16 16:00,1.56935
Appluimonia,5,12/10/16 16:00,1.85856
Appluimonia,5,12/11/16 16:00,0.00170711
Appluimonia,5,12/13/16 16:00,2.07814
Appluimonia,5,12/16/16 16:00,0.0728868
Appluimonia,5,12/22/16 16:00,0.042204
Appluimonia,5,12/30/16 16:00,1.37651
Appluimonia,5,12/31/16 16:00,0.102401
Appluimonia,6,4/8/16 16:00,0.024466
Appluimonia,6,4/15/16 16:00,0.073603
Appluimonia,6,4/23/16 16:00,0.0201902
Appluimonia,6,4/28/16 16:00,0.0436115
Appluimonia,6,8/6/16 16:00,0.0746246
Appluimonia,6,8/16/16 16:00,0.0558751
Appluimonia,6,8/18/16 16:00,0.0214489
Appluimonia,6,8/20/16 16:00,0.00902824
Appluimonia,6,12/9/16 16:00,0.00563464
Appluimonia,6,12/24/16 16:00,0.0322067
Appluimonia,6,12/31/16 16:00,0.0526446
Appluimonia,7,4/6/16 16:00,0.0272956
Appluimonia,7,4/7/16 16:00,0.0428195
Appluimonia,7,4/12/16 16:00,1.61492
Appluimonia,7,4/19/16 16:00,1.40132
Appluimonia,7,4/20/16 16:00,1.66392
Appluimonia,7,4/27/16 16:00,2.30158
Appluimonia,7,8/3/16 16:00,1.55171
Appluimonia,7,8/5/16 16:00,1.84128
Appluimonia,7,8/10/16 16:00,1.67327
Appluimonia,7,8/21/16 16:00,2.68521
Appluimonia,7,8/26/16 16:00,2.44172
Appluimonia,7,12/2/16 16:00,1.57892
Appluimonia,7,12/3/16 16:00,0.00970269
Appluimonia,7,12/15/16 16:00,2.67359
Appluimonia,7,12/17/16 16:00,0.00313962
Appluimonia,7,12/19/16 16:00,1.8049
Appluimonia,7,12/21/16 16:00,3.65341
Appluimonia,7,12/26/16 16:00,1.95694
Appluimonia,7,12/30/16 16:00,0.0800834
Appluimonia,8,4/24/16 16:00,0.0751
Appluimonia,8,8/14/16 16:00,0.0465085
Appluimonia,8,8/23/16 16:00,0.100724
Appluimonia,8,8/24/16 16:00,0.0888871
Appluimonia,8,12/4/16 16:00,0.00180294
Appluimonia,8,12/14/16 16:00,0.0787819
Appluimonia,8,12/16/16 16:00,0.0365074
Appluimonia,8,12/24/16 16:00,0.0945035
Appluimonia,9,4/2/16 16:00,0.00749758
Appluimonia,9,4/5/16 16:00,0.00291327
Appluimonia,9,4/9/16 16:00,0.080687
Appluimonia,9,4/13/16 16:00,0.00651182
Appluimonia,9,4/21/16 16:00,0.107467
Appluimonia,9,4/25/16 16:00,0.0863968
Appluimonia,9,4/28/16 16:00,0.0640101
Appluimonia,9,4/29/16 16:00,0.00959137
Appluimonia,9,8/3/16 16:00,0.0892721
Appluimonia,9,8/18/16 16:00,0.0975285
Appluimonia,9,8/21/16 16:00,3.75369
Appluimonia,9,8/22/16 16:00,0.00425173
Appluimonia,9,8/30/16 16:00,0.033342
Appluimonia,9,8/31/16 16:00,0.0842316
Appluimonia,9,12/3/16 16:00,0.0855483
Appluimonia,9,12/9/16 16:00,0.0994949
Appluimonia,9,12/11/16 16:00,0.0696288
Appluimonia,9,12/12/16 16:00,0.100408
Chlorodinine,1,4/2/16 16:00,0.0317947
Chlorodinine,1,4/3/16 16:00,0.0737443
Chlorodinine,1,4/10/16 16:00,0.0275321
Chlorodinine,1,4/14/16 16:00,0.0483756
Chlorodinine,1,4/20/16 16:00,0.00471361
Chlorodinine,1,4/22/16 16:00,0.0105759
Chlorodinine,1,4/26/16 16:00,0.0193084
Chlorodinine,1,4/30/16 16:00,0.084667
Chlorodinine,1,8/2/16 16:00,0.056161
Chlorodinine,1,8/4/16 16:00,0.011925
Chlorodinine,1,8/19/16 16:00,0.0587969
Chlorodinine,1,8/20/16 16:00,0.0956268
Chlorodinine,1,8/23/16 16:00,0.0958021
Chlorodinine,1,8/25/16 16:00,0.0982303
Chlorodinine,1,8/26/16 16:00,0.0655867
Chlorodinine,1,8/27/16 16:00,0.0130056
Chlorodinine,1,8/28/16 16:00,0.00159146
Chlorodinine,1,12/11/16 16:00,0.0959775
Chlorodinine,1,12/16/16 16:00,0.0223252
Chlorodinine,1,12/27/16 16:00,0.0743309
Chlorodinine,1,12/29/16 16:00,0.0499411
Chlorodinine,1,12/30/16 16:00,0.0541853
Chlorodinine,1,12/31/16 16:00,0.0745616
Chlorodinine,2,4/7/16 16:00,0.0205138
Chlorodinine,2,4/9/16 16:00,0.0706876
Chlorodinine,2,4/21/16 16:00,0.0455605
Chlorodinine,2,8/4/16 16:00,0.0666065
Chlorodinine,2,8/5/16 16:00,0.032954
Chlorodinine,2,8/7/16 16:00,0.00752909
Chlorodinine,2,8/11/16 16:00,0.0884854
Chlorodinine,2,8/14/16 16:00,0.00482912
Chlorodinine,2,8/16/16 16:00,0.0724428
Chlorodinine,2,8/24/16 16:00,0.0603342
Chlorodinine,2,8/25/16 16:00,0.0263538
Chlorodinine,2,12/4/16 16:00,0.0257822
Chlorodinine,2,12/5/16 16:00,0.0287179
Chlorodinine,2,12/16/16 16:00,0.0579941
Chlorodinine,3,4/4/16 16:00,2.3034
Chlorodinine,3,4/5/16 16:00,2.86069
Chlorodinine,3,4/12/16 16:00,0.0103756
Chlorodinine,3,4/17/16 16:00,2.9515
Chlorodinine,3,4/18/16 16:00,2.83314
Chlorodinine,3,4/27/16 16:00,2.16557
Chlorodinine,3,8/2/16 16:00,2.29885
Chlorodinine,3,8/3/16 16:00,2.6912
Chlorodinine,3,8/6/16 16:00,2.72128
Chlorodinine,3,8/7/16 16:00,2.82888
Chlorodinine,3,8/9/16 16:00,2.95593
Chlorodinine,3,8/16/16 16:00,1.6897
Chlorodinine,3,8/17/16 16:00,1.83076
Chlorodinine,3,8/21/16 16:00,2.47695
Chlorodinine,3,8/22/16 16:00,1.7465
Chlorodinine,3,8/25/16 16:00,1.85761
Chlorodinine,3,8/26/16 16:00,1.5873
Chlorodinine,3,8/31/16 16:00,3.60658
Chlorodinine,3,12/2/16 16:00,2.33154
Chlorodinine,3,12/5/16 16:00,1.9218
Chlorodinine,3,12/7/16 16:00,2.20252
Chlorodinine,3,12/10/16 16:00,1.90322
Chlorodinine,3,12/11/16 16:00,1.59627
Chlorodinine,3,12/13/16 16:00,3.06542
Chlorodinine,3,12/15/16 16:00,3.25177
Chlorodinine,3,12/17/16 16:00,2.01336
Chlorodinine,3,12/21/16 16:00,1.86975
Chlorodinine,3,12/27/16 16:00,1.97437
Chlorodinine,3,12/29/16 16:00,3.48986
Chlorodinine,4,4/6/16 16:00,0.0976676
Chlorodinine,4,4/13/16 16:00,0.0236886
Chlorodinine,4,4/18/16 16:00,0.0867021
Chlorodinine,4,4/22/16 16:00,0.072198
Chlorodinine,4,4/23/16 16:00,0.0410754
Chlorodinine,4,8/21/16 16:00,3.08101
Chlorodinine,4,12/1/16 16:00,2.24683
Chlorodinine,4,12/2/16 16:00,1.71919
Chlorodinine,4,12/3/16 16:00,2.01983
Chlorodinine,4,12/4/16 16:00,1.64974
Chlorodinine,4,12/5/16 16:00,1.70232
Chlorodinine,4,12/6/16 16:00,1.97089
Chlorodinine,4,12/7/16 16:00,1.96556
Chlorodinine,4,12/8/16 16:00,2.1269
Chlorodinine,4,12/9/16 16:00,2.00913
Chlorodinine,4,12/10/16 16:00,2.02771
Chlorodinine,4,12/11/16 16:00,1.95217
Chlorodinine,4,12/12/16 16:00,2.11442
Chlorodinine,4,12/13/16 16:00,1.76058
Chlorodinine,4,12/14/16 16:00,1.85519
Chlorodinine,4,12/15/16 16:00,1.85055
Chlorodinine,4,12/16/16 16:00,1.94067
Chlorodinine,4,12/17/16 16:00,2.0738
Chlorodinine,4,12/18/16 16:00,1.76996
Chlorodinine,4,12/19/16 16:00,1.92237
Chlorodinine,4,12/20/16 16:00,1.86138
Chlorodinine,4,12/21/16 16:00,1.78858
Chlorodinine,4,12/22/16 16:00,2.16363
Chlorodinine,4,12/23/16 16:00,2.09943
Chlorodinine,4,12/24/16 16:00,2.26008
Chlorodinine,4,12/25/16 16:00,2.30851
Chlorodinine,4,12/26/16 16:00,2.17538
Chlorodinine,4,12/27/16 16:00,2.18405
Chlorodinine,4,12/28/16 16:00,2.18325
Chlorodinine,4,12/29/16 16:00,2.36188
Chlorodinine,4,12/30/16 16:00,1.82172
Chlorodinine,4,12/31/16 16:00,2.3218
Chlorodinine,5,4/2/16 16:00,0.00448124
Chlorodinine,5,4/7/16 16:00,0.0601732
Chlorodinine,5,4/8/16 16:00,0.0327183
Chlorodinine,5,4/9/16 16:00,0.0491548
Chlorodinine,5,4/11/16 16:00,0.0135854
Chlorodinine,5,4/16/16 16:00,0.0794465
Chlorodinine,5,4/21/16 16:00,0.0744521
Chlorodinine,5,4/23/16 16:00,0.0600869
Chlorodinine,5,12/4/16 16:00,1.74683
Chlorodinine,5,12/18/16 16:00,1.80143
Chlorodinine,5,12/29/16 16:00,0.0393591
Chlorodinine,6,4/9/16 16:00,2.33162
Chlorodinine,6,4/10/16 16:00,6.73747
Chlorodinine,6,4/18/16 16:00,0.0128306
Chlorodinine,6,4/20/16 16:00,0.0677689
Chlorodinine,6,4/25/16 16:00,5.08316
Chlorodinine,6,8/9/16 16:00,2.46743
Chlorodinine,6,8/20/16 16:00,0.0581671
Chlorodinine,6,8/22/16 16:00,5.52658
Chlorodinine,6,8/30/16 16:00,0.0215738
Chlorodinine,6,12/12/16 16:00,0.0345857
Chlorodinine,6,12/19/16 16:00,2.69013
Chlorodinine,7,4/3/16 16:00,2.43037
Chlorodinine,7,4/18/16 16:00,2.07799
Chlorodinine,7,4/27/16 16:00,2.55941
Chlorodinine,7,4/29/16 16:00,1.60323
Chlorodinine,7,4/30/16 16:00,3.58641
Chlorodinine,7,8/14/16 16:00,0.0381205
Chlorodinine,7,8/27/16 16:00,0.0728443
Chlorodinine,7,8/31/16 16:00,0.0868159
Chlorodinine,7,12/8/16 16:00,1.9678
Chlorodinine,7,12/9/16 16:00,0.0661679
Chlorodinine,7,12/13/16 16:00,1.80832
Chlorodinine,7,12/14/16 16:00,0.0434047
Chlorodinine,7,12/28/16 16:00,0.090768
Chlorodinine,7,12/29/16 16:00,0.00587896
Chlorodinine,8,4/25/16 16:00,0.059789
Chlorodinine,8,4/28/16 16:00,0.0702415
Chlorodinine,8,8/12/16 16:00,0.040582
Chlorodinine,8,8/14/16 16:00,0.0443785
Chlorodinine,8,8/17/16 16:00,0.0324775
Chlorodinine,8,8/19/16 16:00,0.0387087
Chlorodinine,8,8/23/16 16:00,0.0242077
Chlorodinine,8,8/28/16 16:00,0.0653903
Chlorodinine,8,12/3/16 16:00,0.0844526
Chlorodinine,8,12/10/16 16:00,0.0207513
Chlorodinine,8,12/14/16 16:00,0.0222523
Chlorodinine,8,12/26/16 16:00,0.0558181
Chlorodinine,9,4/4/16 16:00,0.0280617
Chlorodinine,9,4/5/16 16:00,0.0879724
Chlorodinine,9,4/6/16 16:00,0.0840522
Chlorodinine,9,4/12/16 16:00,0.0138659
Chlorodinine,9,4/13/16 16:00,0.00629568
Chlorodinine,9,4/15/16 16:00,0.0630251
Chlorodinine,9,4/23/16 16:00,0.0271263
Chlorodinine,9,4/28/16 16:00,0.0176454
Chlorodinine,9,8/5/16 16:00,0.00920834
Chlorodinine,9,8/7/16 16:00,0.0313159
Chlorodinine,9,8/8/16 16:00,0.0579515
Chlorodinine,9,8/11/16 16:00,0.0827645
Chlorodinine,9,8/13/16 16:00,0.079552
Chlorodinine,9,8/22/16 16:00,0.0509329
Chlorodinine,9,8/29/16 16:00,0.0287242
Chlorodinine,9,12/1/16 16:00,0.0768074
Chlorodinine,9,12/3/16 16:00,0.0905113
Chlorodinine,9,12/8/16 16:00,0.0469674
Chlorodinine,9,12/10/16 16:00,1.60897
Chlorodinine,9,12/15/16 16:00,0.0414041
Chlorodinine,9,12/21/16 16:00,0.0977581
Methylosmolene,1,4/13/16 16:00,0.00115522
Methylosmolene,1,8/11/16 16:00,0.00156645
Methylosmolene,2,8/28/16 16:00,0.00857078
Methylosmolene,3,4/18/16 16:00,2.90718
Methylosmolene,3,4/21/16 16:00,3.59422
Methylosmolene,3,4/25/16 16:00,2.89179
Methylosmolene,3,4/27/16 16:00,5.25331
Methylosmolene,3,4/29/16 16:00,3.44024
Methylosmolene,3,8/5/16 16:00,3.10855
Methylosmolene,3,8/18/16 16:00,2.87151
Methylosmolene,3,12/25/16 16:00,3.38731
Methylosmolene,6,4/4/16 16:00,0.00141822
Methylosmolene,7,8/31/16 16:00,4.37151
Methylosmolene,7,12/25/16 16:00,0.00597082
Methylosmolene,8,12/27/16 16:00,0.00263176
Methylosmolene,9,4/29/16 16:00,0.00565462
Methylosmolene,9,8/12/16 16:00,0.00464645
