Chemical,Monitor,Date Time ,Reading
AGOC-3A,3,4/1/16 7:00,4.78659
AGOC-3A,3,4/1/16 20:00,4.42195
AGOC-3A,3,4/2/16 10:00,3.98593
AGOC-3A,3,4/2/16 11:00,5.8452
AGOC-3A,3,4/5/16 11:00,5.28864
AGOC-3A,3,4/5/16 18:00,4.99654
AGOC-3A,3,4/6/16 8:00,4.5871
AGOC-3A,3,4/6/16 16:00,3.84803
AGOC-3A,3,4/7/16 20:00,5.53951
AGOC-3A,3,4/9/16 21:00,3.93721
AGOC-3A,3,4/10/16 17:00,4.20587
AGOC-3A,3,4/11/16 16:00,4.71645
AGOC-3A,3,4/14/16 15:00,5.4476
AGOC-3A,3,4/16/16 22:00,4.68844
AGOC-3A,3,4/17/16 6:00,11.00977
AGOC-3A,3,4/17/16 6:00,3.98816
AGOC-3A,3,4/17/16 7:00,22.02191
AGOC-3A,3,4/19/16 11:00,5.36994
AGOC-3A,3,4/21/16 14:00,3.91741
AGOC-3A,3,4/23/16 3:00,4.1695
AGOC-3A,3,4/23/16 9:00,4.93719
AGOC-3A,3,4/23/16 23:00,4.31849
AGOC-3A,3,4/27/16 12:00,5.01485
AGOC-3A,4,4/7/16 2:00,3.95404
AGOC-3A,4,4/12/16 6:00,7.97074
AGOC-3A,4,4/12/16 11:00,15.89812
AGOC-3A,4,4/17/16 9:00,21.74568
AGOC-3A,4,4/22/16 13:00,31.85437
AGOC-3A,4,4/22/16 14:00,10.7686
AGOC-3A,5,4/1/16 16:00,6.36965
AGOC-3A,5,4/2/16 12:00,16.03786
AGOC-3A,5,4/2/16 20:00,8.51139
AGOC-3A,5,4/6/16 12:00,5.48174
AGOC-3A,5,4/6/16 13:00,56.81271
AGOC-3A,5,4/6/16 13:00,5.66384
AGOC-3A,5,4/7/16 12:00,10.44655
AGOC-3A,5,4/7/16 13:00,8.04198
AGOC-3A,5,4/8/16 6:00,16.20418
AGOC-3A,5,4/8/16 8:00,17.63448
AGOC-3A,5,4/8/16 12:00,31.76478
AGOC-3A,5,4/11/16 4:00,4.31881
AGOC-3A,5,4/11/16 6:00,6.35613
AGOC-3A,5,4/11/16 16:00,4.70404
AGOC-3A,5,4/21/16 12:00,26.51551
AGOC-3A,5,4/22/16 11:00,11.32177
AGOC-3A,5,4/22/16 19:00,6.00185
AGOC-3A,6,4/2/16 3:00,5.80055
AGOC-3A,6,4/2/16 4:00,9.62682
AGOC-3A,6,4/2/16 10:00,31.90381
AGOC-3A,6,4/2/16 10:00,4.18545
AGOC-3A,6,4/3/16 0:00,4.49753
AGOC-3A,6,4/6/16 6:00,69.16677
AGOC-3A,6,4/6/16 6:00,7.08368
AGOC-3A,6,4/6/16 7:00,84.82578
AGOC-3A,6,4/6/16 7:00,9.02047
AGOC-3A,6,4/9/16 1:00,9.46074
AGOC-3A,6,4/12/16 15:00,18.12727
AGOC-3A,6,4/15/16 6:00,20.90265
AGOC-3A,6,4/15/16 7:00,22.17758
AGOC-3A,6,4/15/16 8:00,38.05422
AGOC-3A,6,4/15/16 9:00,15.66241
AGOC-3A,6,4/15/16 11:00,18.86035
AGOC-3A,6,4/15/16 12:00,45.51334
AGOC-3A,6,4/15/16 13:00,11.64968
AGOC-3A,6,4/16/16 6:00,12.58436
