Chemical,Monitor,Date Time ,Reading
AGOC-3A,1,8/2/16 14:00,10.73531
AGOC-3A,2,8/1/16 9:00,26.72656
AGOC-3A,2,8/1/16 10:00,26.89603
AGOC-3A,2,8/1/16 19:00,31.87868
AGOC-3A,2,8/2/16 4:00,5.82203
AGOC-3A,2,8/20/16 5:00,4.40613
AGOC-3A,2,8/20/16 6:00,16.43803
AGOC-3A,3,8/1/16 6:00,5.49876
AGOC-3A,3,8/1/16 7:00,6.35186
AGOC-3A,3,8/1/16 13:00,11.93167
AGOC-3A,3,8/1/16 14:00,7.06468
AGOC-3A,3,8/1/16 14:00,64.67163
AGOC-3A,3,8/1/16 21:00,38.44904
AGOC-3A,3,8/1/16 22:00,5.98324
AGOC-3A,3,8/1/16 23:00,7.84489
AGOC-3A,3,8/2/16 1:00,6.01367
AGOC-3A,3,8/2/16 20:00,17.24103
AGOC-3A,3,8/3/16 17:00,6.34574
AGOC-3A,3,8/4/16 9:00,4.15592
AGOC-3A,3,8/13/16 4:00,6.84874
AGOC-3A,3,8/13/16 9:00,85.31459
AGOC-3A,3,8/13/16 9:00,9.29498
AGOC-3A,3,8/13/16 10:00,49.51799
AGOC-3A,3,8/13/16 10:00,5.43842
AGOC-3A,3,8/13/16 11:00,51.70445
AGOC-3A,3,8/13/16 11:00,5.41483
AGOC-3A,3,8/13/16 12:00,24.40264
AGOC-3A,3,8/13/16 13:00,8.16364
AGOC-3A,3,8/13/16 13:00,81.69983
AGOC-3A,3,8/13/16 14:00,16.79864
AGOC-3A,3,8/13/16 17:00,5.63631
AGOC-3A,3,8/13/16 17:00,57.3504
AGOC-3A,3,8/13/16 18:00,16.35287
AGOC-3A,3,8/13/16 18:00,4.17397
AGOC-3A,3,8/13/16 20:00,11.70377
AGOC-3A,3,8/13/16 21:00,11.18791
AGOC-3A,3,8/14/16 23:00,4.7782
AGOC-3A,3,8/15/16 7:00,3.88801
AGOC-3A,3,8/17/16 0:00,6.00091
AGOC-3A,3,8/20/16 10:00,26.49518
AGOC-3A,3,8/20/16 10:00,4.56653
AGOC-3A,3,8/20/16 12:00,8.6876
AGOC-3A,3,8/20/16 13:00,15.02033
AGOC-3A,3,8/20/16 13:00,5.79057
AGOC-3A,3,8/20/16 16:00,4.3104
AGOC-3A,3,8/21/16 20:00,4.75893
AGOC-3A,3,8/23/16 11:00,4.42012
AGOC-3A,3,8/24/16 3:00,5.07221
AGOC-3A,3,8/26/16 12:00,4.81521
AGOC-3A,3,8/29/16 16:00,3.94249
AGOC-3A,3,8/29/16 21:00,4.11764
AGOC-3A,3,8/30/16 10:00,6.54448
AGOC-3A,3,8/31/16 17:00,4.7782
AGOC-3A,4,8/3/16 7:00,16.56121
AGOC-3A,4,8/3/16 8:00,16.832
AGOC-3A,4,8/10/16 7:00,22.31719
AGOC-3A,4,8/10/16 9:00,18.28853
AGOC-3A,4,8/10/16 13:00,15.34465
AGOC-3A,4,8/14/16 6:00,7.50594
AGOC-3A,4,8/14/16 7:00,7.283
AGOC-3A,4,8/16/16 10:00,17.0811
AGOC-3A,4,8/16/16 11:00,22.2418
AGOC-3A,4,8/16/16 14:00,4.23887
AGOC-3A,4,8/16/16 14:00,32.72532
AGOC-3A,4,8/17/16 6:00,25.9452
AGOC-3A,4,8/21/16 8:00,4.41777
AGOC-3A,4,8/21/16 9:00,11.85315
AGOC-3A,4,8/21/16 10:00,11.81091
AGOC-3A,4,8/21/16 12:00,6.67511
AGOC-3A,4,8/21/16 14:00,5.19687
AGOC-3A,4,8/21/16 14:00,38.58217
AGOC-3A,4,8/21/16 15:00,22.39014
AGOC-3A,4,8/21/16 16:00,4.90815
AGOC-3A,4,8/21/16 16:00,40.75027
AGOC-3A,5,8/1/16 5:00,4.8965
AGOC-3A,5,8/1/16 17:00,5.48717
AGOC-3A,5,8/2/16 22:00,10.69829
AGOC-3A,5,8/2/16 23:00,7.29324
AGOC-3A,5,8/3/16 2:00,5.46001
AGOC-3A,5,8/4/16 15:00,5.28305
AGOC-3A,5,8/5/16 21:00,6.6081
AGOC-3A,5,8/6/16 7:00,10.87348
AGOC-3A,5,8/6/16 8:00,32.01829
AGOC-3A,5,8/10/16 3:00,3.93271
AGOC-3A,5,8/10/16 21:00,8.48644
AGOC-3A,5,8/10/16 23:00,5.29454
AGOC-3A,5,8/11/16 7:00,10.68078
AGOC-3A,5,8/11/16 11:00,16.00466
AGOC-3A,5,8/11/16 12:00,10.61055
AGOC-3A,5,8/11/16 13:00,6.493
AGOC-3A,5,8/12/16 6:00,4.36501
AGOC-3A,5,8/12/16 6:00,42.76565
AGOC-3A,5,8/12/16 11:00,26.83651
AGOC-3A,5,8/12/16 12:00,84.63599
AGOC-3A,5,8/12/16 12:00,8.54366
AGOC-3A,5,8/12/16 13:00,13.49685
AGOC-3A,5,8/13/16 7:00,6.51219
AGOC-3A,5,8/14/16 3:00,4.13084
AGOC-3A,5,8/14/16 12:00,16.24166
AGOC-3A,5,8/16/16 5:00,3.85738
AGOC-3A,5,8/16/16 6:00,21.4291
AGOC-3A,5,8/16/16 12:00,5.95157
AGOC-3A,5,8/16/16 13:00,5.63339
AGOC-3A,5,8/17/16 4:00,3.97356
AGOC-3A,5,8/17/16 8:00,14.70012
AGOC-3A,5,8/18/16 8:00,16.33376
AGOC-3A,5,8/18/16 9:00,5.32818
AGOC-3A,5,8/18/16 10:00,3.93632
AGOC-3A,5,8/18/16 10:00,32.61976
AGOC-3A,5,8/20/16 23:00,4.66195
AGOC-3A,5,8/21/16 6:00,5.79118
AGOC-3A,5,8/21/16 21:00,4.66159
AGOC-3A,5,8/22/16 2:00,4.19126
AGOC-3A,5,8/22/16 3:00,4.54026
AGOC-3A,5,8/22/16 4:00,3.97427
AGOC-3A,5,8/24/16 6:00,6.17477
AGOC-3A,5,8/24/16 12:00,5.85509
AGOC-3A,5,8/25/16 19:00,5.75378
AGOC-3A,5,8/25/16 20:00,29.36785
AGOC-3A,5,8/25/16 21:00,13.36523
AGOC-3A,6,8/6/16 15:00,19.4659
AGOC-3A,6,8/6/16 16:00,4.06424
AGOC-3A,6,8/6/16 16:00,38.57752
AGOC-3A,6,8/8/16 8:00,32.1964
AGOC-3A,6,8/8/16 9:00,21.12387
AGOC-3A,6,8/8/16 10:00,16.00771
AGOC-3A,6,8/8/16 11:00,16.2752
AGOC-3A,6,8/8/16 13:00,3.88061
AGOC-3A,6,8/8/16 14:00,17.99585
AGOC-3A,6,8/9/16 19:00,21.38705
AGOC-3A,6,8/9/16 20:00,56.59016
AGOC-3A,6,8/9/16 20:00,5.65116
AGOC-3A,6,8/11/16 17:00,7.52552
AGOC-3A,6,8/11/16 17:00,71.68124
AGOC-3A,6,8/11/16 18:00,50.82869
AGOC-3A,6,8/11/16 18:00,5.18779
AGOC-3A,6,8/12/16 18:00,25.03449
AGOC-3A,6,8/14/16 17:00,19.53888
AGOC-3A,6,8/14/16 18:00,23.6478
AGOC-3A,6,8/17/16 11:00,30.2259
AGOC-3A,6,8/18/16 16:00,56.17981
AGOC-3A,6,8/18/16 16:00,5.95521
AGOC-3A,6,8/22/16 9:00,21.53433
AGOC-3A,6,8/23/16 6:00,42.24573
AGOC-3A,6,8/23/16 6:00,4.50209
AGOC-3A,6,8/23/16 7:00,26.93431
AGOC-3A,7,8/1/16 14:00,4.61642
AGOC-3A,7,8/3/16 9:00,3.93772
AGOC-3A,9,8/3/16 14:00,4.35791
AGOC-3A,9,8/6/16 4:00,7.28232
AGOC-3A,9,8/6/16 5:00,5.76778
AGOC-3A,9,8/6/16 6:00,7.80927
AGOC-3A,9,8/6/16 7:00,4.14655
AGOC-3A,9,8/11/16 0:00,4.96175
AGOC-3A,9,8/11/16 6:00,4.91124
AGOC-3A,9,8/11/16 7:00,3.86375
AGOC-3A,9,8/12/16 11:00,12.32269
AGOC-3A,9,8/14/16 11:00,6.07877
AGOC-3A,9,8/14/16 14:00,8.5559
AGOC-3A,9,8/18/16 6:00,5.48514
AGOC-3A,9,8/18/16 7:00,10.56217
AGOC-3A,9,8/18/16 12:00,5.58788
AGOC-3A,9,8/18/16 13:00,6.3802
AGOC-3A,9,8/22/16 8:00,5.54201
AGOC-3A,9,8/24/16 6:00,15.94264
AGOC-3A,9,8/24/16 7:00,4.31702
AGOC-3A,9,8/24/16 11:00,4.10276
AGOC-3A,9,8/24/16 14:00,7.61717
AGOC-3A,9,8/24/16 20:00,16.41074
AGOC-3A,9,8/25/16 16:00,8.61555
AGOC-3A,9,8/25/16 17:00,9.93949
AGOC-3A,9,8/25/16 18:00,4.46584
Appluimonia,1,8/1/16 6:00,0.0497792
Appluimonia,1,8/1/16 10:00,0.0227489
Appluimonia,1,8/1/16 19:00,0.0841786
Appluimonia,1,8/1/16 20:00,0.0850693
Appluimonia,1,8/2/16 3:00,0.0689618
Appluimonia,1,8/2/16 5:00,0.0481665
Appluimonia,1,8/2/16 7:00,0.0228468
Appluimonia,1,8/2/16 8:00,2.96613
Appluimonia,1,8/2/16 9:00,0.0947492
Appluimonia,1,8/2/16 13:00,0.0076813
Appluimonia,1,8/2/16 15:00,0.0273596
Appluimonia,1,8/2/16 18:00,0.0275321
Appluimonia,1,8/2/16 21:00,0.057459
Appluimonia,1,8/2/16 23:00,0.00645211
Appluimonia,1,8/3/16 1:00,0.0372717
Appluimonia,1,8/3/16 3:00,0.108088
Appluimonia,1,8/3/16 5:00,0.023277
Appluimonia,1,8/3/16 11:00,0.102974
Appluimonia,1,8/4/16 2:00,0.0575377
Appluimonia,1,8/4/16 3:00,0.0696626
Appluimonia,1,8/4/16 6:00,0.0717279
Appluimonia,1,8/4/16 7:00,0.105034
Appluimonia,1,8/4/16 14:00,0.0757517
Appluimonia,1,8/4/16 16:00,0.0366237
Appluimonia,1,8/4/16 19:00,0.0386297
Appluimonia,1,8/4/16 20:00,0.0351732
Appluimonia,1,8/4/16 21:00,0.0374882
Appluimonia,1,8/4/16 22:00,0.0491943
Appluimonia,1,8/5/16 6:00,0.047639
Appluimonia,1,8/5/16 7:00,0.0955539
Appluimonia,1,8/5/16 10:00,0.050751
Appluimonia,1,8/5/16 20:00,0.090757
Appluimonia,1,8/5/16 21:00,0.0390108
Appluimonia,1,8/6/16 12:00,0.089534
Appluimonia,1,8/6/16 14:00,0.0130278
Appluimonia,1,8/7/16 3:00,0.0607094
Appluimonia,1,8/7/16 4:00,0.0638559
Appluimonia,1,8/7/16 7:00,0.0168163
Appluimonia,1,8/7/16 10:00,0.0164311
Appluimonia,1,8/7/16 11:00,0.042873
Appluimonia,1,8/7/16 12:00,0.0084962
Appluimonia,1,8/7/16 13:00,0.0952762
Appluimonia,1,8/7/16 16:00,0.0550878
Appluimonia,1,8/7/16 17:00,0.0593853
Appluimonia,1,8/7/16 19:00,0.0125313
Appluimonia,1,8/7/16 22:00,0.0851111
Appluimonia,1,8/7/16 23:00,0.00378593
Appluimonia,1,8/8/16 6:00,0.0127581
Appluimonia,1,8/8/16 7:00,0.0051635
Appluimonia,1,8/8/16 14:00,0.0324943
Appluimonia,1,8/8/16 18:00,0.0436219
Appluimonia,1,8/8/16 20:00,0.0178658
Appluimonia,1,8/9/16 0:00,0.00227435
Appluimonia,1,8/9/16 2:00,0.0102644
Appluimonia,1,8/9/16 6:00,0.0255487
Appluimonia,1,8/9/16 14:00,0.0829826
Appluimonia,1,8/9/16 19:00,0.077823
Appluimonia,1,8/9/16 23:00,0.105273
Appluimonia,1,8/10/16 0:00,0.0596039
Appluimonia,1,8/10/16 1:00,0.00313714
Appluimonia,1,8/10/16 2:00,0.0252802
Appluimonia,1,8/10/16 5:00,0.00697521
Appluimonia,1,8/10/16 6:00,0.0196184
Appluimonia,1,8/10/16 8:00,0.0409611
Appluimonia,1,8/10/16 12:00,0.0997077
Appluimonia,1,8/10/16 17:00,0.055082
Appluimonia,1,8/10/16 20:00,0.0462293
Appluimonia,1,8/10/16 21:00,0.0280418
Appluimonia,1,8/11/16 3:00,0.0481717
Appluimonia,1,8/11/16 7:00,0.0834905
Appluimonia,1,8/11/16 14:00,0.079607
Appluimonia,1,8/11/16 20:00,0.0191159
Appluimonia,1,8/11/16 21:00,0.0302019
Appluimonia,1,8/11/16 23:00,0.0977604
Appluimonia,1,8/12/16 3:00,0.0723563
Appluimonia,1,8/12/16 4:00,0.0339474
Appluimonia,1,8/12/16 5:00,0.0580106
Appluimonia,1,8/12/16 7:00,0.0974981
Appluimonia,1,8/12/16 10:00,0.0810702
Appluimonia,1,8/12/16 12:00,0.0909343
Appluimonia,1,8/12/16 14:00,0.0988915
Appluimonia,1,8/12/16 19:00,0.103971
Appluimonia,1,8/12/16 22:00,0.077768
Appluimonia,1,8/13/16 5:00,0.00621806
Appluimonia,1,8/13/16 10:00,0.0157127
Appluimonia,1,8/13/16 14:00,0.0856195
Appluimonia,1,8/13/16 21:00,0.0567873
Appluimonia,1,8/14/16 6:00,0.0810293
Appluimonia,1,8/14/16 7:00,0.0558965
Appluimonia,1,8/14/16 13:00,0.104125
Appluimonia,1,8/14/16 19:00,0.048564
Appluimonia,1,8/14/16 21:00,0.0595613
Appluimonia,1,8/14/16 23:00,0.0653757
Appluimonia,1,8/15/16 6:00,0.0605972
Appluimonia,1,8/15/16 7:00,0.0613906
Appluimonia,1,8/15/16 8:00,0.0279977
Appluimonia,1,8/15/16 10:00,0.0400784
Appluimonia,1,8/15/16 11:00,0.00540952
Appluimonia,1,8/15/16 15:00,0.0326898
Appluimonia,1,8/15/16 19:00,0.0713795
Appluimonia,1,8/15/16 23:00,0.0935622
Appluimonia,1,8/16/16 12:00,0.0196536
Appluimonia,1,8/17/16 0:00,0.103558
Appluimonia,1,8/17/16 15:00,0.0133608
Appluimonia,1,8/17/16 17:00,0.0402039
Appluimonia,1,8/17/16 22:00,0.054915
Appluimonia,1,8/18/16 0:00,0.0746734
Appluimonia,1,8/18/16 2:00,0.0569654
Appluimonia,1,8/18/16 8:00,0.0378444
Appluimonia,1,8/18/16 11:00,0.0723001
Appluimonia,1,8/18/16 16:00,0.0604799
Appluimonia,1,8/18/16 18:00,0.0876277
Appluimonia,1,8/19/16 7:00,0.0950537
Appluimonia,1,8/19/16 10:00,0.0126027
Appluimonia,1,8/19/16 13:00,0.0411825
Appluimonia,1,8/19/16 16:00,0.015338
Appluimonia,1,8/19/16 19:00,0.0465886
Appluimonia,1,8/19/16 22:00,0.107718
Appluimonia,1,8/20/16 0:00,0.0775834
Appluimonia,1,8/20/16 3:00,0.0973237
Appluimonia,1,8/20/16 4:00,2.20189
Appluimonia,1,8/20/16 9:00,0.0199263
Appluimonia,1,8/20/16 10:00,0.0744129
Appluimonia,1,8/20/16 16:00,0.0197914
