Chemical,Monitor,Date Time ,Reading
AGOC-3A,1,12/1/16 1:00,0.0785864
AGOC-3A,1,12/1/16 7:00,0.0220983
AGOC-3A,1,12/1/16 9:00,0.0916437
AGOC-3A,1,12/1/16 15:00,0.0836356
AGOC-3A,1,12/1/16 18:00,0.0386929
AGOC-3A,1,12/2/16 2:00,0.0495152
AGOC-3A,1,12/2/16 3:00,0.00358371
AGOC-3A,1,12/2/16 13:00,0.0759471
AGOC-3A,1,12/2/16 14:00,0.0451229
AGOC-3A,1,12/3/16 10:00,0.0438956
AGOC-3A,1,12/3/16 12:00,0.0917856
AGOC-3A,1,12/3/16 21:00,0.0743569
AGOC-3A,1,12/3/16 23:00,0.0285507
AGOC-3A,1,12/4/16 2:00,0.0690187
AGOC-3A,1,12/4/16 3:00,0.0812532
AGOC-3A,1,12/4/16 11:00,0.083436
AGOC-3A,1,12/4/16 12:00,0.028943
AGOC-3A,1,12/5/16 9:00,0.00639982
AGOC-3A,1,12/5/16 13:00,0.0565304
AGOC-3A,1,12/6/16 2:00,0.00878588
AGOC-3A,1,12/6/16 13:00,0.0160165
AGOC-3A,1,12/6/16 15:00,0.0878861
AGOC-3A,1,12/6/16 17:00,0.0667731
AGOC-3A,1,12/6/16 19:00,0.0439278
AGOC-3A,1,12/7/16 1:00,3.16696
AGOC-3A,1,12/7/16 2:00,0.00809343
AGOC-3A,1,12/7/16 8:00,0.0827228
AGOC-3A,1,12/7/16 19:00,0.0313459
AGOC-3A,1,12/7/16 23:00,0.0558765
AGOC-3A,1,12/8/16 0:00,0.0177846
AGOC-3A,1,12/8/16 3:00,0.0561143
AGOC-3A,1,12/8/16 8:00,0.0807052
AGOC-3A,1,12/8/16 17:00,0.0930762
AGOC-3A,1,12/9/16 0:00,0.0775005
AGOC-3A,1,12/9/16 1:00,0.0884908
AGOC-3A,1,12/9/16 4:00,0.0690755
AGOC-3A,1,12/9/16 7:00,0.0627985
AGOC-3A,1,12/9/16 15:00,0.00536027
AGOC-3A,1,12/9/16 18:00,0.0667158
AGOC-3A,1,12/9/16 23:00,0.0874919
AGOC-3A,1,12/10/16 4:00,0.0875996
AGOC-3A,1,12/10/16 15:00,0.0394818
AGOC-3A,1,12/11/16 0:00,0.0670065
AGOC-3A,1,12/11/16 4:00,0.0403609
AGOC-3A,1,12/11/16 5:00,0.0505891
AGOC-3A,1,12/11/16 6:00,0.0922216
AGOC-3A,1,12/11/16 12:00,0.0460817
AGOC-3A,1,12/11/16 13:00,0.0875637
AGOC-3A,1,12/11/16 18:00,0.0772696
AGOC-3A,1,12/12/16 9:00,0.0412009
AGOC-3A,1,12/12/16 15:00,0.0287961
AGOC-3A,1,12/12/16 16:00,0.080687
AGOC-3A,1,12/12/16 17:00,0.0756589
AGOC-3A,1,12/12/16 18:00,0.0900147
AGOC-3A,1,12/12/16 19:00,0.0233898
AGOC-3A,1,12/12/16 22:00,0.088405
AGOC-3A,1,12/13/16 1:00,0.0848475
AGOC-3A,1,12/13/16 4:00,0.0379224
AGOC-3A,1,12/13/16 6:00,0.0840588
AGOC-3A,1,12/13/16 10:00,0.0282377
AGOC-3A,1,12/13/16 16:00,0.026442
AGOC-3A,1,12/13/16 21:00,0.0700973
AGOC-3A,1,12/14/16 1:00,0.075027
AGOC-3A,1,12/14/16 2:00,0.0321464
AGOC-3A,1,12/14/16 4:00,0.093482
AGOC-3A,1,12/14/16 6:00,0.0700596
AGOC-3A,1,12/14/16 8:00,0.0766619
AGOC-3A,1,12/14/16 11:00,0.0287079
AGOC-3A,1,12/14/16 23:00,0.0839253
AGOC-3A,1,12/15/16 5:00,0.0507313
AGOC-3A,1,12/15/16 7:00,0.0780813
AGOC-3A,1,12/15/16 8:00,0.00311836
AGOC-3A,1,12/15/16 15:00,0.0714734
AGOC-3A,1,12/15/16 23:00,0.0204033
AGOC-3A,1,12/16/16 4:00,0.00219127
AGOC-3A,1,12/16/16 5:00,0.0920689
AGOC-3A,1,12/16/16 7:00,0.0239314
AGOC-3A,1,12/16/16 11:00,0.0208812
AGOC-3A,1,12/16/16 15:00,0.0330266
AGOC-3A,1,12/17/16 6:00,0.00810148
AGOC-3A,1,12/17/16 9:00,0.0290803
AGOC-3A,1,12/17/16 15:00,0.0832184
AGOC-3A,1,12/17/16 20:00,0.0881452
AGOC-3A,1,12/18/16 4:00,0.00797202
AGOC-3A,1,12/18/16 9:00,0.0533716
AGOC-3A,1,12/18/16 18:00,0.0338376
AGOC-3A,1,12/18/16 20:00,0.00199423
AGOC-3A,1,12/19/16 0:00,0.0415362
AGOC-3A,1,12/19/16 2:00,0.0798635
AGOC-3A,1,12/19/16 5:00,0.00161647
AGOC-3A,1,12/19/16 6:00,0.0281082
AGOC-3A,1,12/19/16 7:00,0.0380567
AGOC-3A,1,12/19/16 10:00,0.0716428
AGOC-3A,1,12/19/16 14:00,0.0364592
AGOC-3A,1,12/19/16 17:00,0.0273305
AGOC-3A,1,12/19/16 23:00,0.0356405
AGOC-3A,1,12/20/16 1:00,0.025638
AGOC-3A,1,12/20/16 16:00,0.0548118
AGOC-3A,1,12/20/16 17:00,0.0833091
AGOC-3A,1,12/20/16 18:00,0.0596593
AGOC-3A,1,12/20/16 20:00,0.0530646
AGOC-3A,1,12/21/16 2:00,0.0115767
AGOC-3A,1,12/21/16 15:00,0.0936935
AGOC-3A,1,12/21/16 17:00,0.0111261
AGOC-3A,1,12/21/16 21:00,0.085064
AGOC-3A,1,12/22/16 2:00,0.0160741
AGOC-3A,1,12/22/16 8:00,0.0324724
AGOC-3A,1,12/22/16 11:00,0.00902371
AGOC-3A,1,12/22/16 16:00,0.0357324
AGOC-3A,1,12/22/16 17:00,0.0683028
AGOC-3A,1,12/22/16 18:00,0.0452367
AGOC-3A,1,12/22/16 21:00,0.0712286
AGOC-3A,1,12/23/16 3:00,0.040571
AGOC-3A,1,12/23/16 11:00,0.00199163
AGOC-3A,1,12/23/16 15:00,0.0414733
AGOC-3A,1,12/23/16 16:00,0.0763819
AGOC-3A,1,12/23/16 17:00,0.0469852
AGOC-3A,1,12/23/16 19:00,0.0037074
AGOC-3A,1,12/23/16 20:00,0.0670023
AGOC-3A,1,12/23/16 21:00,0.0680883
AGOC-3A,1,12/23/16 22:00,0.0132662
AGOC-3A,1,12/24/16 0:00,0.087584
AGOC-3A,1,12/24/16 4:00,0.086941
AGOC-3A,1,12/24/16 7:00,0.0681642
AGOC-3A,1,12/24/16 11:00,0.0619663
AGOC-3A,1,12/24/16 14:00,0.0564908
AGOC-3A,1,12/25/16 2:00,0.0255262
AGOC-3A,1,12/25/16 5:00,0.0753246
AGOC-3A,1,12/26/16 1:00,0.0657208
AGOC-3A,1,12/26/16 4:00,0.0187554
AGOC-3A,1,12/26/16 5:00,0.0628896
AGOC-3A,1,12/26/16 7:00,0.0121039
AGOC-3A,1,12/26/16 11:00,0.0567873
AGOC-3A,1,12/26/16 12:00,0.0528449
AGOC-3A,1,12/26/16 19:00,0.0813628
AGOC-3A,1,12/26/16 20:00,0.0652413
AGOC-3A,1,12/26/16 21:00,0.077768
AGOC-3A,1,12/27/16 6:00,0.0456078
AGOC-3A,1,12/27/16 10:00,0.0475996
AGOC-3A,1,12/27/16 16:00,0.00791731
AGOC-3A,1,12/27/16 22:00,0.0474768
AGOC-3A,1,12/28/16 1:00,0.0619308
AGOC-3A,1,12/28/16 8:00,0.0897431
AGOC-3A,1,12/28/16 10:00,0.0149865
AGOC-3A,1,12/28/16 17:00,0.0319504
AGOC-3A,1,12/28/16 21:00,0.0881452
AGOC-3A,1,12/29/16 3:00,0.0164861
AGOC-3A,1,12/29/16 6:00,0.0180873
AGOC-3A,1,12/29/16 7:00,0.0309463
AGOC-3A,1,12/29/16 10:00,0.0814721
AGOC-3A,1,12/29/16 11:00,0.0701959
AGOC-3A,1,12/29/16 18:00,0.0160741
AGOC-3A,1,12/30/16 1:00,0.0612824
AGOC-3A,1,12/30/16 3:00,0.0222941
AGOC-3A,1,12/30/16 4:00,0.00814209
AGOC-3A,1,12/30/16 14:00,0.0280418
AGOC-3A,1,12/31/16 5:00,0.0400784
AGOC-3A,1,12/31/16 6:00,0.0654332
AGOC-3A,1,12/31/16 8:00,0.0610842
AGOC-3A,1,12/31/16 13:00,0.0618945
AGOC-3A,1,12/31/16 20:00,0.0276653
AGOC-3A,1,12/31/16 23:00,0.0782655
AGOC-3A,2,12/1/16 0:00,0.0869001
AGOC-3A,2,12/1/16 17:00,0.0419242
AGOC-3A,2,12/2/16 13:00,0.0455718
AGOC-3A,2,12/2/16 19:00,0.0243351
AGOC-3A,2,12/2/16 21:00,0.0382967
AGOC-3A,2,12/3/16 4:00,0.00717016
AGOC-3A,2,12/3/16 22:00,0.0711322
AGOC-3A,2,12/4/16 3:00,0.0585035
AGOC-3A,2,12/4/16 5:00,0.0663774
AGOC-3A,2,12/4/16 10:00,0.0325114
AGOC-3A,2,12/4/16 19:00,0.0269586
AGOC-3A,2,12/5/16 9:00,0.0867083
AGOC-3A,2,12/5/16 14:00,0.0326929
AGOC-3A,2,12/6/16 0:00,0.0854337
AGOC-3A,2,12/6/16 1:00,0.089731
AGOC-3A,2,12/6/16 4:00,0.0807205
AGOC-3A,2,12/6/16 9:00,0.040896
AGOC-3A,2,12/6/16 19:00,0.0653469
AGOC-3A,2,12/6/16 23:00,0.0658808
AGOC-3A,2,12/7/16 2:00,3.27291
AGOC-3A,2,12/7/16 6:00,0.02319
AGOC-3A,2,12/7/16 7:00,0.0243343
AGOC-3A,2,12/7/16 8:00,0.0306475
AGOC-3A,2,12/7/16 17:00,0.0216008
AGOC-3A,2,12/7/16 19:00,0.0278175
AGOC-3A,2,12/7/16 23:00,0.0435806
AGOC-3A,2,12/8/16 8:00,0.046755
AGOC-3A,2,12/8/16 14:00,0.0822489
AGOC-3A,2,12/9/16 10:00,0.0274293
AGOC-3A,2,12/9/16 16:00,0.0285738
AGOC-3A,2,12/10/16 0:00,0.0309822
AGOC-3A,2,12/10/16 1:00,0.0290064
AGOC-3A,2,12/10/16 7:00,0.0917638
AGOC-3A,2,12/10/16 10:00,0.070632
AGOC-3A,2,12/10/16 23:00,0.0802117
AGOC-3A,2,12/11/16 2:00,0.0389183
AGOC-3A,2,12/11/16 7:00,0.046644
AGOC-3A,2,12/11/16 12:00,0.0870267
AGOC-3A,2,12/11/16 22:00,0.0097986
AGOC-3A,2,12/12/16 3:00,0.0288722
AGOC-3A,2,12/12/16 8:00,0.0733288
AGOC-3A,2,12/12/16 14:00,0.0238964
AGOC-3A,2,12/12/16 17:00,0.0786579
AGOC-3A,2,12/12/16 18:00,0.0267908
AGOC-3A,2,12/13/16 1:00,0.0476023
AGOC-3A,2,12/13/16 8:00,0.0620764
AGOC-3A,2,12/13/16 18:00,0.0403714
AGOC-3A,2,12/13/16 19:00,0.0196381
AGOC-3A,2,12/13/16 21:00,0.0777924
AGOC-3A,2,12/14/16 4:00,0.0823378
AGOC-3A,2,12/14/16 9:00,0.0854018
AGOC-3A,2,12/14/16 15:00,0.0237266
AGOC-3A,2,12/14/16 21:00,0.0530502
AGOC-3A,2,12/15/16 6:00,0.0810339
AGOC-3A,2,12/15/16 19:00,0.0895082
AGOC-3A,2,12/15/16 22:00,0.00787002
AGOC-3A,2,12/16/16 4:00,0.0110261
AGOC-3A,2,12/16/16 9:00,0.0563761
AGOC-3A,2,12/16/16 11:00,0.066492
AGOC-3A,2,12/16/16 13:00,0.0476678
AGOC-3A,2,12/16/16 16:00,0.0818903
AGOC-3A,2,12/17/16 5:00,0.0149427
AGOC-3A,2,12/17/16 7:00,0.0812191
AGOC-3A,2,12/17/16 12:00,0.0502967
AGOC-3A,2,12/17/16 16:00,0.0786887
AGOC-3A,2,12/17/16 17:00,0.0347557
AGOC-3A,2,12/18/16 0:00,0.0122251
AGOC-3A,2,12/18/16 2:00,0.056151
AGOC-3A,2,12/18/16 4:00,0.0833885
AGOC-3A,2,12/18/16 6:00,0.0452636
AGOC-3A,2,12/18/16 7:00,0.0590878
AGOC-3A,2,12/19/16 15:00,0.0540316
AGOC-3A,2,12/19/16 21:00,0.0558942
AGOC-3A,2,12/19/16 22:00,0.0290064
AGOC-3A,2,12/20/16 8:00,0.0471252
AGOC-3A,2,12/20/16 13:00,0.00871084
AGOC-3A,2,12/20/16 16:00,0.0515759
AGOC-3A,2,12/20/16 21:00,0.0291504
AGOC-3A,2,12/20/16 23:00,0.037717
AGOC-3A,2,12/21/16 0:00,0.0527418
AGOC-3A,2,12/21/16 17:00,0.0802273
AGOC-3A,2,12/22/16 1:00,0.0185535
AGOC-3A,2,12/23/16 2:00,0.0723952
AGOC-3A,2,12/23/16 5:00,0.0891908
AGOC-3A,2,12/23/16 9:00,0.0577681
AGOC-3A,2,12/23/16 16:00,0.0831363
AGOC-3A,2,12/23/16 20:00,0.0804463
AGOC-3A,2,12/23/16 21:00,0.0434814
AGOC-3A,2,12/24/16 0:00,0.0101151
AGOC-3A,2,12/24/16 4:00,0.020654
AGOC-3A,2,12/24/16 10:00,0.0396137
AGOC-3A,2,12/24/16 14:00,0.0608137
AGOC-3A,2,12/24/16 18:00,0.0311363
AGOC-3A,2,12/24/16 20:00,0.0320523
AGOC-3A,2,12/24/16 23:00,0.0466068
AGOC-3A,2,12/25/16 0:00,0.0262192
AGOC-3A,2,12/25/16 7:00,0.0399802
AGOC-3A,2,12/25/16 11:00,0.0741005
AGOC-3A,2,12/25/16 19:00,0.0112312
AGOC-3A,2,12/26/16 1:00,0.0358165
AGOC-3A,2,12/26/16 2:00,0.0212264
AGOC-3A,2,12/26/16 6:00,0.0458301
AGOC-3A,2,12/26/16 15:00,0.00962307
AGOC-3A,2,12/26/16 16:00,0.0247722
AGOC-3A,2,12/27/16 8:00,0.0913102
AGOC-3A,2,12/27/16 14:00,0.0164144
AGOC-3A,2,12/27/16 18:00,0.0406759
AGOC-3A,2,12/27/16 21:00,0.0804833
AGOC-3A,2,12/28/16 17:00,0.0509137
AGOC-3A,2,12/28/16 19:00,0.0923349
AGOC-3A,2,12/29/16 10:00,0.0822489
AGOC-3A,2,12/29/16 15:00,0.0758484
AGOC-3A,2,12/29/16 18:00,0.0775684
AGOC-3A,2,12/29/16 20:00,0.0370522
AGOC-3A,2,12/29/16 21:00,0.0749363
AGOC-3A,2,12/29/16 22:00,0.0146104
AGOC-3A,2,12/30/16 7:00,0.0505264
AGOC-3A,2,12/30/16 11:00,0.0741969
AGOC-3A,2,12/30/16 18:00,0.0272278
AGOC-3A,2,12/31/16 0:00,0.0937086
AGOC-3A,2,12/31/16 9:00,0.0426883
AGOC-3A,2,12/31/16 13:00,0.0424385
AGOC-3A,2,12/31/16 23:00,0.0608137
AGOC-3A,3,12/1/16 1:00,0.0780035
