Chemical,Monitor,Date Time ,Reading
Methylosmolene,6,4/2/16 3:00,54.93806
Methylosmolene,6,4/2/16 4:00,88.53254
Methylosmolene,6,4/3/16 0:00,42.23866
Methylosmolene,4,4/7/16 2:00,38.21998
Methylosmolene,6,4/9/16 1:00,94.34631
Methylosmolene,9,4/11/16 3:00,42.51119
Methylosmolene,7,4/14/16 4:00,47.92028
Methylosmolene,8,4/15/16 5:00,32.82523
Methylosmolene,7,4/15/16 22:00,55.1599
Methylosmolene,6,4/25/16 2:00,42.78129
Methylosmolene,6,4/25/16 5:00,48.07201
Methylosmolene,3,8/1/16 22:00,33.6606
Methylosmolene,3,8/1/16 23:00,75.96199
Methylosmolene,2,8/2/16 4:00,58.46353
Methylosmolene,5,8/10/16 23:00,53.6496
Methylosmolene,2,8/20/16 5:00,42.71211
Methylosmolene,6,12/2/16 3:00,80.54764
Methylosmolene,6,12/2/16 4:00,84.95453
Methylosmolene,6,12/2/16 5:00,79.04791
Methylosmolene,6,12/2/16 23:00,34.80366
Methylosmolene,7,12/5/16 4:00,63.31599
Methylosmolene,6,12/6/16 2:00,50.25036
Methylosmolene,6,12/8/16 22:00,100.7764
Methylosmolene,6,12/11/16 2:00,68.88227
Methylosmolene,3,12/12/16 4:00,47.74763
Methylosmolene,6,12/13/16 3:00,34.24968
Methylosmolene,6,12/24/16 22:00,52.99826
