Chemical,Monitor,Date Time ,Reading
AGOC-3A,7,4/15/16 21:00,47.05521
Appluimonia,7,4/1/16 17:00,2.9919
Appluimonia,7,4/6/16 18:00,3.33948
Appluimonia,7,4/15/16 7:00,3.46474
Appluimonia,7,4/15/16 8:00,3.2428
Appluimonia,7,4/16/16 14:00,3.28082
Appluimonia,7,4/20/16 1:00,3.15231
Appluimonia,7,4/26/16 20:00,3.15231
Appluimonia,7,4/29/16 4:00,3.11811
Appluimonia,7,4/29/16 7:00,4.21564
Appluimonia,7,8/5/16 12:00,4.7417
Appluimonia,7,8/9/16 17:00,2.95745
Appluimonia,7,8/13/16 20:00,2.92233
Appluimonia,7,8/28/16 23:00,3.01971
Appluimonia,7,12/7/16 0:00,3.30994
Appluimonia,7,12/10/16 14:00,3.04588
Appluimonia,7,12/21/16 16:00,3.65341
Appluimonia,7,12/29/16 3:00,4.84236
Chlorodinine,7,4/19/16 4:00,4.44909
Chlorodinine,7,4/19/16 6:00,4.70666
Chlorodinine,7,4/26/16 5:00,6.00129
Chlorodinine,7,12/5/16 4:00,13.40056
Chlorodinine,7,12/6/16 22:00,5.31699
Chlorodinine,7,12/18/16 1:00,4.17836
Methylosmolene,7,4/14/16 4:00,47.92028
Methylosmolene,7,4/15/16 22:00,55.1599
Methylosmolene,7,12/5/16 4:00,63.31599
